count nobl loc
9 0.0 108
9 8.0 82
9 11.0 34
9 10.0 91
8 4.0 90
8 20.0 54
8 2.0 82
8 1.0 122
8 18.0 54
8 2.0 80
8 9.0 61
8 14.0 83
8 9.0 73
8 2.0 115
8 11.0 92
8 10.0 80
8 17.0 51
8 7.0 8
8 1.0 73
8 3.0 58
8 6.0 89
8 15.0 82
8 12.0 88
8 9.0 24
8 11.0 56
8 15.0 65
8 19.0 112
8 10.0 70
8 0.0 74
8 0.0 197
8 0.0 137
8 14.0 90
8 12.0 34
8 17.0 95
8 12.0 82
8 17.0 64
8 16.0 74
8 15.0 55
8 12.0 72
7 8.0 88
7 16.0 65
7 18.0 74
7 21.0 104
7 18.0 91
7 19.0 77
7 1.0 58
7 17.0 48
7 3.0 126
7 14.0 50
7 14.0 59
7 7.0 59
7 12.0 104
7 5.0 105
7 0.0 125
7 5.0 94
7 9.0 96
7 16.0 43
7 1.0 94
7 15.0 77
7 16.0 52
7 6.0 107
7 4.0 93
7 19.0 48
7 21.0 68
7 5.0 65
7 9.0 92
7 3.0 83
7 16.0 59
7 14.0 29
7 5.0 78
7 14.0 23
7 17.0 37
7 11.0 54
7 12.0 49
7 13.0 78
7 14.0 33
7 0.0 116
7 21.0 97
7 7.0 62
7 0.0 121
7 5.0 87
7 12.0 94
7 19.0 43
7 13.0 86
7 15.0 30
7 13.0 84
6 12.0 116
6 22.0 73
6 0.0 228
6 10.0 133
6 19.0 93
6 11.0 39
6 23.0 124
6 14.0 25
6 11.0 104
6 11.0 113
6 11.0 77
6 4.0 0
6 17.0 76
6 18.0 88
6 13.0 96
6 8.0 90
6 17.0 89
6 3.0 71
6 12.0 86
6 4.0 88
6 5.0 91
6 10.0 98
6 4.0 83
6 0.0 146
6 0.0 132
6 18.0 50
6 22.0 144
6 18.0 78
6 8.0 115
6 16.0 96
6 6.0 114
6 7.0 71
6 1.0 84
6 18.0 59
6 3.0 81
6 15.0 59
6 9.0 106
6 15.0 48
6 9.0 57
6 10.0 115
6 4.0 116
6 1.0 110
6 0.0 218
6 8.0 96
6 30.0 49
6 23.0 107
6 13.0 106
6 6.0 97
6 13.0 92
6 10.0 93
6 15.0 72
6 3.0 85
6 8.0 104
6 7.0 107
6 3.0 95
6 19.0 60
6 20.0 48
6 10.0 82
6 12.0 113
6 20.0 43
6 11.0 95
5 22.0 117
5 14.0 92
5 4.0 78
5 10.0 107
5 11.0 99
5 15.0 112
5 21.0 54
5 3.0 0
5 16.0 39
5 16.0 102
5 1.0 75
5 2.0 125
5 4.0 97
5 3.0 91
5 1.0 77
5 0.0 175
5 15.0 96
5 13.0 101
5 6.0 4
5 0.0 172
5 22.0 100
5 21.0 101
5 4.0 105
5 15.0 90
5 14.0 87
5 19.0 34
5 0.0 110
5 3.0 102
5 1.0 113
5 10.0 85
5 0.0 129
5 18.0 111
5 13.0 132
5 16.0 93
5 12.0 17
5 17.0 44
5 4.0 101
5 11.0 13
5 0.0 151
5 11.0 110
5 9.0 100
5 19.0 65
5 18.0 66
5 2.0 135
5 22.0 122
5 10.0 102
5 18.0 39
5 16.0 82
5 23.0 112
5 16.0 41
5 7.0 110
5 14.0 67
5 0.0 202
5 2.0 88
5 19.0 120
5 13.0 123
5 17.0 61
5 24.0 58
5 7.0 99
5 16.0 67
5 0.0 112
5 20.0 77
5 2.0 76
4 1.0 138
4 14.0 112
4 15.0 106
4 20.0 50
4 1.0 97
4 12.0 25
4 2.0 204
4 17.0 69
4 17.0 118
4 19.0 116
4 19.0 55
4 21.0 79
4 1.0 118
4 19.0 97
4 16.0 26
4 13.0 20
4 8.0 130
4 18.0 47
4 16.0 21
4 19.0 80
4 5.0 80
4 9.0 118
4 18.0 94
4 17.0 108
4 16.0 54
4 8.0 124
4 18.0 34
4 15.0 108
4 5.0 0
4 0.0 224
4 6.0 102
4 10.0 95
4 3.0 121
4 21.0 144
4 21.0 83
4 22.0 94
4 19.0 100
4 20.0 90
4 19.0 75
4 17.0 39
4 16.0 47
4 12.0 98
4 14.0 94
4 23.0 57
4 1.0 101
4 9.0 130
4 12.0 63
4 21.0 57
4 11.0 118
4 9.0 143
4 9.0 114
4 21.0 137
4 15.0 93
4 16.0 138
4 17.0 67
4 19.0 89
4 8.0 7
4 7.0 146
4 13.0 15
4 23.0 49
4 22.0 126
4 10.0 121
4 9.0 85
4 3.0 105
4 5.0 97
4 17.0 81
4 7.0 123
4 13.0 90
4 4.0 85
4 16.0 129
4 9.0 110
4 2.0 98
4 18.0 84
4 8.0 140
4 20.0 142
4 15.0 125
4 21.0 93
4 6.0 117
4 23.0 120
4 17.0 113
4 18.0 63
4 20.0 114
4 1.0 87
4 2.0 122
4 0.0 178
4 22.0 50
4 6.0 139
4 15.0 80
4 14.0 125
4 21.0 123
4 0.0 209
4 2.0 130
4 14.0 78
4 16.0 133
4 15.0 147
4 22.0 24
4 16.0 89
4 3.0 89
4 16.0 85
4 23.0 80
3 7.0 89
3 9.0 125
3 21.0 167
3 16.0 144
3 27.0 31
3 25.0 58
3 42.0 313
3 5.0 119
3 21.0 86
3 20.0 71
3 21.0 89
3 25.0 209
3 23.0 129
3 20.0 87
3 13.0 186
3 12.0 121
3 7.0 159
3 12.0 127
3 12.0 107
3 22.0 60
3 2.0 102
3 21.0 165
3 8.0 143
3 0.0 189
3 7.0 128
3 1.0 188
3 6.0 87
3 14.0 17
3 5.0 111
3 7.0 4
3 13.0 80
3 16.0 125
3 22.0 35
3 20.0 140
3 23.0 134
3 22.0 69
3 1.0 105
3 9.0 158
3 22.0 135
3 0.0 230
3 29.0 79
3 7.0 87
3 6.0 0
3 14.0 57
3 7.0 103
3 10.0 126
3 1.0 133
3 25.0 130
3 14.0 172
3 17.0 79
3 18.0 106
3 18.0 121
3 15.0 138
3 2.0 159
3 15.0 25
3 28.0 81
3 2.0 154
3 14.0 137
3 27.0 186
3 20.0 69
3 15.0 99
3 16.0 108
3 25.0 83
3 13.0 182
3 20.0 123
3 17.0 75
3 0.0 207
3 7.0 119
3 24.0 73
3 22.0 89
3 23.0 65
3 0.0 329
3 21.0 114
3 13.0 98
3 11.0 101
3 0.0 259
3 16.0 113
3 25.0 142
3 5.0 143
3 35.0 211
3 5.0 102
3 27.0 137
3 20.0 33
3 15.0 69
3 11.0 140
3 20.0 101
3 15.0 19
3 0.0 193
3 21.0 110
3 36.0 235
3 25.0 152
3 26.0 137
3 26.0 98
3 31.0 92
3 25.0 72
3 24.0 96
3 22.0 79
3 0.0 159
3 23.0 153
3 20.0 40
3 20.0 60
3 18.0 81
3 16.0 197
3 14.0 101
3 1.0 145
3 24.0 132
3 1.0 103
3 0.0 237
3 19.0 103
3 17.0 131
3 22.0 87
3 24.0 136
3 19.0 83
3 18.0 152
3 19.0 51
3 18.0 100
3 4.0 131
3 26.0 61
3 9.0 122
3 15.0 103
3 26.0 83
3 13.0 128
3 4.0 81
2 32.0 98
2 12.0 141
2 12.0 109
2 23.0 84
2 24.0 125
2 34.0 179
2 24.0 151
2 20.0 98
2 2.0 143
2 23.0 95
2 29.0 115
2 17.0 106
2 42.0 302
2 13.0 164
2 26.0 177
2 23.0 141
2 17.0 84
2 22.0 184
2 20.0 146
2 6.0 149
2 19.0 143
2 7.0 1
2 14.0 131
2 29.0 228
2 20.0 27
2 26.0 150
2 17.0 34
2 40.0 90
2 16.0 32
2 19.0 107
2 20.0 105
2 9.0 163
2 19.0 149
2 16.0 12
2 67.0 428
2 34.0 191
2 27.0 168
2 28.0 100
2 19.0 73
2 13.0 26
2 19.0 126
2 32.0 203
2 21.0 118
2 3.0 200
2 22.0 66
2 20.0 37
2 7.0 133
2 5.0 167
2 26.0 67
2 19.0 137
2 7.0 93
2 24.0 102
2 26.0 197
2 27.0 95
2 8.0 100
2 3.0 136
2 35.0 290
2 9.0 154
2 16.0 78
2 4.0 135
2 49.0 139
2 18.0 161
2 4.0 120
2 44.0 278
2 21.0 46
2 1.0 154
2 21.0 77
2 7.0 211
2 2.0 138
2 33.0 130
2 21.0 131
2 19.0 203
2 19.0 129
2 23.0 68
2 14.0 128
2 41.0 278
2 31.0 173
2 24.0 52
2 10.0 148
2 24.0 130
2 20.0 117
2 33.0 89
2 32.0 210
2 16.0 140
2 30.0 185
2 41.0 199
2 8.0 110
2 17.0 121
2 18.0 127
2 20.0 84
2 38.0 144
2 18.0 182
2 32.0 176
2 2.0 185
2 11.0 155
2 49.0 270
2 17.0 137
2 7.0 154
2 21.0 71
2 0.0 245
2 23.0 43
2 25.0 53
2 31.0 80
2 12.0 101
2 11.0 11
2 15.0 134
2 12.0 159
2 7.0 150
2 48.0 151
2 22.0 56
2 19.0 152
2 18.0 43
2 2.0 108
2 11.0 122
2 49.0 276
2 25.0 98
2 8.0 108
2 30.0 199
2 19.0 71
2 9.0 133
2 47.0 210
2 5.0 114
2 5.0 151
2 48.0 147
2 12.0 148
2 50.0 225
2 20.0 134
2 14.0 148
2 28.0 115
2 4.0 170
2 22.0 106
2 12.0 239
2 20.0 93
2 16.0 159
2 18.0 142
2 14.0 118
2 28.0 156
2 18.0 132
2 37.0 239
2 2.0 111
2 41.0 166
2 25.0 101
2 25.0 94
2 21.0 157
2 25.0 113
2 23.0 194
2 20.0 155
2 24.0 69
2 23.0 103
2 14.0 105
2 17.0 103
2 37.0 155
2 15.0 184
2 48.0 136
2 26.0 111
2 23.0 78
2 18.0 97
2 10.0 150
2 36.0 117
2 6.0 162
2 21.0 226
2 22.0 150
2 5.0 158
2 4.0 113
2 5.0 130
2 10.0 140
2 10.0 145
2 30.0 91
2 8.0 167
2 10.0 130
2 18.0 205
2 22.0 158
2 4.0 124
2 23.0 165
2 17.0 22
2 31.0 133
2 14.0 154
2 0.0 306
2 3.0 114
2 1.0 149
2 16.0 188
2 1.0 129
2 9.0 1
2 6.0 81
2 28.0 181
2 3.0 139
2 18.0 186
2 6.0 160
2 12.0 131
2 45.0 137
2 3.0 99
2 13.0 140
2 10.0 195
2 24.0 106
2 11.0 124
2 15.0 129
2 28.0 212
2 19.0 22
2 10.0 137
2 11.0 7
2 19.0 41
2 28.0 166
1 71.0 317
1 80.0 244
1 31.0 76
1 41.0 120
1 19.0 187
1 23.0 91
1 4.0 151
1 143.0 1011
1 25.0 106
1 53.0 165
1 45.0 179
1 9.0 747
1 30.0 116
1 18.0 138
1 100.0 720
1 19.0 286
1 24.0 176
1 37.0 1680
1 24.0 90
1 40.0 365
1 14.0 274
1 18.0 116
1 16.0 120
1 54.0 404
1 33.0 50
1 15.0 86
1 33.0 467
1 21.0 232
1 106.0 715
1 144.0 1071
1 0.0 948
1 25.0 109
1 54.0 742
1 52.0 312
1 58.0 239
1 63.0 564
1 47.0 307
1 31.0 139
1 41.0 409
1 31.0 205
1 74.0 723
1 25.0 118
1 26.0 123
1 58.0 165
1 132.0 1049
1 33.0 332
1 27.0 99
1 94.0 584
1 70.0 445
1 1.0 183
1 17.0 190
1 7.0 379
1 75.0 284
1 89.0 764
1 20.0 224
1 17.0 441
1 124.0 640
1 141.0 955
1 37.0 230
1 37.0 83
1 34.0 616
1 14.0 168
1 8.0 120
1 34.0 130
1 17.0 162
1 21.0 50
1 72.0 605
1 69.0 530
1 3.0 169
1 8.0 136
1 8.0 245
1 26.0 245
1 23.0 145
1 23.0 115
1 17.0 170
1 19.0 172
1 32.0 241
1 118.0 805
1 6.0 203
1 37.0 395
1 66.0 262
1 101.0 470
1 33.0 173
1 0.0 864
1 27.0 153
1 3.0 302
1 0.0 566
1 22.0 83
1 17.0 1956
1 81.0 560
1 7.0 1457
1 137.0 463
1 48.0 129
1 34.0 149
1 25.0 170
1 3.0 109
1 24.0 77
1 18.0 232
1 47.0 499
1 124.0 224
1 64.0 702
1 26.0 115
1 24.0 62
1 65.0 363
1 40.0 223
1 28.0 215
1 0.0 999
1 11.0 246
1 62.0 312
1 6.0 156
1 14.0 176
1 132.0 939
1 15.0 217
1 90.0 512
1 223.0 489
1 60.0 411
1 26.0 241
1 19.0 282
1 24.0 81
1 77.0 427
1 35.0 286
1 7.0 137
1 0.0 812
1 95.0 437
1 31.0 329
1 53.0 682
1 71.0 374
1 14.0 349
1 0.0 186
1 26.0 93
1 37.0 205
1 7.0 235
1 25.0 63
1 0.0 716
1 38.0 225
1 38.0 340
1 29.0 42
1 90.0 639
1 49.0 415
1 20.0 111
1 127.0 769
1 55.0 362
1 110.0 564
1 58.0 510
1 14.0 538
1 13.0 262
1 28.0 135
1 9.0 140
1 24.0 168
1 21.0 241
1 102.0 635
1 12.0 198
1 30.0 66
1 203.0 1400
1 118.0 945
1 33.0 139
1 16.0 17
1 45.0 359
1 1.0 655
1 54.0 274
1 81.0 597
1 0.0 503
1 42.0 264
1 111.0 781
1 25.0 158
1 125.0 1124
1 23.0 158
1 89.0 873
1 32.0 122
1 32.0 416
1 37.0 132
1 33.0 187
1 106.0 438
1 26.0 89
1 10.0 234
1 16.0 155
1 27.0 113
1 8.0 231
1 34.0 48
1 35.0 159
1 17.0 205
1 17.0 166
1 0.0 696
1 0.0 853
1 28.0 106
1 18.0 438
1 19.0 228
1 30.0 103
1 19.0 168
1 43.0 259
1 33.0 232
1 9.0 222
1 56.0 156
1 48.0 262
1 22.0 255
1 25.0 197
1 41.0 222
1 6.0 173
1 72.0 260
1 27.0 233
1 34.0 234
1 62.0 368
1 80.0 531
1 9.0 181
1 80.0 581
1 24.0 187
1 38.0 362
1 32.0 162
1 4.0 144
1 20.0 210
1 42.0 373
1 4.0 203
1 22.0 156
1 32.0 346
1 22.0 171
1 46.0 262
1 20.0 128
1 44.0 207
1 17.0 9
1 34.0 215
1 43.0 171
