count robl cc
23 0.18723923476885573 16
23 0.75 2
23 0.13833274317941724 22
23 0.09383063839797176 18
23 0.2586468387891814 12
23 0.20187820371099277 20
23 0.07512748535544989 17
23 0.09276367627474018 19
22 0.2384823348297014 13
22 0.5298497347763736 2
22 0.25569274996394314 13
22 0.00047348484848484844 41
22 0.05779696919311981 17
22 0.1318416783190565 45
22 0.04609605988701535 27
21 0.4713557490120381 4
21 0.2026248646168321 24
21 0.225589767117709 16
21 0.02055328432822782 29
21 0.05651924177440747 21
21 0.27961385486727913 13
21 0.17275666247531807 15
21 0.21491535222595354 14
21 0.05945790581237704 23
21 0.12677009235004089 27
21 0.1990396489994882 17
20 0.1362882669576015 29
20 0.19203349705981204 19
20 0.6412627960275019 1
20 0.709702380952381 2
20 0.1339815649316832 41
20 0.17089547546829026 16
20 0.07467268295747875 23
20 0.12215004240926344 22
20 0.25793041628004065 19
19 0.5564891395154553 2
19 0.01714420708507747 21
19 0.29721852875269866 9
19 0.0888048058893891 23
19 0.0030175495473974286 47
19 0.1462740067902615 21
19 0.07866986981690999 21
19 0.3333333333333333 8
19 0.16671544553582765 23
19 0.3506637165202619 15
19 0.15420333689910803 19
19 0.16095196892635802 31
19 0.579125196028485 4
19 0.184955504431414 14
19 0.27615158189800953 14
19 0.5837863727712188 2
19 0.02632730293168973 17
18 0.06357868122106494 22
18 0.8324915824915826 1
18 0.030487090568454642 19
18 0.19244845864308419 21
18 0.10131877237244209 20
18 0.14302433474949586 23
18 0.37149263571677366 8
18 0.10120753568426291 27
18 0.13113983633151743 52
18 0.17514177504374942 19
18 0.12864041747002625 17
18 0.09942785286091135 22
17 0.22846589555004335 20
17 0.09994426779123435 21
17 0.23358858185104506 18
17 0.01587883106882941 19
17 0.6233031674208145 2
17 0.017942968052592382 24
17 0.32857679214811164 12
17 0.19773074346191324 28
17 0.0 40
17 0.47101739605520493 3
17 0.4354074176155566 11
17 0.02453359141882581 33
17 0.18925169099581357 17
17 0.12216845984492589 20
17 0.6656862745098039 3
17 0.017332815089583634 22
17 0.3865544364764701 7
17 0.02262422449372934 35
17 0.20446332327572397 15
16 0.03269925544248597 22
16 0.04921416924131337 25
16 0.42155891022988795 9
16 0.24213188286350867 21
16 0.0223768647425761 31
16 0.2756108312239483 12
16 0.0006944444444444445 44
16 0.37861879718475255 10
16 0.2355834139606001 15
16 0.21975739980580344 17
16 0.21074281164613115 19
16 0.4291742564500716 7
16 0.7467155103668262 3
16 0.5000798212005109 8
16 0.10902770572244072 25
16 0.2982419489084904 15
16 0.5449944481194481 3
16 0.15479923465899748 17
16 0.21783460180734618 18
16 0.3616581746322578 10
16 0.10696763986758534 23
15 0.08939783066400923 25
15 0.1718799455889643 26
15 0.002974181334837073 50
15 0.2191465920560803 22
15 0.2443888284157908 16
15 0.1294084935640067 58
15 0.430175983436853 10
15 0.41612721643681394 7
15 0.035121903868076745 21
15 0.2656098099701033 16
15 0.6002706806628375 6
15 0.14348953330266007 33
15 0.6105244743754061 4
15 0.29203928689353503 12
15 0.10512030697878917 35
14 0.026369473311302027 25
14 0.21978763739164345 15
14 0.28785128177965164 19
14 0.8342490842490843 2
14 0.06302410309704345 30
14 0.15447457579906443 20
14 0.02129179679944768 40
14 0.45266711150169797 6
14 0.2898725595139205 17
14 0.19063323852811562 23
14 0.1325521357012529 25
14 0.0028452608989961545 52
14 0.7321308321308322 1
13 0.17293821154869177 25
13 0.04066236712116113 24
13 0.1468227466436707 26
13 0.08675552191202349 36
13 0.15454144027819033 24
13 0.4382264957264957 9
13 0.10257887859302547 32
13 0.30344202465327885 12
13 0.5219343627671733 1
13 0.4646211189989471 8
13 0.07338487861791917 28
13 0.0 69
13 0.6271645021645023 3
13 0.004640021101968677 46
13 0.06587598665732851 25
13 0.0462374725351025 17
12 0.14190723003541963 35
12 0.39178262213976495 11
12 0.0018018018018018018 56
12 0.03554712033186662 30
