count nobl hse
63 2.0 16067
62 4.0 17029
62 0.0 32432
62 2.0 15575
61 0.0 25367
60 7.0 6757
60 4.0 14713
60 0.0 31562
60 5.0 7837
60 0.0 29890
60 5.0 25536
59 5.0 6091
59 5.0 4525
59 4.0 16698
59 1.0 19925
58 4.0 15366
58 2.0 16837
58 6.0 1633
58 2.0 24286
58 2.0 20786
58 3.0 26230
58 0.0 24725
58 3.0 16410
58 3.0 19486
57 5.0 12610
57 5.0 14638
57 0.0 32027
57 4.0 17771
57 3.0 17023
57 2.0 21247
57 5.0 10600
57 5.0 9670
56 4.0 2380
56 1.0 20265
56 4.0 15665
56 0.0 30297
56 5.0 8401
56 3.0 18184
56 5.0 11849
55 5.0 14245
55 5.0 18496
55 5.0 2842
55 5.0 15719
55 5.0 7583
55 2.0 19296
54 6.0 12000
54 2.0 19628
54 8.0 5231
54 5.0 16708
54 3.0 18421
54 3.0 25782
54 2.0 21963
53 0.0 33356
53 5.0 5741
53 0.0 26088
53 4.0 1527
53 0.0 28148
53 3.0 14932
53 5.0 1507
53 0.0 31116
53 2.0 23050
53 4.0 21366
53 5.0 9394
52 5.0 6402
52 2.0 14516
52 6.0 14689
52 5.0 11189
52 4.0 19788
51 2.0 21611
50 5.0 5403
50 4.0 18137
50 4.0 1864
50 6.0 12903
50 3.0 19059
50 1.0 21192
50 0.0 25039
50 4.0 25019
50 5.0 18848
50 6.0 16680
49 1.0 25134
49 5.0 10328
49 6.0 12491
49 1.0 20875
49 5.0 6690
48 5.0 2199
48 5.0 11529
48 1.0 22541
48 5.0 5110
48 3.0 18739
48 4.0 14433
48 5.0 18139
48 5.0 22594
47 4.0 18524
47 5.0 20485
47 0.0 27805
47 3.0 22648
47 6.0 10142
47 0.0 29158
47 4.0 21854
46 2.0 22294
46 4.0 25624
46 1.0 21902
46 0.0 25840
46 3.0 21226
46 3.0 24646
46 5.0 3897
46 6.0 16231
45 0.0 34826
45 1.0 24766
45 5.0 21014
45 6.0 13381
45 4.0 19405
44 3.0 19859
44 3.0 461
44 1.0 23630
44 4.0 22832
44 3.0 25245
44 0.0 35748
44 4.0 20572
44 3.0 21619
44 0.0 30711
44 4.0 24525
44 2.0 23518
44 4.0 26883
43 1.0 23271
43 0.0 36730
43 4.0 17372
43 2.0 25200
43 7.0 13310
43 1.0 22210
43 5.0 15319
43 0.0 25598
43 5.0 8128
43 6.0 10540
42 4.0 22331
42 5.0 8696
42 0.0 34168
42 1.0 20584
42 4.0 20258
41 5.0 3586
41 4.0 26231
41 2.0 22639
41 1.0 22915
41 7.0 13727
41 3.0 20831
41 5.0 7007
41 4.0 27652
41 0.0 35304
41 6.0 11612
41 4.0 2159
41 5.0 10893
40 3.0 20207
40 3.0 21940
40 3.0 23629
40 7.0 5415
40 6.0 13803
40 7.0 2353
40 7.0 16778
40 5.0 19965
40 5.0 22082
40 5.0 4227
40 2.0 24738
40 4.0 23661
40 7.0 8971
39 0.0 28889
39 4.0 19137
39 6.0 7145
39 6.0 7910
39 5.0 4793
39 6.0 7506
39 7.0 22644
39 5.0 19234
39 6.0 15782
39 0.0 29488
38 3.0 22238
38 5.0 21586
38 5.0 24072
38 2.0 23900
38 6.0 18741
38 3.0 23295
38 0.0 33786
38 6.0 18344
38 4.0 23260
37 2.0 30223
37 6.0 15428
37 6.0 21390
37 6.0 11260
37 6.0 5676
37 7.0 17418
37 6.0 27383
37 5.0 16385
37 5.0 27778
37 1.0 27504
37 6.0 14197
36 2.0 28950
36 8.0 6724
36 4.0 18802
36 6.0 20462
36 6.0 9368
36 3.0 20460
36 6.0 17801
36 2.0 25657
36 5.0 23128
36 5.0 16048
35 4.0 20960
35 11.0 15110
35 3.0 26725
35 9.0 6950
35 7.0 18108
35 8.0 6321
35 1.0 28525
35 1.0 26215
34 6.0 8284
34 6.0 23626
34 6.0 24909
34 7.0 19793
34 0.0 34489
34 5.0 3204
34 0.0 41637
33 0.0 40973
33 7.0 19168
33 1.0 24405
33 6.0 9778
33 5.0 15007
33 6.0 8610
33 5.0 27086
33 10.0 8116
33 6.0 17049
33 1.0 24087
33 1.0 26635
33 6.0 21872
32 0.0 37316
32 3.0 24043
32 6.0 15079
32 0.0 36219
32 7.0 25279
31 0.0 43237
31 0.0 42634
31 3.0 27706
31 3.0 30961
31 4.0 28787
31 3.0 29231
31 5.0 26630
31 0.0 43932
31 5.0 24626
31 1.0 30383
31 1.0 27944
31 4.0 24046
30 8.0 18418
30 1.0 31490
30 3.0 27266
30 1.0 25515
29 3.0 34060
29 1.0 27009
29 2.0 29483
29 6.0 19643
29 7.0 1747
29 7.0 23240
29 2.0 27450
29 5.0 23553
29 7.0 26161
29 3.0 32347
29 4.0 29395
28 12.0 15205
28 6.0 17436
28 3.0 40202
28 11.0 6110
28 6.0 33553
28 6.0 5102
28 8.0 15329
28 4.0 30459
28 4.0 28199
