loc hsv count
92.0 5324 3
63.0 5867 3
34.0 1307 3
47.0 769 3
137.0 10384 3
78.0 1907 3
89.0 4147 3
48.0 1014 3
95.0 5197 3
41.0 3150 3
68.0 2454 3
108.0 6348 3
126.0 5201 3
63.0 4709 3
82.0 4296 3
73.0 6248 3
39.0 2653 3
92.0 4104 3
152.0 8483 3
81.0 3273 3
197.0 15411 3
125.0 7426 3
77.0 2933 3
70.0 4299 3
86.0 3017 3
78.0 3209 3
120.0 5438 3
62.0 2876 3
120.0 7696 3
70.0 5219 3
93.0 3593 3
61.0 1588 3
99.0 6878 3
121.0 7918 3
64.0 4817 3
64.0 692 3
109.0 5982 3
63.0 3622 3
82.0 2607 3
125.0 4858 3
20.0 2 3
61.0 3524 3
31.0 1498 3
34.0 1064 3
32.0 2414 3
114.0 7427 3
74.0 4594 3
73.0 2485 3
39.0 524 3
63.0 2906 3
255.0 18277 3
45.0 337 3
30.0 2 3
21.0 2223 3
64.0 4753 3
117.0 6194 3
162.0 923 3
50.0 3984 3
54.0 930 3
63.0 1089 3
124.0 5186 3
31.0 2639 3
32.0 1648 3
80.0 4085 3
67.0 5457 3
169.0 14799 3
34.0 3692 3
60.0 1454 3
80.0 3641 3
74.0 2879 3
42.0 4451 3
70.0 6069 3
93.0 3542 3
110.0 6492 3
79.0 5387 3
162.0 9143 3
59.0 5928 3
55.0 4951 3
220.0 6966 3
95.0 4679 3
76.0 3599 3
139.0 9362 3
68.0 3192 3
59.0 3927 3
44.0 5420 3
96.0 5801 3
23.0 1819 3
90.0 3063 3
56.0 4617 3
74.0 2160 3
133.0 7845 3
78.0 5168 3
81.0 5498 3
110.0 4663 3
46.0 3005 3
106.0 5647 3
97.0 4093 3
114.0 5949 3
292.0 19643 3
65.0 4366 3
124.0 4730 3
68.0 3910 3
100.0 4571 3
57.0 2523 3
79.0 3157 3
286.0 14959 3
807.0 60698 3
103.0 5952 3
63.0 4095 3
68.0 3982 3
78.0 3995 3
42.0 878 3
59.0 4302 3
118.0 5271 3
159.0 9877 3
31.0 2953 3
16.0 2148 3
53.0 4184 3
16.0 1512 3
73.0 3341 3
31.0 282 3
31.0 3201 3
18.0 1523 3
82.0 2251 3
63.0 1666 3
38.0 3242 3
27.0 2831 3
56.0 1230 3
93.0 5681 3
75.0 2802 3
29.0 3343 3
94.0 3997 3
14.0 1300 3
88.0 5154 3
33.0 2886 3
14.0 1656 3
61.0 3579 3
100.0 5132 3
318.0 16191 4
137.0 5296 4
68.0 1236 4
16.0 1718 4
59.0 4125 4
72.0 3013 4
82.0 5056 4
85.0 6335 4
86.0 3934 4
84.0 5488 4
55.0 2237 4
93.0 5597 4
133.0 6998 4
131.0 8247 4
100.0 4110 4
76.0 1978 4
51.0 4788 4
221.0 12350 4
95.0 3853 4
92.0 6018 4
95.0 5564 4
140.0 4569 4
89.0 4981 4
17.0 125 4
131.0 6753 4
73.0 5205 4
100.0 4766 4
121.0 7456 4
87.0 4532 4
72.0 1394 4
167.0 9997 4
90.0 3809 4
61.0 1991 4
61.0 5814 4
57.0 2923 4
29.0 2535 4
137.0 6370 4
59.0 2253 4
125.0 7503 4
71.0 4263 4
58.0 4503 4
89.0 4122 4
85.0 2539 4
46.0 2019 4
85.0 4475 4
141.0 7639 4
70.0 1954 4
72.0 3579 4
61.0 3010 4
71.0 3840 4
68.0 2232 4
118.0 7800 4
60.0 4456 4
21.0 1833 4
48.0 3522 4
52.0 1252 4
67.0 1802 4
48.0 4119 4
59.0 5162 4
60.0 4587 4
76.0 2550 4
142.0 5977 4
81.0 3844 4
105.0 5376 4
212.0 11285 4
73.0 2112 4
36.0 5296 4
87.0 4214 4
72.0 3970 4
57.0 2451 4
54.0 3089 4
61.0 4776 4
24.0 1875 4
78.0 3819 4
62.0 3444 4
34.0 2457 4
97.0 5514 4
62.0 1506 4
151.0 5618 4
15.0 140 4
103.0 6221 4
52.0 3320 4
23.0 1978 4
156.0 8216 4
54.0 1220 4
32.0 2758 4
51.0 1626 4
102.0 7050 4
36.0 1207 4
86.0 5358 4
