count robl hsd
84 0.18288002783458573 9
84 0.18265585960682232 13
84 0.33375818370058 12
83 0.39857650814419066 10
83 0.12501352922290696 22
83 0.24839346450602837 13
83 0.28362738450619385 7
83 0.37510175514466243 19
82 0.27016775768481427 10
82 0.11318366587404856 9
82 0.136762830191497 14
82 0.23678111957140308 14
82 0.11555579990898497 15
82 0.14095948314883502 7
82 0.15393323541028933 11
82 0.19914659359792378 11
82 0.105277995679327 11
82 0.20023992909102023 9
82 0.08766232277777629 12
81 0.3333548976417299 16
81 0.3043118137065301 11
81 0.10065293124277166 16
81 0.2005681351661941 13
81 0.3333333333333333 12
81 0.08834601746702112 15
81 0.6666666666666666 6
81 0.17268088957706673 17
80 0.17640279337743786 15
80 0.5004166666666666 8
80 0.3333333333333333 5
80 0.2202473626090112 10
79 0.4277029599314743 10
79 0.2015394754751313 10
79 0.20038378218195643 16
79 0.3015499541936521 9
79 0.2289830251066266 15
79 0.4 7
79 0.1093033125583839 10
78 0.16359805482451878 11
78 0.1923529456891375 16
78 0.1651759186677627 16
78 0.12556031181078514 17
78 0.1119777992664394 11
77 0.17719112438363777 8
77 0.16155686867891728 15
77 0.20094147706929663 9
77 0.3334587105274342 12
77 0.101287566799078 18
77 0.33159862466082557 6
76 0.18149575495283726 15
76 0.19998722134283078 7
76 0.24971177944862158 7
76 0.22051688513497175 17
76 0.33367868312117405 13
76 0.3763769567613058 15
76 0.30049302833211766 9
76 0.3092186985452221 10
75 0.090057780145136 11
75 0.2426608960118088 11
75 0.1282045828644277 12
75 0.3087344796317336 10
75 0.40043493761140825 9
75 0.25001503104209816 11
75 0.28253733068182785 14
75 0.1383357693827715 17
75 0.20017301689522288 8
74 0.09039353901029136 17
74 0.3325844861328732 13
74 0.20084011658688716 14
74 0.2682283431370488 12
74 0.08406737107487842 16
74 0.30355332224707604 12
73 0.1409546211259333 18
73 0.3333333333333333 11
73 0.24817119433811655 17
73 0.2468053323460019 16
73 0.40114155251141553 7
73 0.16754584947281434 10
73 0.6666666666666666 6
72 0.5 7
72 0.0658151179373552 14
72 0.0980548757737376 19
72 0.05687267047218189 21
72 0.5 12
71 0.2540002154671945 14
71 0.07359756800817704 18
71 0.12927870283275159 7
71 0.11085426049918398 16
71 0.3977120813672091 13
70 0.08256423902720364 16
70 0.0933996500906072 10
70 0.3320539436317853 14
70 0.373002561348426 8
70 0.22537690448225828 17
70 0.20065706137264344 8
70 0.5 10
70 0.3686557399889996 10
69 0.18308141872647585 16
69 0.2859284060117467 11
69 0.07293923312355544 15
69 0.4 5
69 0.14657332358141206 16
69 0.24451632735240159 15
69 0.1875229655311272 17
68 0.30555961499593665 14
68 0.22342243492762523 7
68 0.09389009013207134 14
68 0.3685497781675618 9
68 0.39847617780143735 6
68 0.15519632315943435 17
68 0.14669744893704273 18
68 0.10694340836693314 15
68 0.3985528542924802 11
67 0.15783013791654796 8
67 0.08118267837174918 12
67 0.4002487562189055 8
67 0.18191564720986028 8
67 0.1998578535891969 8
66 0.10976214196005427 17
66 0.10911808852184639 11
66 0.09020539856080018 18
66 0.12058794389306325 16
66 0.14950290955557338 20
66 0.42547349694795517 12
65 0.3727546192704564 14
65 0.16732430535691872 14
65 0.20014457212949174 14
65 0.28725815990030035 6
65 0.24910243590766534 15
65 0.14736571870175108 8
65 0.4992992514731645 11
65 0.24776752111629874 14
64 0.0633515227683109 16
64 0.2723280806881736 14
64 0.14894891520718903 17
64 0.06169038275488035 17
63 0.27014024676246196 11
63 0.2844012364612115 15
63 0.2714581691339442 8
63 0.25005012531328324 6
63 0.08688555987516244 13
63 0.1756825275120954 18
63 0.18279599777560776 15
63 0.17809752039243518 19
63 0.2692134059002018 13
62 0.3027826732191014 13
62 0.30186542413834155 10
62 0.13137729810193446 17
62 0.24914159212071926 8
62 0.15349406701099502 10
62 0.2286669831278922 16
62 0.07966404666488978 15
62 0.09493414365577084 20
62 0.29510044436132454 11
62 0.08174038794478043 14
62 0.26830302071804124 13
61 0.1431836710200443 19
61 0.3985568165896035 9
61 0.1911232448748512 18
61 0.2728466223071344 15
61 0.30456342562640476 15
61 0.5004314063848145 10
60 0.24873121722017863 18
60 0.36246227436799694 11
60 0.18102605952089285 20
60 0.2934710651198758 14
60 0.33458976812809005 14
60 0.17866307065747883 19
60 0.426106900103232 12
59 0.22073795279945052 16
59 1.0 7
59 0.17470882806127075 7
59 0.17675202324515255 7
59 0.4995964487489911 10
59 0.3029531345235548 8
58 0.6666666666666666 5
58 0.4 6
58 0.0893089364637352 18
58 0.30560141126941726 13
58 0.11321958990785538 21
57 0.3024743178122951 8
57 0.21327077333117056 16
57 0.2062387409092906 17
57 0.28460235059822264 13
57 0.37506038157454474 11
57 0.3047365176567094 12
57 0.08142883344752964 14
56 0.1268086765599193 18
56 0.08583790310829018 19
56 0.20123843485925366 19
56 0.2529945668450922 16
56 0.42494543528994067 10
56 0.2275969603623494 19
55 0.20461642020902546 17
55 0.39142191142191146 11
55 0.28512846841187434 16
55 0.0745431011882175 13
55 0.1264629931023793 8
55 0.42054811523111424 5
55 0.5 6
55 0.28837889383343923 6
55 0.21007584191467843 19
55 0.1619259105562191 23
55 0.2589110040602514 18
55 0.3174498882766544 16
54 0.5008417508417509 5
54 0.37135631730574975 12
54 0.11655929391807807 18
54 0.14943247144507907 18
54 0.33311287477954143 15
54 0.7493386243386243 6
54 0.22148739915617383 20
54 0.5 4
53 0.06460766026780156 20
53 0.09442656806867453 9
53 0.37139259284244386 8
53 0.3102297084612842 15
53 0.12786981869209346 8
52 0.11711196043916935 19
52 0.1680836877322487 17
52 0.12548893189404253 19
52 0.2494992794567736 20
52 0.4019252504759849 14
51 0.30200643010240535 7
51 0.33428966777742214 15
51 0.3007330760358442 7
51 0.4001562944018187 7
51 0.12122792907293425 20
51 0.39801954226506653 12
51 0.3648098633392751 5
51 0.1666906171975554 19
50 0.09384848699492705 20
50 0.2470490222595746 17
50 0.33182121232904344 17
50 0.3003361612121445 18
50 0.1584578574233918 20
50 0.6675 7
50 0.10773130827360328 10
50 0.5 9
49 0.3333333333333333 6
49 0.5 13
49 0.4262633624878523 9
49 0.1216918537359192 20
49 0.059530753434385075 14
49 0.6666666666666666 4
49 0.08494033418571081 10
49 0.06031036122238305 17
49 0.0598858503402516 15
49 0.44954945847802985 11
49 0.21159135713544533 18
49 0.06336115337885334 20
48 0.060587482543587284 16
48 0.15354602052918606 21
48 0.36674669583338315 13
48 0.400512872401193 12
48 0.36878675224843954 12
48 0.2324907474063399 16
48 0.09796039733782458 22
48 0.21391762775151302 19
48 0.22261650386650386 6
48 0.14708289291213444 26
47 0.19657973099357517 17
47 0.2691103217459141 18
47 0.4504046305376916 10
47 0.3472415268440188 15
46 0.095846579471281 9
46 0.14580069222188466 19
46 0.4691240373510063 17
46 0.18354683276543665 17
46 0.4262711072224466 11
46 0.3019260479272695 16
46 0.41795352505461936 14
46 0.23868443908728496 18
45 0.45439270720488467 10
45 0.059704495434586294 18
45 0.19891108035156885 6
45 0.26620003181601753 16
45 0.33287037037037037 7
44 0.5 6
44 0.07787334734539379 21
44 0.2738811862554357 17
44 0.27528080443481245 17
44 0.061552342551589874 12
44 0.2503787878787879 6
44 0.3331105169340463 6
44 0.31177394090203536 11
44 0.4294237012987013 8
44 0.5 12
44 0.14099964015572483 21
44 0.30698707838143885 15
44 0.2234977216251415 21
43 0.6677610579115366 9
43 0.3031333087071092 17
43 0.0980779634432979 8
43 0.1307139913446595 20
43 0.3631922113454262 7
42 0.2877336759967346 19
42 0.07549375570915903 10
42 0.1647175617854756 21
42 0.5005463876140568 15
42 0.37126145226047197 14
42 0.5709028055666711 12
42 0.4276502267573696 8
42 0.22854775365363203 23
41 0.15119830804378045 22
41 0.6034150692380307 11
41 0.17136880336306448 6
41 0.4285619011909685 14
41 0.2917791227778435 17
41 0.21490074965684722 7
41 0.06722799884513196 13
40 0.4385581175145804 13
40 0.3631854968685068 16
40 0.15537915369684954 22
40 0.06414186600925952 11
40 0.3742850351402983 7
40 0.059889588518897884 15
40 0.19994122241013784 21
40 0.06087208513370226 19
40 0.20665305036039658 23
40 0.6666666666666666 9
40 0.3743172397777661 12
40 0.17817236088741434 21
40 0.30434440276256247 20
40 0.0694235712887806 12
39 0.3599767040805158 23
39 0.22180906326995242 22
39 1.0 10
38 0.3462685888392578 20
38 0.06956519858770915 24
38 0.2741570222688803 20
38 0.16727570531346184 18
38 0.4506450549794203 9
38 0.08834710593835159 22
38 0.42901477392576465 13
38 0.06552493997759308 11
37 0.1506084471152147 22
37 0.6041988416988416 6
37 0.24582583169110342 19
37 0.33159822159822155 13
37 0.11842893664367582 21
36 1.0 5
36 0.36968714978427114 17
36 0.08314649102433845 21
36 0.17721911625043751 22
36 0.14984589113084196 23
36 0.25358360336876173 19
36 0.12053078516338364 23
36 0.2791657668211338 19
36 0.18818753010928183 20
36 0.42930224867724864 9
36 0.6666666666666666 8
36 0.3744501518624326 13
36 0.19508402706349542 20
36 0.32352364107486853 17
35 0.42934412895593016 11
35 0.19324675324675325 6
35 0.44406843156843157 7
35 0.3035641610748624 19
35 0.7718925518925519 13
35 0.3720667903525046 7
35 0.5646472157750354 9
35 0.1144716941040966 22
35 0.17984894869114337 23
35 0.4317293817293817 6
35 1.0 7
34 0.16344973274680186 24
34 0.25311316371741266 21
34 0.6666666666666666 7
34 0.27169983242083984 20
34 0.21882758734377458 20
34 0.3313496592509794 19
34 0.6670994124554496 11
34 0.24219912370293858 23
33 0.4329156775199005 16
33 0.20746318096148522 22
33 0.10504154906789437 7
33 0.06296240646159945 23
33 0.7486772486772486 8
33 0.39566527645573957 17
33 0.190535263124813 24
33 0.19253635780514475 22
32 0.5585796148296148 8
32 0.15341726676132936 25
32 0.3781673142281695 15
