count nobl hsv
14 11.0 3694
14 14.0 4393
14 14.0 3591
14 14.0 3102
14 0.0 4826
14 10.0 3251
14 13.0 1625
14 9.0 3283
14 15.0 2738
14 3.0 3608
14 2.0 4693
14 0.0 5953
14 4.0 3599
14 1.0 3157
14 9.0 3487
14 8.0 3691
14 15.0 2333
14 10.0 5151
14 13.0 894
14 12.0 2222
14 0.0 4391
13 10.0 3487
13 13.0 1421
13 12.0 3469
13 5.0 3995
13 12.0 3974
13 7.0 4014
13 17.0 2296
13 13.0 2840
13 0.0 6269
13 1.0 3631
13 14.0 2681
13 12.0 1200
13 16.0 3726
13 1.0 3493
13 8.0 4424
12 11.0 3311
12 6.0 4102
12 5.0 4261
12 0.0 7800
12 2.0 3611
12 15.0 3236
12 12.0 3674
12 12.0 849
12 1.0 3894
12 9.0 4079
12 0.0 7277
12 10.0 3791
12 6.0 5055
12 7.0 4175
12 11.0 3184
12 17.0 3762
12 15.0 2953
12 9.0 3369
12 14.0 1754
12 18.0 1642
12 13.0 634
12 12.0 4190
12 9.0 3589
11 17.0 4104
11 6.0 4839
11 10.0 3984
11 6.0 4007
11 4.0 4321
11 21.0 4228
11 13.0 3595
11 9.0 4554
11 12.0 4789
11 0.0 5135
11 9.0 5787
11 16.0 2559
11 13.0 4941
11 9.0 5021
11 4.0 5287
11 3.0 3022
11 10.0 4115
11 9.0 3902
11 13.0 3717
11 16.0 3556
11 12.0 3793
11 14.0 3936
11 11.0 3926
11 14.0 2937
11 15.0 4083
11 0.0 6827
10 5.0 4581
10 18.0 4029
10 6.0 4198
10 16.0 1649
10 9.0 5557
10 17.0 3257
10 3.0 4167
10 0.0 6470
10 19.0 4858
10 12.0 1362
10 12.0 4558
10 10.0 5374
10 5.0 4855
10 2.0 4542
10 14.0 4101
10 5.0 5033
10 12.0 4340
10 11.0 3060
10 11.0 876
10 6.0 3930
10 8.0 3098
10 17.0 2670
10 1.0 4044
10 11.0 5322
10 6.0 3421
10 19.0 5444
10 12.0 3145
10 0.0 7497
10 3.0 4319
10 17.0 3537
10 10.0 433
9 13.0 4698
9 13.0 3922
9 20.0 3154
9 15.0 5164
9 0.0 8579
9 13.0 3490
9 0.0 5745
9 10.0 4386
9 12.0 4949
9 7.0 4520
9 0.0 5453
9 12.0 1482
9 13.0 3313
9 0.0 5826
9 2.0 4188
9 11.0 3850
9 0.0 7668
9 18.0 3417
9 2.0 4362
9 11.0 3573
9 14.0 1570
9 3.0 4542
9 14.0 3803
9 14.0 4575
9 16.0 3952
9 19.0 1439
9 10.0 4965
9 18.0 5409
9 11.0 4030
9 14.0 3405
8 11.0 4293
8 13.0 5189
8 3.0 3758
8 15.0 5329
8 16.0 3063
8 2.0 5083
8 13.0 4104
8 14.0 4739
8 0.0 16035
8 8.0 4612
8 15.0 2595
8 2.0 4914
8 13.0 6018
8 0.0 6612
8 3.0 5999
8 6.0 5367
8 7.0 4738
8 0.0 8371
8 24.0 3764
8 15.0 3564
8 21.0 5799
8 14.0 4956
8 20.0 5135
8 10.0 4219
8 13.0 7025
8 14.0 5680
8 1.0 5723
8 7.0 6750
8 11.0 512
8 9.0 4367
8 8.0 3832
8 16.0 5345
8 19.0 3639
8 7.0 4345
8 15.0 2071
8 8.0 253
8 15.0 4446
8 11.0 6689
8 18.0 4199
8 9.0 4772
8 3.0 5078
8 21.0 3544
8 17.0 5004
7 15.0 1824
7 5.0 4720
7 3.0 4740
7 12.0 5209
7 11.0 4169
7 0.0 10585
7 6.0 6407
7 4.0 4497
7 2.0 6183
7 17.0 2990
7 14.0 1248
7 21.0 6150
7 8.0 4764
7 12.0 5782
7 15.0 4863
7 1.0 5985
7 4.0 3849
7 15.0 1962
7 19.0 4599
7 11.0 4465
7 4.0 4631
7 7.0 5121
7 30.0 3355
7 18.0 3285
7 19.0 2104
7 14.0 5197
7 0.0 11253
7 19.0 4139
7 14.0 1409
7 10.0 6179
7 18.0 3578
7 20.0 3675
7 11.0 5575
7 15.0 2174
7 11.0 5923
7 15.0 3730
7 18.0 4791
7 15.0 3933
7 14.0 6100
7 4.0 3961
7 6.0 3515
7 3.0 4850
6 10.0 4535
6 10.0 4770
6 8.0 6647
6 1.0 4837
6 1.0 5137
6 13.0 1231
6 23.0 3992
6 21.0 5119
6 12.0 7409
6 12.0 5999
6 14.0 6920
6 16.0 1122
6 10.0 4665
6 10.0 5980
6 14.0 5478
6 18.0 4551
6 18.0 3715
6 15.0 4642
6 16.0 6932
6 15.0 5796
6 8.0 6286
6 11.0 7631
6 2.0 5721
6 23.0 6536
6 0.0 9337
6 15.0 3451
6 5.0 4418
6 8.0 5089
6 0.0 8847
6 20.0 3478
6 16.0 2103
6 20.0 5599
6 9.0 7565
6 13.0 5366
6 0.0 9028
6 1.0 4447
6 5.0 5296
6 4.0 4916
6 16.0 3312
6 16.0 5577
6 22.0 8603
6 20.0 4966
6 7.0 145
5 0.0 9850
5 0.0 12006
5 1.0 4174
5 22.0 9557
5 25.0 5414
5 3.0 5505
5 5.0 4163
5 2.0 5578
5 3.0 3836
5 16.0 3206
5 1.0 6307
5 25.0 4793
5 7.0 6143
5 2.0 5235
5 21.0 3248
5 21.0 5447
5 18.0 2124
5 19.0 4335
5 18.0 2762
5 12.0 512
5 20.0 6083
5 8.0 5781
5 1.0 4993
5 16.0 2907
5 10.0 7087
5 10.0 7734
5 8.0 7828
5 20.0 4051
5 21.0 4684
5 19.0 3841
5 15.0 1375
5 0.0 23470
5 2.0 5365
5 16.0 5210
5 11.0 227
5 8.0 6020
5 21.0 4830
5 9.0 6079
5 12.0 6617
5 3.0 6414
5 12.0 5627
5 7.0 4921
5 16.0 4464
5 7.0 5868
5 19.0 2739
5 14.0 7441
5 6.0 5624
5 8.0 5388
5 23.0 7530
5 9.0 54
5 16.0 6202
5 5.0 5156
5 16.0 1920
5 9.0 6323
5 4.0 7440
4 22.0 7154
4 14.0 6750
4 16.0 4793
4 21.0 9566
4 6.0 43
4 5.0 6850
4 15.0 9034
4 8.0 6485
4 17.0 5936
4 20.0 6445
4 5.0 5870
4 20.0 8735
4 16.0 1402
4 18.0 7914
4 9.0 4232
4 16.0 6454
4 13.0 9515
4 14.0 5902
4 17.0 767
4 17.0 1696
4 15.0 4259
4 17.0 1061
4 23.0 6890
4 21.0 6463
4 20.0 7593
4 13.0 5576
4 7.0 6311
4 17.0 4843
4 19.0 2982
4 16.0 557
4 18.0 5685
4 18.0 5101
4 18.0 2512
4 17.0 4598
4 15.0 1522
4 20.0 884
4 0.0 11420
