count robl rocl
60 0.11333333333333333 0
59 0.2730635492178449 0
59 0.17880424660085678 0
59 0.06682629161089221 0
58 0.1911407428648808 0
58 0.799722906403941 0
57 0.11335818177923442 0
57 0.3325667773036194 0
56 0.08137107972634287 0
56 0.25821681305552274 0
56 0.4111502454634427 0
55 0.17608026773473462 0
55 0.2854285714285714 0
55 0.16688839615668882 0
55 0.13299790683993318 0
54 0.16691831204026325 0
54 0.06025992888737987 0
54 0.10095090589906539 0
54 0.30725876378050293 0
54 0.10054906499646364 0
54 0.08944009037519268 0
53 0.11956732690984606 0
53 0.12488495167970548 0
53 0.23101112723754236 0
52 0.1497566891797661 0
52 0.29725573990279874 0
52 0.09534830867074179 0
52 0.13904407438890198 0
52 0.3333333333333333 0
52 0.09261807728956685 0
52 0.299543767109733 0
51 0.37504170837504175 0
51 0.21545629210271156 0
51 0.14275755855917333 0
50 0.0785070576649524 0
50 0.6662745098039216 0
50 0.18216884901095426 0
49 0.10778255622509113 0
49 0.3186654719259961 0
48 0.06956417624521073 0
48 0.08619737750172533 0
48 0.20771357370255095 0
48 0.17292061721752364 0
48 0.18210059109181917 0
48 0.4440972222222222 0
48 0.20010683760683765 0
48 0.14875065315195635 0
48 0.2147788316266577 0
48 0.26670437405731523 0
47 0.0901509056233712 0
47 0.10511248235888156 0
47 0.2006546644844517 0
47 0.3032963605485855 0
46 0.09090909090909091 0
46 0.14328265770783394 0
46 0.3998975259844825 0
46 0.26347998606041406 0
45 0.1904207202594299 0
45 0.07914803062171483 0
44 0.2780159846901618 0
44 0.3899839729879256 0
44 0.1591272009777952 0
44 0.37507678132678135 0
44 0.1250035533572119 0
43 0.17370260427873166 0
42 0.15638270720507563 0
42 0.3157894736842105 1
42 0.3636309489968027 0
42 0.1435520911164827 0
42 0.06031619637102152 0
42 0.07192476994631666 0
42 0.19172853869942777 0
42 0.3767442874585732 0
41 0.4615335144781903 0
41 0.28566033494436327 0
41 0.5 0
41 0.10139884526230912 0
41 0.05209633456134599 0
41 0.3492281075297672 0
41 0.13640025835147784 0
40 0.24966216216216214 0
40 0.2 0
40 0.13090559836315355 0
40 0.13419983844557742 0
40 0.23663679406249066 0
40 0.27787371979074565 0
40 0.16655405405405405 0
40 0.0759276196928636 0
40 0.31216992906776725 0
40 0.2221910550101293 0
40 0.11041979949874685 0
40 0.26646757745262617 0
40 0.26155463910612653 0
39 0.3074642588539487 0
39 0.5566239316239316 0
39 0.49944258639910816 0
39 0.31243526588354176 0
39 0.2 0
39 0.13700172320861975 0
39 0.15430958605047676 0
39 0.13006693476681155 0
38 0.4288063909774436 1
38 0.25063474032064864 0
38 0.18074228373234402 0
37 0.3333333333333333 0
37 0.11646701741393276 0
37 0.28573619599935385 0
37 0.16504080366329713 0
37 0.41566968037556273 0
37 0.13037927912069788 0
36 0.18728972027583138 0
36 0.1919582629161701 0
36 0.75 3
36 0.5714285714285714 0
36 0.5432336182336183 0
36 0.08333333333333333 0
36 0.22208099909180096 0
36 0.18294556070291365 0
36 0.26656920077972707 0
36 0.3597534165181224 0
36 0.23798500881834211 1
36 0.27844206413531125 0
35 0.1479460727380383 0
35 0.17366292704963654 0
35 0.23717272686999236 0
35 0.18149043938517626 0
34 0.28713462334130463 0
34 0.2255054954533133 0
34 0.22739918999406664 0
34 0.27236291720651706 0
34 0.29361312727825073 0
34 1.0 3
34 0.38506953808666444 0
33 0.2927385789737903 0
33 0.23293497008667288 0
33 0.36827865117338804 1
33 0.3816175772697512 0
33 0.20752387802937605 0
33 0.5 0
33 0.06964051183215204 0
33 0.05850271237971773 0
33 0.21764100359673 0
32 0.12976513993995956 0
32 0.07834004552654264 0
32 0.1665259009009009 0
32 0.456646808990559 0
