robl cc count
0.26666666666666666 3 57
0.26666666666666666 5 56
0.11764705882352941 6 55
0.2727272727272727 5 55
0.15384615384615385 6 55
0.1 6 55
0.125 18 55
0.5 4 55
0.21052631578947367 1 54
0.1875 6 54
0.1 4 54
0.125 7 54
0.15 1 54
0.15 5 54
0.09523809523809523 1 54
0.1111111111111111 7 53
0.14285714285714285 8 53
0.4166666666666667 1 52
0.1111111111111111 2 52
0.09090909090909091 6 52
0.4 4 52
0.21052631578947367 5 52
0.1875 2 51
0.23529411764705882 3 51
0.26666666666666666 4 51
0.21052631578947367 4 51
0.5555555555555556 1 51
0.35714285714285715 3 50
0.125 8 50
0.4 5 50
0.6 2 50
0.3076923076923077 2 49
0.13333333333333333 6 48
0.5714285714285714 2 48
0.21428571428571427 6 47
0.15 6 46
0.17647058823529413 2 46
0.1111111111111111 8 46
0.38095238095238093 1 46
0.45454545454545453 1 45
0.36363636363636365 2 45
0.09523809523809523 6 45
0.2857142857142857 6 45
0.11764705882352941 7 45
0.09523809523809523 7 44
0.09523809523809523 4 44
0.2727272727272727 6 44
0.10526315789473684 7 44
0.4 7 44
0.1 7 43
0.15789473684210525 6 43
0.2 8 43
0.19047619047619047 2 43
0.8571428571428571 1 43
0.16666666666666666 8 43
0.36363636363636365 7 43
0.13636363636363635 5 42
0.3125 3 42
0.38461538461538464 1 42
0.36363636363636365 4 41
0.08695652173913043 6 41
0.3684210526315789 2 40
0.2777777777777778 4 40
0.19047619047619047 1 40
0.09090909090909091 7 40
0.2857142857142857 7 40
0.23529411764705882 6 39
0.16666666666666666 10 39
0.38461538461538464 6 39
0.3684210526315789 1 39
0.38461538461538464 3 38
0.1 3 38
0.3076923076923077 5 38
0.26666666666666666 2 38
0.7142857142857143 1 38
0.17647058823529413 6 38
0.15 3 38
0.23529411764705882 2 37
0.19047619047619047 4 37
0.47058823529411764 2 37
0.15 4 37
0.35714285714285715 1 37
0.16 5 37
0.09090909090909091 5 37
0.21052631578947367 6 37
0.15789473684210525 3 37
0.19047619047619047 5 37
0.25 8 37
0.13793103448275862 24 36
0.08333333333333333 6 36
0.29411764705882354 1 36
0.3125 5 36
0.09090909090909091 1 36
0.27586206896551724 1 36
0.21052631578947367 3 35
0.2631578947368421 1 35
0.3 6 35
0.1 2 35
0.2962962962962963 1 35
0.13043478260869565 7 35
0.29411764705882354 4 35
0.15384615384615385 7 35
0.19047619047619047 3 35
0.13333333333333333 7 34
0.35714285714285715 4 34
0.4166666666666667 2 34
0.38461538461538464 2 34
0.36 1 34
0.08695652173913043 1 34
0.13636363636363635 6 34
0.625 1 34
0.13043478260869565 5 34
0.3333333333333333 7 34
0.1875 7 33
0.21428571428571427 7 33
0.15 7 33
0.08695652173913043 5 33
0.11538461538461539 6 32
0.2777777777777778 5 32
0.15789473684210525 7 32
0.17391304347826086 6 32
0.19047619047619047 6 32
0.29411764705882354 3 32
0.08333333333333333 5 32
0.18181818181818182 7 32
0.10526315789473684 8 32
0.13043478260869565 1 31
0.35714285714285715 5 31
0.09523809523809523 8 31
0.2 9 31
0.21739130434782608 1 31
0.15384615384615385 8 30
0.3125 4 30
1.5 1 30
0.3125 1 30
0.3793103448275862 3 30
0.09090909090909091 3 30
0.35714285714285715 9 30
0.14285714285714285 9 30
0.08695652173913043 7 30
0.13043478260869565 6 30
0.26666666666666666 6 29
0.17391304347826086 4 29
0.13333333333333333 10 29
0.4074074074074074 1 28
0.09090909090909091 8 28
0.2631578947368421 5 28
0.23809523809523808 4 28
0.5 6 28
0.22727272727272727 1 28
0.13636363636363635 1 28
0.2777777777777778 3 28
0.7692307692307693 1 28
0.09090909090909091 2 27
0.13636363636363635 4 27
0.13513513513513514 31 27
0.13043478260869565 4 27
0.42857142857142855 4 27
0.08333333333333333 3 27
0.2631578947368421 2 27
0.09523809523809523 3 27
0.4166666666666667 4 27
0.08695652173913043 4 27
0.125 9 27
0.21739130434782608 3 27
0.2222222222222222 7 27
0.3125 2 26
0.22727272727272727 6 26
0.08 7 26
0.13636363636363635 7 26
0.18181818181818182 9 26
0.45454545454545453 2 26
0.17391304347826086 1 26
0.30434782608695654 4 26
0.20833333333333334 6 25
0.07142857142857142 7 25
0.11538461538461539 7 25
0.15789473684210525 2 25
0.23076923076923078 6 25
0.08333333333333333 1 25
0.10526315789473684 2 25
0.12 5 25
0.07692307692307693 8 25
0.2631578947368421 4 25
0.3157894736842105 6 25
0.38461538461538464 4 25
0.23809523809523808 1 25
0.4117647058823529 8 25
0.22727272727272727 5 25
0.14285714285714285 10 24
0.08 4 24
0.45454545454545453 3 24
0.19230769230769232 5 24
0.5 5 24
0.4166666666666667 3 24
0.07692307692307693 9 24
0.07692307692307693 7 24
0.8 2 24
