count robl coco
64 0.15215857999061125 9
64 0.10002268334479564 11
64 0.30662476890925167 4
62 0.04155679330823859 13
62 0.17652402400288153 9
62 0.033920902342587086 3
62 0.5564829749103943 0
62 0.38510771000704497 2
61 0.2665454316830948 8
61 0.2379991255747967 6
61 0.2224062077677889 6
61 0.3337156050906757 5
61 0.3844352368942533 1
61 0.17516285423895023 6
60 0.2670361513241389 7
60 0.23698025605434594 2
59 0.0 22
59 0.18854446841051542 1
59 0.13483491994613328 14
59 0.34962852003175643 0
59 0.0 23
59 0.3823132140253946 3
59 0.3995886506571842 3
59 0.06416882051791839 9
59 0.4169121735354015 0
59 0.029498311797470915 1
58 0.10339099393639728 9
58 0.12032044980531104 12
58 0.7996100164203612 0
57 0.20029636685983435 8
57 0.17526253883219817 10
57 0.5 3
57 0.3034676993487062 6
56 0.047468915961927385 12
56 0.030441060551209615 7
56 0.0 21
56 0.1584552287022045 5
56 0.11797996531036088 8
56 0.11348942682976296 13
56 0.029292886660794847 15
56 0.5739012710347297 1
56 0.036506821266673484 2
55 0.0 25
55 0.06835613798777476 13
55 0.06671655374658712 7
55 0.13438734985947026 9
54 0.029607221540668423 18
54 0.16828477674986583 12
53 0.08327120764018998 8
53 0.08894803502727065 9
53 0.31500769395313255 4
53 0.15871831897727243 6
53 0.26457186583880205 6
53 0.2859168588435528 7
52 0.029277227663355658 11
52 0.4541583416583416 0
52 0.1759755666769072 1
52 0.0588600941542118 12
51 0.12930944194777086 13
51 0.08454463407136953 13
50 0.2260388032284177 9
50 0.5995828877005347 1
50 0.036577592522420106 11
50 0.03787298640057261 12
49 0.18902462475853776 9
49 0.1586834496566488 3
49 0.029238627839704007 13
48 0.11111929236929237 11
48 0.13367523864825087 12
48 0.2864673339093702 5
48 0.4435358796296296 2
48 0.408453159180794 0
47 0.0750599650263704 11
47 0.21257827551494476 9
47 0.23681152418280724 1
47 0.3599520810159108 4
47 0.6229655562802259 0
46 0.06456943815482288 11
46 0.22908241828297932 7
46 0.03045255593352955 14
