count robl hse
46 0.6 5121
46 0.23161706154033523 2982
46 0.14277660821157365 20305
46 0.06517643592321978 20433
45 0.2756328150351139 19430
45 0.18234274484704482 21130
45 0.09362093519176268 5575
44 0.07530868779269691 21651
44 0.22213192037119425 18158
44 0.11250615957476114 35137
44 0.09070252728992166 25275
44 0.30098267444233495 15262
44 0.3547956624749775 18504
44 0.21414773255687053 20503
44 0.36428882122662026 8865
43 0.16453660329810768 27338
43 0.23710148052805724 10972
43 0.1256840986580773 33734
43 0.5 11826
43 0.15416618979297939 30683
43 0.5714285714285714 2576
43 0.06565292521070258 25276
42 0.05726178268192682 15800
42 0.07356813666757997 23511
42 0.3539681089827235 9285
42 0.22932308384666747 19594
42 0.2878108232540328 14337
42 0.470892782390196 16133
42 0.0573769864679835 30581
42 0.11086319436164636 32310
41 0.31499752692971233 16412
41 0.36363636363636365 4402
41 0.36323513884489494 3075
41 0.07506428768733744 29084
40 0.057990894878163224 24002
40 0.4153614316540013 12730
40 0.3854388968519403 7001
40 0.26236406175537474 17364
40 0.5 15543
40 0.2726014976052823 22316
40 0.06503596415307958 22302
40 0.2991717228737689 18489
40 0.20987738907830716 22219
39 0.06305842323394506 18262
39 0.1526090351614286 28667
39 0.13611493672647304 30644
39 0.20076056576815432 24542
39 0.14942404978691687 36708
39 0.31062493511886224 13507
39 0.08502537547972797 33893
39 0.10058478217769566 28090
39 0.21841632079324205 27629
39 0.4156918073326742 7821
38 0.3146126551116282 14425
38 0.17659761506056193 30927
38 0.21028191998693588 29180
38 0.30045766590389017 11669
38 0.1344265099409755 27132
38 0.16624301858803608 33363
38 0.45601766654398235 5572
38 0.08874943257935586 28852
38 0.1619368297682903 26158
37 0.1206671133502716 41654
37 0.14083634319921912 29238
37 0.26373342452630916 24634
37 0.31047508679087626 2856
37 0.07646326414229082 41508
37 0.13790250048404756 25347
37 0.2094609522147688 33439
37 0.22949144052959092 29991
36 0.1899894038700396 30112
36 0.24981231231231232 21260
36 0.07245707113590585 37224
36 0.07349705372384635 39416
36 0.3339419699872286 17597
36 0.0545595413113473 20339
36 0.10031553415862406 29905
36 0.4028894610593957 15823
36 0.15433118705306156 38905
36 0.34911803013597703 13928
36 0.13197726753794645 35968
36 0.12369811650247388 30545
35 0.38461538461538464 1491
35 0.35492196878751503 7551
35 0.26240898938252005 18884
35 0.08619189189402927 31339
34 0.19945709466582331 22208
34 0.6666666666666666 5580
34 0.5555555555555556 4415
34 0.282789710711871 21026
34 0.12952703706107152 39021
34 0.7693490669269217 8019
34 0.15046271723924123 32406
34 0.3167124954867226 18420
34 0.3147111039352426 31182
34 0.2759333975935297 29746
34 0.15818036552481773 6682
34 0.11547284339671883 27033
34 0.20193651506627866 31031
33 0.44375191307009487 9601
33 0.07363342859108134 31168
33 0.19107017854723074 25743
33 0.3523854500362961 25189
33 0.38529908095125487 8493
33 0.05218798615687538 25471
33 0.233976639115958 23258
33 0.12624623411068425 2035
33 0.13062044531675512 24259
32 0.27805555555555556 9501
32 0.07735754985754986 9715
32 0.298690023341843 28738
32 0.16647258259570552 35929
32 0.2023186452439415 37403
32 0.2945829561178826 16860
32 0.0544727502155188 38798
32 0.24898772204806688 22934
32 0.35129631307590403 22910
32 0.2491760462384072 28706
32 0.11851438698596159 37518
32 0.4166666666666667 4041
32 0.5455965909090909 6732
32 0.24703794409613375 24166
32 0.14577116816177074 27447
31 0.0996027871611357 34018
31 0.2595193161184441 22672
31 0.29342221686907466 20360
31 0.438518830627155 23440
31 0.300909422157669 23180
31 0.22231599666356341 19979
31 0.3049438172860333 19666
31 0.2854989222536049 16194
31 0.18286962168041765 34390
31 0.8571428571428571 4587
30 0.06724739224910985 9963
30 0.07475279169532043 7394
30 0.21699723098018012 31278
30 0.21465538085782906 39273
30 0.3836325323019476 16953
30 0.18691651944693824 27554
30 0.45883387550532456 3446
30 0.25436138325338886 35123
30 0.05370971794705088 18056
30 0.7987830687830688 4321
30 0.30794423835091 17234
29 0.1979646390970627 28837
29 0.09092601565033576 39518
29 0.14207826417508815 34722
29 0.3333333333333333 19808
29 0.457812876778394 11337
29 0.15158712142760708 52605
29 0.2175035769512193 35446
29 0.05340739995586928 33235
29 0.41244083840432727 1830
29 0.17727352725277193 28528
29 0.2483279153297424 19548
29 0.2864988517888879 25284
28 0.2871595210664911 18171
28 0.46341872781501264 6681
28 0.2629241216921797 20575
28 0.16678120039355712 29148
28 0.25056057613661303 25770
28 0.09075030842617583 36303
28 0.09057172698545184 26998
28 0.10182451962711128 37746
28 0.09750394503718464 32002
28 0.2981993560980009 31923
27 0.2720314092047919 34822
27 0.07428149166611059 35115
27 0.31704799753172214 20178
27 0.3615280625806942 14679
27 0.23631068618293274 34770
27 0.15557580836443316 34447
27 1.5 574
27 0.24774250601276113 37820
27 0.287306949817061 27935
27 0.19437055197392641 33110
27 0.2614589904121243 27796
26 0.3464372155497959 30943
26 0.6266537949230256 6219
26 0.3326097590803473 21831
26 0.4670801186191756 13742
26 0.3852028984189951 10049
26 0.22163105405128547 33138
26 0.29353108764873476 11948
25 0.054160658844679375 40982
25 0.38595742421829377 12064
25 0.40269201822143 18777
25 0.22342811179004887 51650
25 0.2625265037491925 30619
25 0.2900309181397517 23292
25 0.05637751394792729 11210
25 0.38140450714813534 19806
25 0.31792991077201604 12176
25 0.08666393704749144 43753
25 0.3078326029293046 25057
25 0.16264932088285228 31555
25 0.4664920968563451 8788
25 0.14905170213427404 44125
25 0.13248460885808255 44319
24 0.37930683620338795 13667
24 0.22881675646919053 37285
24 0.05435999678417843 43237
24 0.24139147571209596 47669
24 0.2644479719415689 40455
24 0.1068652073075848 39777
24 0.14679448709281132 48993
24 0.31295935388671753 22174
24 0.07117765701834948 44566
23 0.5558574879227054 6757
23 0.2429378998700281 41474
23 0.7508361204013378 4836
23 0.1090586355115855 43433
23 0.2737620991369117 26503
23 0.3189098957303915 24626
23 0.4706192814405635 10391
23 0.3513854258600791 28355
23 0.1407791133664982 40891
23 0.16860291766034682 40499
22 0.23371502406076425 39583
22 0.056323361517013046 54165
22 0.09660370536853753 41785
22 0.36647824220790726 22630
22 0.445821854912764 1604
22 0.4282296650717703 11645
22 0.42459076011707586 17191
22 0.16878458138482202 48596
22 0.18619020485627988 36763
22 0.2003882080535879 35174
22 0.28346511455730034 32679
22 0.1005230551055223 52217
21 0.1684932315013175 43191
21 0.37453430874483506 11996
