count robl cc
16 0.16879057984309473 12
16 0.4291742564500716 7
16 0.41765704584040747 6
16 0.3112500872539439 8
16 0.03260097610534984 15
15 0.3829993535875889 5
15 0.2812994505494506 11
15 0.41612721643681394 7
15 0.10283833761753172 14
15 0.06945172742994622 15
15 0.09106153196966661 13
15 0.35981399245915374 8
15 0.430175983436853 10
15 0.46153846153846156 3
15 0.07045061802561102 12
15 0.06688254804481505 14
15 0.2658859385643347 9
14 0.1385262989942793 12
14 0.1037338219733864 13
14 0.3895496270020414 7
14 0.6666666666666666 3
14 0.34575569358178054 15
14 0.280986037771752 10
14 0.13799945265462507 22
14 0.5731292517006803 3
14 0.02581332720705543 15
14 0.5457792207792208 3
13 0.6003123238417356 6
13 0.3879021163724127 9
13 0.15199704329258984 14
13 1.0 2
13 0.3054382262766814 11
13 0.5826774843053681 4
13 0.7325045325045324 1
13 0.7489878542510121 3
13 0.28146828037010224 13
13 0.4203632910352636 9
13 0.2544621588691221 13
13 0.09059592368415899 12
13 0.16262484727679974 13
13 0.7148268398268398 2
13 0.025725619956389188 14
13 0.2359055665996343 12
13 0.2371666555462369 13
12 0.35395658263305324 7
12 0.1948851838800698 13
12 0.2203964315646212 13
12 0.3808680305257384 10
12 0.24073325275684623 10
12 0.15898134977082345 16
12 0.6148272017837235 1
12 0.127661145212079 13
12 0.8333333333333334 2
12 0.30097716293368465 10
12 0.43770833333333337 9
12 0.25 10
12 0.1941996700915721 14
12 0.3351327035537562 10
11 0.6254919323101141 3
11 0.02834319168085272 16
11 0.2725617213842613 12
11 0.08559733877199828 14
11 0.09850841687768401 17
11 0.45806844670481034 5
11 0.20376045523104347 12
11 0.47258422061033334 5
11 0.2 11
11 0.1270600476816961 14
11 0.2226793193256608 11
10 0.43996256038647347 6
10 0.3120071216243364 10
10 0.13513513513513514 29
10 0.3993939393939394 6
10 0.43381211180124224 11
10 0.35940471672539986 10
10 0.054169963860366335 14
10 0.37709940453348156 7
10 0.4007407407407408 9
10 0.11490670114199526 12
10 0.45225468975468974 7
10 0.582775119617225 1
9 0.09295392406753125 18
9 0.02641917580941971 17
9 0.3807476022388303 11
9 0.5317635466242278 4
9 0.2892857365177495 12
9 0.05520872089499541 15
9 0.19233657563056986 12
9 0.2910615364434546 10
9 1.3333333333333333 1
9 0.696536212325686 2
9 0.027726493883822687 18
9 0.10388556567418356 16
9 0.33062985662837563 11
9 0.5001419043564638 8
9 0.2501319504860024 14
9 0.3458567815012306 9
9 0.07466940225560915 16
8 0.2917015171943141 11
8 0.42857142857142855 6
8 0.39844924812030075 8
8 0.2311855165208306 14
8 0.21068786607610632 15
8 0.15467801113360324 15
8 0.35076896686093795 12
8 0.2101978604994512 14
8 0.3449439299924214 7
8 0.5572916666666667 3
8 0.0 25
8 0.43181637203376333 8
8 0.051848370927318296 20
8 0.5695361024844721 4
8 0.6460084033613446 1
8 0.5184219772675545 1
8 0.8571428571428571 2
8 0.3762942876089428 8
7 0.18384590384691207 15
7 0.14005168778687943 16
7 0.5 9
7 0.805743661100804 3
7 0.5529776759188524 4
7 0.22258089133089135 16
7 0.325804351383099 12
7 0.6989010989010989 3
7 1.6666666666666667 1
7 0.6066146413972502 4
7 0.5272845980497463 2
7 0.9106369820655534 1
7 0.05568973203316414 17
7 0.7723345748555833 3
7 0.3235309555382746 10
7 0.4115559255320795 10
7 0.11843865774179363 13
7 0.260083097566512 12
7 0.6393386445487286 2
7 0.09852320423099752 15
6 0.18054863952696767 13
6 0.0 30
6 0.23094850191624383 15
6 0.14265547598880932 23
6 1.25 1
6 0.04471861471861471 16
6 0.07958911014230914 17
6 0.5276169964553327 3
6 0.05397471179204925 16
6 0.3499999999999999 14
6 0.02724443346040442 19
6 0.43873873873873875 12
6 0.4485632183908046 14
6 0.6355661881977671 1
6 0.20761346496640612 13
6 0.13774461274461275 25
5 0.5711466165413533 5
5 0.6870985155195681 5
5 0.11347876447876448 21
5 0.47448160042048854 6
5 0.13513513513513514 27
5 0.46451734539969836 9
5 0.4732832080200501 14
5 0.0 26
5 0.687437343358396 1
5 0.08439743653042886 15
5 0.19177944862155388 20
5 0.34055037258698584 17
5 0.2876785714285714 15
5 0.054441391941391935 18
5 0.21539913307367894 18
5 0.3064189189189189 13
5 0.12647157190635452 17
5 0.44646464646464645 13
5 0.26875207960573816 14
5 0.33166666666666667 13
5 0.46121978621978627 8
5 0.14820373844764087 21
5 0.7483870967741936 5
4 0.5481691919191919 5
4 0.03929131054131054 17
4 0.15232007575757575 13
4 0.3763314536340852 14
4 0.3522079772079772 18
4 0.8719758064516129 4
4 0.13080142494973337 19
4 0.543056943056943 6
4 0.875 1
4 0.5270734380708806 6
4 0.32701604043067456 18
4 0.3032069000819001 12
4 0.3944444444444445 12
4 0.3696214969241285 12
4 0.3430803571428571 23
4 0.20555555555555555 25
4 0.4536981658692185 6
4 0.8916666666666666 1
4 0.3760775862068966 9
4 0.40824915824915825 6
4 0.1732843137254902 17
3 2.5 1
