nobl cl_ratio count
0.21239921682086893 32.0 6
0.12340084949917587 106.0 2
0.07798021195562178 46.0 3
0.7511360598770382 16.0 2
0.6954022988505747 20.0 2
0.38235294117647056 28.0 2
0.4699248120300752 42.0 1
0.66992446992447 19.0 3
0.15012795975592963 34.0 4
0.19783142333663725 53.0 3
0.66 18.0 1
0.2685290187828822 41.0 3
0.2557458608132349 31.0 4
1.6123737373737377 9.0 3
0.6666666666666666 28.0 1
1.0789473684210527 22.0 1
0.47270471464019853 20.0 2
0.2655615588109542 26.0 5
0.23169623212927143 28.0 5
0.7336060619642709 19.0 3
0.5918367346938775 27.0 1
0.4876325088339223 110.0 1
0.09160960368584092 80.0 5
0.09914407988587731 203.0 1
0.012219959266802444 223.0 1
0.05335161018550325 44.0 7
0.13213703099510604 93.0 1
0.08270030746970519 69.0 2
0.07904085257548846 125.0 1
0.07082945013979497 144.0 1
0.08310249307479224 100.0 1
0.09514449882755559 38.0 9
0.08819714656290532 127.0 1
0.09850188883175069 118.0 2
0.10788162554775196 82.0 2
0.11413043478260869 112.0 1
0.09786700125470514 119.0 1
0.06074766355140187 124.0 1
0.12872841444270017 102.0 1
0.10379782104890715 62.0 6
0.1128583942459258 70.0 3
0.09612609209987939 54.0 3
0.07627543304835693 47.0 5
0.07504877418141645 111.0 2
0.09600400601541452 81.0 3
0.09000097531997145 97.0 2
0.1 56.0 1
0.10964337949632068 67.0 3
0.0985525460811023 48.0 3
0.5517241379310345 25.0 1
0.34564928535516765 30.0 3
0.3508771929824561 43.0 1
0.8985507246376812 14.0 1
0.2625570776255708 108.0 1
0.10185785310483109 132.0 2
0.05176470588235294 99.0 1
0.5489059391872692 26.0 3
0.12229607101547249 29.0 8
0.09921080910284615 55.0 3
0.0700330814417069 39.0 3
0.0936533099048856 79.0 2
0.125 64.0 1
0.08156432549936757 51.0 4
0.11188811188811189 77.0 1
0.0881547212741752 94.0 2
0.08647717931544337 63.0 3
0.07943262411347518 96.0 1
0.08992805755395683 73.0 1
0.061337827331922064 45.0 4
0.09193347527417346 65.0 2
0.504424778761062 124.0 1
0.10265301662650164 90.0 2
0.10533155826042856 66.0 2
0.08716707021791767 60.0 1
0.0684931506849315 57.0 1
0.09575518262586377 143.0 1
2.1666666666666665 6.0 1
0.10031347962382445 141.0 1
0.1069078947368421 83.0 1
0.01824817518248175 42.0 1
0.2489434078960932 36.0 2
0.11538461538461539 75.0 1
0.1519106354282351 20.0 32
2.217391304347826 12.0 1
0.02807392539686677 50.0 2
0.20319794584500464 30.0 3
0.2704374057315234 37.0 2
0.19298245614035087 50.0 1
0.13441603268251864 33.0 4
0.017183352294273795 59.0 2
0.9210526315789473 36.0 1
3.75 4.0 1
1.4193548387096775 6.0 1
0.4782608695652174 62.0 1
0.03416856492027335 95.0 1
1.0526315789473684 6.0 1
0.42148250326702486 49.0 2
0.16540720096992997 19.0 15
0.08605341246290801 68.0 1
2.6 4.0 1
0.039473684210526314 53.0 1
0.060215053763440864 137.0 1
0.03112033195020747 58.0 2
0.5 49.0 1
0.4582646036645248 48.0 7
0.4431137724550898 58.0 1
0.44936708860759494 56.0 1
0.5116279069767442 47.0 1
0.4888888888888889 22.0 1
0.8409090909090909 20.0 1
0.6333333333333333 10.0 1
