nobl bl_ratio count
0.43478260869565216 40.0 1
0.39878356384310604 24.0 6
0.20124282526513979 34.0 10
0.20686261069325068 37.0 10
0.10111246697326025 11.0 39
0.528049478049478 19.0 3
0.10057955675080354 12.0 34
0.22686567164179106 76.0 1
0.21398305084745764 101.0 1
0.7307692307692307 19.0 1
0.14791300822612438 49.0 7
0.2264927061506818 41.0 9
2.5 5.0 1
0.2909350611717392 20.0 26
0.875 7.0 1
0.25427232942502165 28.0 13
0.22008587705520344 35.0 6
0.5764705882352941 49.0 1
0.31093207925371985 36.0 3
3.0 6.0 1
4.5 9.0 1
0.11422965317080118 14.0 47
0.13161009223936426 42.0 9
0.15879769503304225 27.0 12
0.32405221408170587 25.0 7
0.09023265344290661 18.0 15
0.10895113763521075 89.0 2
0.6346153846153846 33.0 1
0.17436900955276843 52.0 4
0.2409090909090909 106.0 1
0.14668736545785727 46.0 3
0.6781609195402298 20.0 2
0.3730066787955264 29.0 4
0.11061639399735183 19.0 16
0.31736526946107785 53.0 1
0.07814014477491074 37.0 4
0.30601540794177734 23.0 8
0.19434628975265017 110.0 1
0.14935646288191057 80.0 5
0.144793152639087 203.0 1
0.45417515274949083 223.0 1
0.1638115416130514 44.0 5
0.15171288743882544 93.0 1
0.1241279745756143 69.0 2
0.11101243339253997 125.0 1
0.1342031686859273 144.0 1
0.13850415512465375 100.0 1
0.16318770350756265 38.0 6
0.16472114137483787 127.0 1
0.13541229134199304 118.0 2
0.14237649318686596 82.0 2
0.15217391304347827 112.0 1
0.1493099121706399 119.0 1
0.19314641744548286 124.0 1
0.10206896551724139 74.0 1
0.16012558869701726 102.0 1
0.18419920935427472 62.0 6
0.17615396596487362 70.0 3
0.1186161449752883 72.0 1
0.10279278563483235 54.0 2
0.13897938556284228 111.0 2
0.15913249976166602 81.0 3
0.14459672735816853 97.0 2
0.15135135135135136 56.0 1
0.1556348743848744 67.0 2
0.15886558089919403 48.0 3
0.14074606015801516 33.0 9
0.8260869565217391 19.0 1
0.1604518315797085 34.0 12
0.1436378126414851 29.0 6
0.14968672518466564 35.0 7
0.2465753424657534 108.0 1
