count robl loc
14 0.21468984146436143 107
14 0.701015406162465 20
14 0.2955908612973063 58
14 0.3788993074707361 36
14 0.16891199517781796 79
13 0.20796414538808047 85
13 0.07136208766266315 103
13 0.1686198926243174 111
13 0.004789829337382635 145
13 0.026666519521570013 121
13 0.09067964906700207 106
13 0.10282735351560707 117
13 0.18132355993624244 130
13 0.20724794044933958 97
13 0.37674326686484744 47
13 0.2517605201815728 55
13 0.30187254605859254 43
13 0.41109539969834086 34
13 0.3015464856154688 51
12 0.20027586662344055 69
12 0.07643534026866225 183
12 0.75 12
12 0.11949639586986167 58
12 0.21479804248271772 101
12 0.07372730499747072 120
12 0.13063328401565036 141
12 0.002579010137149672 128
12 0.3598796671165092 38
12 0.21196951053366786 80
12 0.13030916447602522 111
12 0.5272220231459362 22
12 0.04017078604423562 153
12 0.16020682632365837 152
12 0.6666666666666666 12
12 0.0981948336358313 131
12 0.4446291735084839 29
11 0.6201750423489554 23
11 0.16969720060652244 124
11 0.4050973176628702 57
11 0.4326557568202119 44
11 0.23356664220843343 93
11 0.27884698957544013 62
11 0.14033020853539854 126
11 0.20740066450042313 112
11 3.0 1
11 0.09976524979904067 186
11 0.5530303030303031 18
11 0.8825757575757575 8
11 0.3624445839591855 57
11 0.5714285714285714 14
11 0.11119940066142758 125
11 0.04848359701625764 159
10 0.12883996707245868 132
10 0.18636446886446886 64
10 0.06028091671467896 124
10 0.003303066192920121 151
10 0.4367385198964146 38
10 0.06948300108782181 99
10 0.3205690757011047 59
10 0.18376754982519516 89
10 0.496 24
10 0.27271060939948344 78
10 0.0488272042737576 112
10 0.08312711800171133 172
10 0.1395353940774898 157
10 0.05130529401848877 116
10 0.1756580326744319 105
10 0.460786879515554 50
9 0.08792557730660228 155
9 0.6794590643274854 18
9 0.013647555305108349 138
9 0.6456656346749227 17
9 0.28721552034592174 80
9 0.381615234696444 54
9 0.0 141
9 0.07024333115962074 197
9 0.258086019083957 96
9 0.4736135526220915 31
9 0.15418779191197513 108
9 0.08296093723051644 125
9 0.7925925925925926 9
9 0.36180660298307354 50
9 0.18241242036522862 118
9 1.3333333333333333 3
9 0.11569688290212232 128
9 0.14426876289396898 104
9 0.3534120980418903 68
9 0.13221553056924634 165
8 0.5409124460595048 35
8 0.6183882189239333 48
8 0.04016383389608802 164
8 0.8276515151515151 11
8 0.0017175652465334507 218
8 0.005959454488866253 188
8 0.09461738459090342 148
8 0.8114233193277312 16
8 0.14691843182598932 114
8 0.11734981367401807 170
7 0.08692476263779128 205
7 0.749975588321453 20
7 0.041743559798189965 136
7 0.1950491975193442 137
7 0.10361970744112518 161
7 0.010583920996740088 202
7 1.6666666666666667 3
7 0.02505135202476829 171
7 0.09835302400094666 122
7 0.1851574773575293 174
7 0.25115163182096045 115
7 0.0 208
7 0.30889271371199084 83
7 0.1628814331250747 140
7 0.16694080080481827 167
6 0.14068135846718907 304
6 0.35329535737926526 80
6 0.03629782775909537 142
6 0.22827402836546581 148
6 0.022938840981654437 109
6 0.14628357832026398 186
6 0.1421877561590469 241
6 0.24236690287564797 102
6 0.1519480880840549 234
6 0.03862686586797504 211
6 0.3446481872131059 137
6 0.7272727272727272 11
6 0.002564102564102564 194
6 0.1234714773499672 195
6 1.25 4
6 0.08640291307154135 218
6 0.2782822916840136 101
6 0.18603454794406815 157
6 0.12554108843697084 211
6 0.389755098832425 77
6 0.3290452444028881 91
5 1.1369047619047619 7
5 0.12304305624938472 152
5 0.011107276139525854 304
5 0.07833751802719138 163
5 0.1808332275326851 146
5 0.1773695242490036 223
5 0.16444866077716758 182
5 0.9072727272727272 10
5 0.4250676406926407 64
5 0.2807663833832497 92
5 0.2506471576286602 166
5 0.42903175530878623 59
5 0.09461893252096362 226
5 0.152471671357773 279
5 0.13079257691179969 313
5 0.23693188575098828 133
5 0.23989052045848328 125
5 0.6197725150666328 34
5 0.16470908632586762 204
5 0.16489576315896626 271
5 0.13651545878118398 533
5 0.13476509116812124 558
5 0.3262769440851633 74
5 0.1384804725320266 250
5 0.1628483397376431 213
5 0.005853658536585366 204
5 0.14285083437265447 177
5 0.23953158640970437 137
5 0.7753267973856209 18
5 0.1568282835481638 210
5 0.13174779710541934 148
5 0.047589926370549235 181
5 0.12603415063064768 359
4 0.08817786619510758 232
4 0.1036262877047577 239
4 0.034397273504581556 232
4 0.10515159436219791 399
4 0.15978295454246638 197
4 0.32058638300124365 152
4 0.21433385568947505 208
4 0.18025951924583555 190
4 0.13464224997355556 412
4 0.0007692307692307692 328
4 0.39201902748414374 44
4 0.2243517949518844 238
4 0.1089011362358612 342
4 0.23491101495548078 156
4 0.22244302289817916 118
4 0.8647642679900744 29
4 0.0020408163265306124 246
4 0.010938192290651308 183
4 0.1673388127052522 361
