count nobl midx
11 13.0 90
11 3.0 87
11 1.0 86
11 9.0 86
11 12.0 96
11 8.0 93
11 10.0 95
10 1.0 89
10 8.0 87
10 12.0 86
10 13.0 96
10 0.1 76
10 7.0 86
10 2.0 89
10 9.0 91
10 11.0 84
10 11.0 98
10 15.0 86
10 6.0 86
10 8.0 81
10 2.0 83
10 8.0 86
10 13.0 92
10 6.0 87
10 7.0 83
10 2.0 89
10 2.0 81
10 11.0 90
10 4.0 89
10 5.0 86
10 10.0 81
10 6.0 77
10 18.0 92
10 4.0 80
10 6.0 84
10 9.0 90
10 13.0 88
10 21.0 80
10 0.0 73
10 16.0 85
10 2.0 85
10 8.0 84
10 2.0 79
10 10.0 97
10 0.0 79
10 14.0 85
10 0.0 76
10 11.0 86
10 4.0 87
10 10.0 89
10 9.0 99
10 3.0 81
9 7.0 85
9 10.0 85
9 8.0 87
9 11.0 97
9 8.0 88
9 15.0 88
9 6.0 81
9 11.0 83
9 11.0 82
9 0.0 78
9 11.0 91
9 12.0 86
9 12.0 91
9 10.0 80
9 11.0 96
9 12.0 89
9 9.0 81
9 16.0 100
9 4.0 83
9 11.0 93
9 11.0 88
9 11.0 84
9 2.0 74
9 0.0 74
9 5.0 79
9 6.0 88
9 4.0 90
9 2.0 87
9 10.0 83
9 5.0 85
9 0.0 78
9 11.0 96
9 13.0 93
9 13.0 85
9 9.0 84
9 7.0 82
9 10.0 84
9 16.0 83
9 1.0 86
9 5.0 84
9 12.0 97
9 5.0 82
9 13.0 83
9 15.0 100
9 12.0 79
9 12.0 84
9 11.0 82
9 8.0 85
9 8.0 81
9 0.1111111111111111 76
9 15.0 85
9 12.0 85
9 12.0 93
8 14.0 83
8 2.0 86
8 12.0 94
8 2.0 86
8 9.0 81
8 2.0 83
8 13.0 84
8 9.0 86
8 8.0 83
8 9.0 76
8 0.0 79
8 11.0 85
8 12.0 78
8 2.0 76
8 13.0 88
8 12.0 95
8 11.0 97
8 18.0 85
8 14.0 88
8 14.0 80
8 10.0 79
8 13.0 91
8 15.0 79
8 12.0 86
8 12.0 82
8 5.0 85
8 12.0 87
8 11.0 96
8 2.0 88
8 11.0 93
8 11.0 76
8 12.0 96
8 14.0 85
8 7.0 81
8 16.0 74
8 15.0 88
8 1.0 83
8 1.0 78
8 6.0 82
8 9.0 77
8 11.0 81
8 15.125 84
8 4.0 85
8 13.0 88
8 10.0 78
8 1.0 85
8 3.0 86
8 4.0 83
8 18.0 89
8 1.0 87
8 15.0 89
8 9.0 85
8 11.0 80
8 16.0 84
8 5.0 87
8 1.0 82
8 10.0 83
8 7.0 84
8 6.0 83
8 13.0 89
7 2.0 82
7 11.0 80
7 9.0 83
7 3.0 84
7 0.14285714285714285 61
7 13.0 94
7 14.0 92
7 21.0 80
7 14.0 87
7 22.0 78
7 9.0 80
7 0.0 71
7 14.0 79
7 13.0 80
7 0.14285714285714285 65
7 1.0 79
7 18.857142857142858 74
7 16.0 86
7 13.0 87
7 0.0 75
7 1.0 83
7 13.0 92
7 15.0 94
7 14.0 84
7 2.857142857142857 80
7 12.0 98
7 12.0 82
7 1.0 81
7 6.0 81
7 19.0 82
7 21.0 75
7 16.0 88
7 8.0 79
7 15.142857142857142 85
7 14.0 96
7 7.0 85
7 13.0 95
7 0.0 72
7 10.0 83
7 13.0 98
7 4.0 82
7 13.0 89
7 14.0 82
7 13.0 84
7 12.0 90
7 14.0 93
7 11.0 93
7 12.0 85
7 13.0 90
7 14.0 84
7 11.0 88
7 14.0 80
7 0.0 74
7 7.0 75
7 12.0 88
7 10.0 80
7 1.0 85
7 4.0 78
7 3.0 83
7 8.0 85
7 21.857142857142858 82
7 9.0 82
7 11.0 80
7 11.0 86
7 11.0 83
7 3.0 79
7 11.0 75
7 4.0 86
7 12.0 84
7 15.0 87
7 12.0 95
7 2.0 0
7 3.0 81
7 8.0 86
7 12.0 82
7 15.0 87
6 22.0 78
6 14.0 72
6 17.0 83
6 16.833333333333332 81
6 19.0 81
6 12.0 83
6 3.0 77
6 5.0 80
6 14.0 79
6 14.0 78
6 20.0 75
6 9.0 82
6 17.0 91
6 12.0 88
6 10.0 81
6 14.0 88
6 0.0 44
6 16.0 90
6 0.0 75
6 1.0 0
6 13.0 94
6 11.0 81
6 12.0 94
6 5.0 81
6 14.0 90
6 0.16666666666666666 63
6 6.0 78
6 10.0 89
6 10.0 86
6 6.0 82
6 18.0 82
6 13.0 93
6 0.16666666666666666 62
6 30.0 86
6 20.0 88
6 4.0 84
6 5.0 81
6 14.0 90
6 9.0 79
6 8.0 79
6 6.0 86
6 16.0 76
6 19.0 95
6 12.0 94
6 19.0 83
6 14.0 92
6 8.0 80
6 18.0 81
6 5.0 80
6 13.0 86
6 16.0 83
6 13.0 97
6 16.166666666666668 95
6 19.0 85
6 13.0 75
6 0.0 75
6 6.0 79
6 15.0 92
6 16.0 91
6 11.0 78
6 21.0 85
6 4.0 84
6 17.0 86
6 0.0 67
6 18.0 81
6 20.0 78
6 0.0 45
6 10.0 85
6 3.0 82
6 12.0 76
6 5.0 83
6 17.0 84
6 14.0 82
6 12.0 78
6 20.0 87
6 17.0 99
6 15.0 91
6 16.0 87
6 11.0 80
6 11.0 87
6 16.0 88
6 3.0 84
6 14.0 96
6 13.0 82
6 13.0 98
6 13.0 81
5 23.0 79
5 14.0 98
5 0.0 58
5 18.0 80
5 13.0 81
5 21.0 83
5 25.8 68
5 15.0 83
5 23.2 77
5 17.0 88
5 10.0 82
5 13.0 79
5 10.0 79
5 3.0 78
5 14.0 97
5 15.0 93
5 18.0 78
5 15.0 82
5 0.0 58
5 1.0 73
5 18.8 77
5 19.0 82
5 2.0 77
5 13.2 74
5 8.0 77
5 15.0 89
5 12.0 81
5 6.2 73
5 0.0 66
5 17.0 85
5 13.0 72
5 17.0 86
5 0.0 63
5 12.0 80
5 15.0 74
5 9.0 71
5 15.0 80
5 23.0 84
5 10.0 69
5 14.0 74
5 16.0 94
5 1.0 80
5 2.2 73
5 8.0 78
5 18.2 91
5 4.0 71
5 14.0 80
5 4.0 81
5 25.0 78
5 14.0 87
5 5.0 84
5 11.0 86
5 19.0 83
5 5.0 84
5 0.2 64
5 0.0 70
5 6.0 78
5 7.0 81
5 20.0 82
5 16.0 73
5 0.2 66
5 10.0 77
5 5.2 71
5 1.0 78
5 21.8 75
5 6.0 79
5 0.0 43
5 9.0 78
5 0.0 72
5 5.0 76
5 16.0 81
5 14.0 89
5 1.0 83
5 15.0 85
5 10.0 88
5 4.0 82
5 22.2 85
5 2.0 77
5 3.0 82
5 12.0 74
5 7.0 78
5 8.0 83
5 6.0 83
5 14.0 91
5 2.0 84
5 2.0 78
5 11.0 99
5 19.0 78
5 14.0 91
5 12.0 80
5 2.0 89
5 4.2 0
5 13.0 95
5 15.0 74
5 15.0 93
5 20.8 70
5 1.0 85
5 16.0 82
5 0.0 56
5 8.0 72
5 17.0 88
4 20.0 84
4 16.0 79
4 12.0 75
4 4.0 75
4 18.0 87
4 21.0 79
4 23.0 86
4 4.0 77
4 0.0 44
4 16.0 93
4 20.0 82
4 17.0 77
4 19.0 90
4 25.0 80
4 6.0 80
4 17.0 91
4 6.0 76
4 17.0 80
4 4.0 82
4 0.0 73
4 21.0 72
4 15.0 95
4 26.0 76
4 10.0 74
4 5.0 77
4 10.0 80
4 12.0 75
4 19.0 87
4 15.0 75
4 14.0 86
4 16.0 71
4 23.0 70
4 21.0 74
4 17.0 85
4 23.25 72
4 16.0 78
4 19.25 67
4 15.0 75
4 8.0 74
4 0.25 57
4 19.0 88
4 22.0 79
4 17.0 82
4 9.0 74
4 3.0 76
4 0.25 60
4 19.0 71
4 11.0 71
4 4.0 80
4 9.0 75
4 13.0 82
4 15.0 91
4 25.0 86
4 16.0 91
4 22.0 80
4 18.0 83
4 1.0 77
4 10.0 82
4 12.0 79
4 4.0 76
4 15.75 67
4 17.25 66
4 15.0 77
4 0.0 50
4 17.75 71
4 8.0 82
4 18.0 84
4 18.75 76
4 6.0 72
4 8.0 80
4 1.0 74
4 19.75 88
4 16.0 67
4 21.0 76
4 13.0 91
4 11.0 73
4 1.0 70
4 0.0 63
4 6.0 77
4 8.0 83
4 8.0 68
4 15.0 94
4 2.0 70
4 23.0 76
4 21.0 86
4 23.0 79
4 0.0 51
4 14.0 73
4 23.0 73
4 23.25 77
4 17.0 82
4 0.5 69
4 28.0 72
4 1.0 71
4 4.75 75
4 21.0 81
4 18.0 84
4 18.0 86
4 18.0 70
4 0.0 47
4 14.25 70
4 22.25 84
4 8.0 77
4 13.0 78
4 20.0 75
4 12.75 67
4 7.0 79
4 24.75 74
4 19.0 86
4 15.0 80
4 18.0 83
4 13.0 85
4 7.0 76
4 17.25 93
4 18.0 86
4 11.0 78
4 0.0 42
4 3.0 80
4 26.0 75
4 8.25 73
4 3.0 85
4 19.0 85
4 17.0 87
4 22.0 71
4 4.0 79
4 18.75 97
4 19.25 72
4 5.0 74
4 15.0 83
4 18.0 78
4 13.0 77
4 7.0 78
4 13.0 80
4 16.0 80
4 21.0 78
4 2.25 68
4 0.0 49
4 14.0 94
4 18.0 86
4 10.0 76
4 16.0 89
3 26.666666666666668 67
3 21.0 83
3 20.333333333333332 85
3 14.0 95
3 3.0 76
3 15.0 92
3 1.0 75
3 15.0 90
3 16.0 87
3 20.0 97
3 25.0 72
3 22.0 73
3 7.0 74
3 4.0 77
3 2.0 79
3 20.0 83
3 14.0 94
3 7.0 77
3 19.0 93
3 18.0 79
3 11.0 79
3 16.0 78
3 5.0 77
3 32.0 69
3 18.0 89
3 19.0 80
3 44.0 64
3 8.0 75
3 11.0 77
3 12.0 76
3 0.0 71
3 18.0 100
3 19.0 80
3 17.0 90
3 14.0 75
3 18.0 79
3 5.0 75
3 21.0 77
3 15.333333333333334 97
3 7.333333333333333 70
3 2.0 75
3 26.333333333333332 79
3 19.0 73
3 1.0 81
3 14.0 78
3 20.0 74
3 21.0 82
3 0.3333333333333333 53
3 24.0 76
3 14.0 77
3 16.0 86
3 10.0 70
3 15.0 90
3 20.0 80
3 9.0 70
3 18.0 77
3 24.0 75
3 9.0 76
3 5.0 78
3 21.0 74
3 14.0 89
3 14.0 76
3 15.0 82
3 12.0 74
3 20.0 90
3 7.0 71
3 4.333333333333333 69
3 14.666666666666666 71
3 17.0 78
3 16.0 66
3 14.0 83
3 31.333333333333332 79
3 40.666666666666664 68
3 15.0 81
3 27.0 75
3 1.0 79
3 35.333333333333336 64
3 17.0 70
3 7.0 80
3 24.0 86
3 5.0 77
3 17.0 92
3 13.0 81
3 6.333333333333333 59
3 4.0 74
3 23.333333333333332 88
3 22.0 74
3 20.0 99
3 7.0 67
3 28.0 69
3 23.333333333333332 70
3 0.0 54
3 17.0 77
3 22.0 81
3 31.0 72
3 0.0 60
3 15.333333333333334 73
3 13.0 78
3 35.0 69
3 6.0 81
3 17.0 80
3 24.0 74
3 27.0 92
3 10.0 75
3 42.333333333333336 51
3 19.0 75
3 17.0 89
3 16.0 82
3 6.0 75
3 21.0 67
3 20.0 92
3 24.0 76
3 30.333333333333332 71
3 17.0 79
3 3.0 75
3 10.333333333333334 65
3 8.0 72
3 30.333333333333332 78
3 22.0 76
3 11.0 69
3 41.0 64
3 19.0 100
3 47.0 63
3 28.0 75
3 20.0 73
3 5.666666666666667 70
3 33.666666666666664 71
3 20.0 86
3 24.666666666666668 67
3 19.0 74
3 22.0 100
3 15.0 78
3 0.0 55
3 24.0 85
3 6.0 69
3 2.0 71
3 0.0 78
3 23.666666666666668 87
3 20.0 85
3 20.0 68
3 23.0 78
3 20.333333333333332 90
3 8.0 76
3 17.0 76
3 16.333333333333332 68
3 18.0 69
3 2.0 75
3 2.6666666666666665 67
3 3.6666666666666665 71
3 10.0 74
3 1.0 75
3 1.0 72
3 17.333333333333332 72
3 15.0 90
3 17.0 81
3 20.0 83
3 19.0 79
2 24.0 73
2 23.0 100
2 0.0 40
2 5.5 67
2 37.5 67
2 1.0 75
2 12.0 66
2 21.0 87
2 2.0 72
2 18.0 94
2 1.0 73
2 36.0 68
2 20.0 77
2 9.5 63
2 33.0 79
2 42.0 62
2 26.0 87
2 32.0 68
2 10.0 68
2 81.5 52
2 11.0 75
2 25.0 83
2 22.0 91
2 31.0 67
2 9.0 65
2 50.5 59
2 16.5 57
2 11.0 68
2 2.0 61
2 18.0 58
2 17.0 79
2 27.0 77
2 33.0 69
2 21.0 89
2 13.5 56
2 48.5 65
2 13.0 63
2 47.5 73
2 19.0 71
2 24.0 82
2 14.0 48
2 25.0 69
2 21.0 84
2 24.0 80
2 17.5 47
2 0.0 53
2 22.5 89
2 22.0 87
2 20.0 79
2 19.5 64
2 25.0 59
2 20.5 55
2 5.0 73
2 29.0 75
2 48.0 70
2 18.0 88
2 31.0 72
2 12.0 77
2 22.0 77
2 37.0 71
2 14.0 62
2 34.0 67
2 5.0 72
2 21.0 90
2 24.0 85
2 23.0 75
2 3.0 72
2 28.0 77
2 7.0 70
2 2.0 69
2 18.0 75
2 13.0 66
2 48.0 72
2 22.5 66
2 13.0 76
2 2.0 71
2 33.0 75
2 57.5 68
2 26.5 71
2 12.0 60
2 29.0 78
2 19.0 89
2 0.0 51
2 7.0 72
2 75.5 52
2 34.0 66
2 29.0 90
2 93.5 52
2 16.0 92
2 13.0 72
2 10.0 76
2 15.0 70
2 14.0 71
2 20.0 95
2 49.0 64
2 30.0 70
2 20.0 100
2 7.0 72
2 37.0 61
2 34.0 69
2 16.0 70
2 38.5 63
2 19.0 58
2 15.0 96
2 4.0 74
2 12.0 77
2 32.5 67
2 15.0 73
2 21.5 59
2 14.0 69
2 17.5 68
2 13.0 70
2 28.0 55
2 23.0 81
2 29.0 65
2 12.0 73
2 23.5 71
2 80.0 51
2 14.0 98
2 0.0 48
2 38.0 70
2 13.0 74
2 15.0 67
2 9.0 69
2 10.0 72
2 20.0 71
2 35.0 78
2 12.0 56
2 0.0 47
2 30.5 80
2 20.0 93
2 22.0 83
2 48.0 71
2 17.0 96
2 22.0 68
2 70.0 59
2 41.0 57
2 8.0 67
2 49.0 72
2 79.5 53
2 7.0 69
2 9.5 68
2 80.0 52
2 17.0 94
2 11.0 66
2 37.0 62
2 7.0 75
2 19.0 84
2 2.0 65
2 16.0 99
2 24.5 68
2 7.5 0
2 80.5 58
2 32.0 81
2 8.5 66
2 34.5 70
2 9.0 0
2 0.0 39
2 28.0 65
2 12.0 70
2 31.0 42
2 15.0 78
2 23.0 73
2 3.0 69
2 16.0 77
2 20.0 76
2 18.0 80
2 32.0 48
2 16.0 96
2 26.5 81
2 25.0 79
2 14.5 67
2 26.0 63
2 35.5 66
2 26.0 85
2 24.0 82
2 16.0 96
2 40.0 70
2 62.5 60
2 13.0 64
2 14.5 66
2 16.0 72
2 8.0 65
2 13.0 71
2 27.5 70
2 12.0 71
2 28.5 74
2 0.0 46
2 22.0 73
2 36.5 65
2 19.5 63
2 37.0 69
2 14.0 77
2 18.0 92
2 7.0 66
2 17.0 69
2 36.0 66
2 3.0 74
2 25.0 74
2 21.0 88
2 35.5 71
2 27.0 73
2 21.0 64
2 16.0 74
2 8.0 75
2 45.0 74
2 37.0 66
2 23.0 74
2 26.5 73
2 10.0 71
2 25.0 81
2 26.0 77
2 17.5 99
2 22.0 75
2 19.0 57
2 11.0 77
2 28.0 82
2 26.0 74
2 16.0 75
2 26.0 82
2 22.0 65
2 23.5 57
2 38.0 74
2 14.0 72
2 3.0 0
2 20.0 81
2 29.0 67
2 21.0 61
2 41.5 67
2 9.0 72
2 42.5 66
2 0.0 12
2 22.0 88
2 17.0 74
2 33.0 72
2 15.0 97
2 18.0 96
2 16.0 98
2 11.0 74
2 17.5 73
1 30.0 68
1 9.0 53
1 110.0 29
1 37.0 53
1 59.0 68
1 41.0 72
1 18.0 41
1 49.0 64
1 96.0 48
1 10.0 64
1 6.0 64
1 23.0 58
1 27.0 76
1 89.0 46
1 6.0 67
1 42.0 63
1 1.0 68
1 35.0 64
1 118.0 47
1 62.0 74
1 45.0 56
1 46.0 54
1 23.0 66
1 9.0 55
1 41.0 68
1 31.0 81
1 95.0 62
1 16.0 56
1 30.0 81
1 33.0 88
1 11.0 56
1 36.0 90
1 33.0 67
1 72.0 51
1 13.0 63
1 32.0 66
1 38.0 61
1 17.0 29
1 43.0 84
1 55.0 60
1 127.0 48
1 41.0 77
1 31.0 76
1 106.0 34
1 112.0 48
1 24.0 66
1 26.0 78
1 137.0 56
1 49.0 62
1 55.0 56
1 17.0 52
1 24.0 89
1 111.0 48
1 51.0 59
1 20.0 62
1 45.0 31
1 10.0 72
1 32.0 76
1 49.0 89
1 18.0 55
1 37.0 0
1 4.0 53
1 9.0 26
1 30.0 71
1 44.0 65
1 11.0 62
