nobl robl count
0.18335236690576256 37.0 13
0.528049478049478 19.0 3
0.22686567164179106 76.0 1
0.21398305084745764 101.0 1
0.09908987338724953 11.0 36
0.404599761051374 13.0 3
0.7784280936454849 19.0 2
0.0799856439353679 9.0 48
0.14791300822612438 49.0 7
0.21544791553610637 41.0 13
0.875 7.0 1
0.23980130813303285 28.0 18
0.20888795245564573 35.0 7
0.5764705882352941 49.0 1
0.2645086857544791 36.0 5
0.15329112965614614 42.0 11
0.15879769503304225 27.0 12
0.05142755341963832 7.0 28
0.31375279504905335 24.0 14
0.16616495349854835 22.0 35
0.10895113763521075 89.0 2
0.6346153846153846 33.0 1
0.17436900955276843 52.0 4
0.1943736528464562 106.0 2
0.14668736545785727 46.0 3
0.3730066787955264 29.0 4
0.12853082114334563 19.0 22
0.270027172545665 53.0 2
0.08535162199276809 37.0 5
0.08012529537012611 17.0 10
0.3833301895138351 14.0 6
0.19434628975265017 110.0 1
0.14935646288191057 80.0 5
0.144793152639087 203.0 1
0.45417515274949083 223.0 1
0.17702527178619845 44.0 6
0.15171288743882544 93.0 1
0.1241279745756143 69.0 2
0.11101243339253997 125.0 1
0.1342031686859273 144.0 1
0.13850415512465375 100.0 1
0.18723794937608249 38.0 8
0.16472114137483787 127.0 1
0.13541229134199304 118.0 2
0.14237649318686596 82.0 2
0.15217391304347827 112.0 1
0.1493099121706399 119.0 1
0.19314641744548286 124.0 1
0.10206896551724139 74.0 1
0.16012558869701726 102.0 1
0.18419920935427472 62.0 6
0.17615396596487362 70.0 3
0.1186161449752883 72.0 1
0.10279278563483235 54.0 2
0.13897938556284228 111.0 2
0.15913249976166602 81.0 3
0.14459672735816853 97.0 2
0.15135135135135136 56.0 1
0.19133828226965485 67.0 3
0.15886558089919403 48.0 3
0.1436378126414851 29.0 6
0.2465753424657534 108.0 1
0.1329354867738938 132.0 2
0.16432855001070895 54.0 2
0.23294117647058823 99.0 1
0.17334542022161903 55.0 3
0.1295922648626971 33.0 7
0.14853762465166373 39.0 3
0.14851105391304018 35.0 5
0.15495817258107641 79.0 2
0.1507255788940219 41.0 6
0.09090909090909091 64.0 1
0.1564981035361123 51.0 4
0.1794871794871795 77.0 1
0.14287144482366326 94.0 2
0.15695126013292285 63.0 3
0.13617021276595745 96.0 1
0.13129496402877697 73.0 1
0.10910441658364096 45.0 2
0.184349013778974 65.0 2
0.5486725663716814 124.0 1
0.1577514462446202 90.0 2
0.19403765690376568 66.0 2
0.14527845036319612 60.0 1
0.2861798958623157 45.0 2
0.2602739726027397 57.0 1
0.14116485686080948 143.0 1
0.14733542319749215 141.0 1
0.13651315789473684 83.0 1
0.05501618122977346 34.0 1
0.26223776223776224 75.0 1
0.9166666666666666 22.0 1
0.13424951735252727 24.0 4
0.24514018365344406 50.0 3
0.3089430894308943 38.0 1
0.18262703830109972 59.0 2
1.0 6.0 1
0.9473684210526315 36.0 1
0.4492753623188406 62.0 1
0.2164009111617312 95.0 1
0.3158825807076134 49.0 3
0.12678255716811407 53.0 2
0.20178041543026706 68.0 1
0.2946236559139785 137.0 1
0.581081081081081 43.0 1
0.24719864176570458 44.0 2
0.2939846448182473 58.0 2
0.09249139168194173 13.0 5
0.33100673506563777 48.0 6
0.35443037974683544 56.0 1
0.3643410852713178 47.0 1
0.45901639344262296 28.0 1
0.11328125 58.0 1
0.43529411764705883 37.0 1
