robl loc count
0.1111111111111111 36 60
0.2916666666666667 24 60
0.23333333333333334 30 59
0.11428571428571428 35 59
0.16216216216216217 37 59
0.2413793103448276 29 59
0.14285714285714285 35 58
0.1388888888888889 36 58
0.14705882352941177 34 58
0.4117647058823529 17 58
0.15384615384615385 39 57
0.02702702702702703 37 57
0.13157894736842105 38 57
0.05405405405405406 37 57
0.1282051282051282 39 56
0.5454545454545454 11 56
0.17647058823529413 34 56
0.625 8 55
0.4375 16 54
0.08333333333333333 36 54
0.34782608695652173 23 53
0.1875 32 52
0.14634146341463414 41 52
0.1891891891891892 37 51
0.05263157894736842 38 51
0.1794871794871795 39 50
0.16666666666666666 36 50
0.14285714285714285 42 50
0.36 25 50
0.18181818181818182 33 50
0.18421052631578946 38 49
0.05 40 49
0.2692307692307692 26 48
0.05128205128205128 39 48
0.7142857142857143 7 48
0.20588235294117646 34 48
0.22857142857142856 35 47
0.04878048780487805 41 47
0.07894736842105263 38 47
0.17142857142857143 35 46
0.3333333333333333 24 46
0.5 14 46
0.024390243902439025 41 45
0.26666666666666666 30 45
0.10256410256410256 39 45
0.15789473684210525 38 45
0.07692307692307693 39 45
0.5 12 44
0.0975609756097561 41 44
0.3076923076923077 26 43
0.3 30 43
0.023809523809523808 42 43
0.02631578947368421 38 43
0.075 40 43
1.0 3 43
0.2 35 43
0.21212121212121213 33 40
0.125 40 40
0.09523809523809523 42 39
0.34615384615384615 26 39
0.24242424242424243 33 39
0.25806451612903225 31 38
0.4 20 37
0.21621621621621623 37 37
0.3793103448275862 29 37
0.1 40 36
0.19444444444444445 36 36
0.42105263157894735 19 36
0.2571428571428571 35 36
0.5 16 36
0.21875 32 36
1.0 7 36
1.0 5 36
0.36363636363636365 22 35
0.2857142857142857 28 35
0.23529411764705882 34 35
0.15 40 34
0.3333333333333333 27 34
0.42857142857142855 21 34
0.23684210526315788 38 34
0.175 40 34
0.4074074074074074 27 34
0.4666666666666667 15 34
0.07142857142857142 42 33
0.7692307692307693 13 33
0.2222222222222222 36 33
0.6 10 32
0.25 32 32
0.2903225806451613 31 32
0.25 36 31
0.375 32 31
0.07317073170731707 41 31
0.047619047619047616 42 31
0.12195121951219512 41 31
0.16666666666666666 42 31
0.20512820512820512 39 31
0.3103448275862069 29 30
0.3125 32 30
0.43478260869565216 23 30
0.11904761904761904 42 29
0.17073170731707318 41 29
0.32 25 29
0.2 40 29
0.21052631578947367 38 29
0.2727272727272727 33 28
0.4444444444444444 18 28
0.28125 32 27
0.24324324324324326 37 27
0.8571428571428571 7 27
0.21951219512195122 41 26
1.5 2 26
0.391304347826087 23 26
0.8571428571428571 14 25
0.225 40 25
0.8333333333333334 6 25
0.19047619047619047 42 25
0.32142857142857145 28 24
0.2564102564102564 39 24
0.5333333333333333 15 24
0.6666666666666666 9 23
1.0 4 22
0.1951219512195122 41 21
0.25 40 21
0.34375 32 21
0.2647058823529412 34 21
0.3225806451612903 31 21
0.47368421052631576 19 20
0.5384615384615384 13 20
0.75 8 20
0.23809523809523808 42 20
0.2631578947368421 38 20
0.21428571428571427 42 19
0.3333333333333333 33 19
0.3448275862068966 29 19
0.4 25 19
0.23076923076923078 39 19
0.4090909090909091 22 19
0.5 18 18
0.7 10 18
0.5833333333333334 12 17
0.37037037037037035 27 16
0.44 25 16
0.30303030303030304 33 16
0.3333333333333333 30 16
0.2972972972972973 37 16
0.29411764705882354 34 16
0.5 28 15
0.2777777777777778 36 15
0.38461538461538464 26 15
0.35714285714285715 28 15
0.2857142857142857 35 15
0.40476190476190477 42 15
0.6153846153846154 13 15
0.2926829268292683 41 15
0.2857142857142857 42 14
0.5625 16 14
0.6363636363636364 11 14
0.45454545454545453 22 14
0.2619047619047619 42 13
0.32432432432432434 37 13
0.39285714285714285 28 13
0.275 40 13
0.5 20 13
0.4166666666666667 24 13
0.2894736842105263 38 13
0.2702702702702703 37 13
0.7 20 12
0.45 20 12
0.75 12 12
0.47619047619047616 21 12
0.34285714285714286 35 12
0.3548387096774194 31 12
0.6 15 12
0.36666666666666664 30 11
0.5294117647058824 17 11
0.36363636363636365 33 11
0.24390243902439024 41 11
0.6666666666666666 12 11
0.2682926829268293 41 11
0.4444444444444444 27 11
0.3142857142857143 35 11
0.5714285714285714 14 11
0.4411764705882353 34 11
0.3170731707317073 41 10
0.7333333333333333 15 10
0.3055555555555556 36 10
0.5806451612903226 31 10
0.4230769230769231 26 10
0.4782608695652174 23 9
0.3157894736842105 38 9
0.3 40 9
0.3235294117647059 34 9
0.3870967741935484 31 8
0.35294117647058826 34 8
0.375 24 8
1.3333333333333333 3 8
0.5263157894736842 19 8
0.325 40 7
0.5789473684210527 19 7
0.6470588235294118 17 7
0.45714285714285713 35 7
0.5882352941176471 17 7
0.3939393939393939 33 7
0.3076923076923077 39 7
0.42857142857142855 28 7
0.4482758620689655 29 7
0.4 30 6
0.8888888888888888 9 6
0.35135135135135137 37 6
0.7272727272727273 11 6
0.8 10 6
0.34210526315789475 38 6
1.6666666666666667 3 6
0.3333333333333333 42 6
0.41935483870967744 31 6
0.34146341463414637 41 6
0.5238095238095238 21 6
0.38235294117647056 34 6
1.25 4 6
0.5555555555555556 18 6
0.5909090909090909 22 6
0.28205128205128205 39 6
0.3783783783783784 37 5
0.3333333333333333 39 5
0.6923076923076923 13 5
0.55 20 5
0.6111111111111112 18 5
0.5714285714285714 21 5
0.875 8 5
0.358974358974359 39 5
0.37142857142857144 35 5
0.3611111111111111 36 5
0.4583333333333333 24 5
