nobl rocl count
3.125 20.0 1
2.757575757575758 29.0 1
2.5 10.0 1
1.805059523809524 9.0 4
1.6042622950819672 14.0 2
3.0 3.0 1
0.6818181818181818 29.0 1
0.0 9.5 1
1.420816220816221 2.0 9
3.111111111111111 6.0 1
0.09710491413427647 29.0 12
1.4410774410774412 9.0 3
1.5488232666804096 3.0 7
0.06808292566369456 72.0 2
0.19506549775505747 14.0 104
0.21437065856767074 20.0 50
0.22608828454549265 12.0 131
0.42823544588892093 22.0 10
3.0 6.5 1
1.6153846153846154 11.0 1
0.10413946498077714 35.0 13
0.12241179710947447 80.0 6
0.11985125084516565 74.0 2
5.333333333333333 7.0 1
0.004913733609385783 4.933333333333334 5
3.0 4.466666666666667 2
0.08888598840221042 37.0 16
0.0 76.0 1
0.0 101.0 1
3.235294117647059 11.0 1
3.0 3.5 1
4.214285714285714 10.0 1
0.10773361624708788 49.0 10
0.11805286183176414 41.0 11
0.0 8.5 1
0.1209548191426018 33.0 12
1.0 6.5 1
0.15243533446629912 42.0 12
5.0 9.428571428571429 1
1.1689064558629774 8.0 5
0.05051846325997762 89.0 2
1.4942326490713587 6.0 4
0.0574662267965671 52.0 4
0.12340084949917587 106.0 2
0.07798021195562178 46.0 3
0.22850609254481652 28.0 13
0.49614314926443204 19.0 8
0.15824198855510951 53.0 4
0.0 16.5 1
1.0 5.4 1
1.0789473684210527 22.0 1
0.0 7.583333333333334 2
0.0 12.5 1
0.0 6.5 1
0.5918367346938775 27.0 1
0.4876325088339223 110.0 1
0.09914407988587731 203.0 1
0.0 3.5 1
0.012219959266802444 223.0 1
0.05335161018550325 44.0 7
0.13213703099510604 93.0 1
0.08270030746970519 69.0 2
0.07904085257548846 125.0 1
0.07082945013979497 144.0 1
0.08310249307479224 100.0 1
0.09514449882755559 38.0 9
0.08819714656290532 127.0 1
0.09850188883175069 118.0 2
0.10788162554775196 82.0 2
0.11413043478260869 112.0 1
0.09786700125470514 119.0 1
0.06074766355140187 124.0 1
0.12872841444270017 102.0 1
0.10379782104890715 62.0 6
0.1128583942459258 70.0 3
0.09612609209987939 54.0 3
0.07504877418141645 111.0 2
0.09600400601541452 81.0 3
0.09000097531997145 97.0 2
0.1 56.0 1
0.10964337949632068 67.0 3
0.21861546476417745 48.0 5
0.1693638877014166 30.0 10
0.2625570776255708 108.0 1
0.10185785310483109 132.0 2
0.05176470588235294 99.0 1
0.4310333491365733 26.0 5
0.09921080910284615 55.0 3
0.0700330814417069 39.0 3
0.0936533099048856 79.0 2
0.125 64.0 1
0.08156432549936757 51.0 4
0.11188811188811189 77.0 1
0.0881547212741752 94.0 2
0.08647717931544337 63.0 3
0.07943262411347518 96.0 1
0.08992805755395683 73.0 1
0.061337827331922064 45.0 4
0.09193347527417346 65.0 2
0.504424778761062 124.0 1
0.10265301662650164 90.0 2
0.10533155826042856 66.0 2
0.08716707021791767 60.0 1
0.0684931506849315 57.0 1
0.09575518262586377 143.0 1
0.10031347962382445 141.0 1
0.1069078947368421 83.0 1
0.11538461538461539 75.0 1
2.217391304347826 12.0 1
0.08304343564469481 50.0 3
0.017183352294273795 59.0 2
0.9210526315789473 36.0 1
3.75 4.0 1
0.4782608695652174 62.0 1
1.0 3.6111111111111107 2
3.0 11.666666666666666 1
2.0 4.666666666666667 1
4.75 5.0 1
0.03416856492027335 95.0 1
0.0 10.5 1
0.08605341246290801 68.0 1
0.060215053763440864 137.0 1
2.0 2.533333333333333 1
0.03112033195020747 58.0 2
0.4859154929577465 49.0 2
0.46862472159129626 48.0 6
0.4431137724550898 58.0 1
0.44936708860759494 56.0 1
0.8409090909090909 20.0 1
