count robl midx
26 0.09556164478715619 98
25 0.07078051450465243 99
25 0.05910228555769352 96
25 0.06964411504122293 98
24 0.6146734706517315 100
24 0.15831808312655085 99
24 0.5820540935672515 100
24 0.5333333333333333 100
24 0.15932483852289667 98
23 0.06410079886081699 99
23 0.1156140137214306 97
23 0.11837956026465789 97
23 0.05411173492407549 96
23 0.06009221381612274 96
22 0.10570727294865226 99
22 0.06459570551301262 97
22 0.13546257820699548 98
22 0.0668238278221593 99
22 0.07067262239676032 98
22 0.17704034506502256 98
22 0.16580789361656992 98
22 0.07685560819386236 94
21 0.5384615384615384 100
21 0.06540490984317457 99
21 0.08939858690299189 96
21 0.16692026161595525 98
21 0.06584274792601505 98
21 0.7293638135743399 100
21 0.1339303285276818 98
21 0.09756354330983323 97
21 0.049773597160356745 94
21 0.05773469639015857 98
21 0.052649988300089164 94
20 0.11938461538461538 99
20 0.11145259351141704 99
20 0.21161161564939457 98
20 0.053264426091013714 95
20 0.08783797857087498 99
20 0.22431919534742115 97
20 0.16565776789024841 99
20 0.07588115588115588 99
19 0.057506958126153175 98
19 0.12338673360994343 98
19 0.09661065204724827 99
19 0.14647968158879582 99
19 0.4771537539500926 100
19 0.10328506943751953 98
19 0.15090729221411964 95
19 0.11738816395163146 99
19 0.056383779905044375 97
19 0.2120005316525997 96
19 0.15193168186589237 99
19 0.16819329845142916 98
18 0.09905258583115772 95
18 0.08169438235227708 95
18 0.08738121071880663 99
18 0.1428033724781692 94
18 0.14648699999010853 94
18 0.1672924632880139 99
18 0.1255692865697421 96
18 0.17683144994856786 99
18 0.26245763087332813 98
18 0.056674888202235985 96
18 0.13239520033504196 99
18 0.13773062882258286 95
18 0.20460275769606398 98
18 0.20527400441193547 99
17 0.15866071741870705 98
17 0.19636549408845425 99
17 0.059612624015738205 95
17 0.14253155860770064 99
17 0.16306272116518794 99
17 0.08315796811699197 97
17 0.11232155003781301 99
17 0.07685025432514672 94
17 0.23366835088617463 98
17 0.06103225057488926 97
17 0.1288608506100766 93
17 0.10406578937592069 98
17 0.2519838759876711 98
17 0.19108765645767545 99
17 0.15221694416627035 96
17 0.18349814673344086 99
17 0.15610685566805113 98
17 0.0984938330170778 99
