count robl hsv
74 0.2720390246706036 489
74 0.032059505850744054 1598
74 0.42853120978120973 315
73 0.20051249325444956 1523
73 0.09126724784267591 1760
73 0.3995433789954338 537
72 0.38268760872744234 1008
72 0.2317451950030486 1177
72 0.0 1791
72 1.0 286
72 0.07794255243775036 1348
72 0.4531297207972415 573
72 0.16231101926318992 1311
72 0.11615416522557281 1532
71 0.4248826291079812 496
70 0.0 2139
70 0.37744955462073115 1079
70 0.40435573141455494 709
70 0.26740250979583324 892
69 0.11448528004565359 1704
69 0.18989597575385328 1381
69 1.0 70
69 0.07365133445696105 197
68 0.032403290199312686 1770
68 0.2148520228347495 930
68 0.6003676470588235 248
68 0.055088358996375195 1479
68 0.10905108403554135 1256
68 0.20284623722687453 1427
67 0.03436310188094681 1846
67 0.2888315247658621 1237
67 0.09936079100453342 1359
67 0.18601641535697638 1309
67 0.20661452480103493 1791
67 0.2311241304594271 1295
67 0.4272154266262671 353
66 0.2328472373139496 1240
66 0.2290244788713703 1629
66 0.23409370234287497 1014
66 0.08164630139119447 1613
66 0.058162123866493866 1617
65 0.17129468799512068 1368
65 0.2721678321678322 338
64 0.10285669191919192 158
64 0.0 2211
64 0.4555789553975506 700
64 0.3065554164256198 1085
64 0.6027343749999999 309
63 0.35861314222658763 736
63 0.2663032431691396 1093
63 0.04074530608233707 646
63 1.0 110
63 0.0 2036
63 0.23154388819641725 1102
63 0.03374016409892653 1656
63 0.227064964578728 1415
63 0.16379380033824836 1669
62 0.4478306639596962 405
62 0.12387992831541218 134
62 0.18256880336387804 1634
62 0.0 2281
62 0.0 2092
62 0.17848077158996112 1563
61 0.19871729521612194 1685
61 0.1164503326980752 1775
61 0.09195282609483137 1245
61 0.3710592686002522 189
60 0.364114905132707 682
60 0.3391911032807772 1082
59 0.14820723442705241 1778
59 0.18088225295404617 1817
59 0.12314181265781218 1969
59 0.08435441535849955 1682
57 0.49958228905597324 586
57 0.27488099425044216 1142
57 0.14442680501234076 2030
57 0.3052234489512095 1160
57 0.10907426800355105 1400
57 0.4329592494457603 777
57 0.1712287666961562 1743
57 0.4689471341468139 937
57 0.2882384963040111 864
56 0.18939857794782533 1462
56 0.4140919884700292 856
56 0.2789606004975961 1329
56 0.3565342718808625 900
56 0.14243138183947193 1715
56 0.3951063256963878 667
55 0.09157100340565626 1915
55 0.16414518228168543 1873
55 0.0543599714352413 1803
55 0.42908667419536983 442
55 0.20493645617641457 1596
55 0.43346703801249253 194
54 0.1031649601478768 1843
54 0.2552531282899357 1215
54 0.2505439282858903 1677
53 0.254200894419179 1571
53 0.3021742036513635 244
53 0.08989647033676283 1990
53 0.448271723035874 506
52 0.6666666666666666 313
52 1.0 160
52 0.3313836290741778 876
52 0.44981299024002647 643
52 0.5977335164835165 183
52 0.33174492174492176 771
51 0.0763795633571201 1825
51 0.24701167156872264 1438
51 0.2603365627349062 1492
51 0.059872649932740905 1964
51 0.13508714240053543 1833
51 0.3493256905828741 1171
51 0.2042815416649173 1878
51 0.4038062283737024 781
50 0.24466275584136693 1341
50 0.06332745137366586 1890
50 0.22294978491430745 1492
50 0.28270172523554876 1057
50 0.37781135531135535 629
