count nobl hse
20 6.0 32857
20 5.0 23831
20 3.0 24484
20 12.0 4522
20 5.0 1855
20 6.0 18927
20 7.0 7481
20 7.0 30125
20 6.0 23170
20 6.0 16426
20 2.0 33413
20 8.0 9957
20 7.0 18700
20 6.0 3939
20 6.0 21634
20 7.0 11308
19 3.0 23153
19 2.0 29342
19 7.0 14206
19 2.0 26275
19 7.0 19855
19 6.0 4488
19 7.0 6995
19 8.0 18230
19 7.0 30957
19 5.0 21360
19 7.0 8068
19 7.0 23383
18 6.0 7080
18 8.0 12455
18 5.0 24509
18 5.0 26027
18 6.0 27461
18 8.0 27324
18 5.0 29615
18 7.0 13044
18 2.0 26804
18 5.0 2564
18 7.0 22965
18 7.0 21573
18 3.0 24120
18 4.0 23479
18 4.0 28147
18 2.0 42486
18 2.0 39177
18 2.0 29743
18 6.0 30648
17 3.0 26660
17 5.0 36521
17 5.0 29065
17 3.0 37781
17 7.0 25396
17 9.0 24005
17 3.0 25048
17 2.0 37916
17 6.0 3404
17 8.0 16557
17 7.0 28798
17 7.0 14617
17 4.0 31939
17 4.0 30935
17 4.0 28732
17 6.0 25061
17 5.0 26396
17 8.0 14409
16 7.0 17251
16 8.0 27994
16 5.0 34225
16 8.0 31791
16 7.0 25087
16 5.0 28633
16 9.0 9174
16 5.0 30929
16 3.0 38569
16 4.0 1000
16 2.0 33801
16 9.0 22520
16 5.0 28212
16 3.0 35519
16 7.0 31468
16 6.0 18068
16 2.0 37076
16 5.0 22978
16 5.0 20166
16 7.0 20186
16 7.0 34765
16 3.0 23888
15 7.0 15192
15 2.0 34130
15 8.0 23268
15 3.0 40014
15 3.0 31993
15 5.0 25162
15 2.0 39787
15 4.0 33386
15 7.0 19548
15 2.0 35325
15 3.0 26915
15 8.0 11504
15 8.0 28622
15 9.0 2136
15 5.0 32269
15 6.0 31473
15 7.0 20556
15 7.0 10332
15 17.0 16044
15 4.0 41444
15 8.0 25589
15 4.0 35219
15 4.0 40689
15 5.0 38333
15 2.0 40333
15 4.0 38253
15 7.0 24703
15 6.0 16876
15 5.0 35921
14 7.0 37494
14 6.0 28617
14 14.0 10970
14 8.0 20359
14 6.0 46796
14 6.0 34633
14 2.0 32473
14 4.0 32729
14 8.0 19108
14 2.0 34920
14 2.0 27601
14 3.0 33831
14 6.0 5417
14 5.0 37802
14 9.0 18395
14 2.0 41187
14 9.0 19909
14 6.0 28988
14 4.0 36396
14 6.0 25384
14 3.0 33534
14 10.0 14475
14 7.0 27589
14 4.0 33068
14 2.0 32121
14 8.0 8679
14 3.0 27169
14 5.0 35041
14 5.0 846
14 8.0 18597
14 6.0 35607
14 2.0 26528
14 8.0 34643
14 7.0 24270
14 5.0 34700
14 3.0 44377
14 4.0 38675
13 7.0 15553
13 5.0 27468
13 10.0 19619
13 6.0 1944
13 5.0 30538
13 6.0 39516
13 3.0 47693
13 8.0 7246
13 8.0 5021
13 5.0 30030
13 3.0 31581
13 8.0 1883
13 3.0 30422
13 4.0 32454
13 7.0 26546
13 6.0 24426
13 14.0 10189
13 8.0 12149
13 5.0 36889
13 3.0 35947
13 6.0 34062
13 7.0 32882
13 7.0 10042
13 6.0 26516
13 6.0 31011
13 6.0 36712
13 7.0 14882
13 7.0 3183
13 2.0 38864
13 7.0 28421
13 8.0 24481
13 10.0 16650
13 8.0 26086
13 7.0 27961
13 7.0 10999
13 6.0 32324
13 7.0 26240
13 9.0 13718
12 6.0 20012
12 10.0 18840
12 3.0 33138
12 2.0 41526
12 6.0 26149
12 8.0 17747
12 8.0 13408
12 4.0 29820
12 8.0 13816
12 6.0 27784
12 8.0 37844
12 9.0 34671
12 7.0 21203
12 6.0 2897
12 6.0 37355
12 9.0 16359
12 4.0 28432
12 7.0 4081
12 8.0 38668
12 3.0 37198
12 4.0 29010
12 6.0 28141
12 5.0 39544
12 6.0 23791
12 3.0 32312
12 8.0 30292
12 2.0 37391
12 8.0 10321
12 4.0 37304
12 4.0 39218
12 7.0 23815
12 8.0 21468
12 3.0 30035
12 11.0 19663
12 3.0 29737
11 9.0 15472
11 6.0 29853
11 5.0 40356
11 5.0 44531
11 3.0 226
11 4.0 36819
11 4.0 35843
11 4.0 42768
11 3.0 43294
11 3.0 42155
11 7.0 38069
11 2.0 43196
11 4.0 30145
11 8.0 33341
11 10.0 17746
11 9.0 12623
11 6.0 52731
11 6.0 27209
11 9.0 31324
11 8.0 8166
11 9.0 20395
11 3.0 42813
11 3.0 40769
11 2.0 43744
11 3.0 36822
11 7.0 34110
11 7.0 21883
11 9.0 14089
11 5.0 32611
11 9.0 25334
11 7.0 10659
11 7.0 25864
11 8.0 47883
11 8.0 19998
11 8.0 25064
11 6.0 35072
11 5.0 30233
11 8.0 32849
11 6.0 30248
10 3.0 41187
10 8.0 9142
10 9.0 16768
10 9.0 19178
10 3.0 48310
10 4.0 43893
10 7.0 6152
10 2.0 47242
10 7.0 9401
10 6.0 36024
10 5.0 48505
10 7.0 4763
10 2.0 34541
10 8.0 39257
10 8.0 16968
10 10.0 17056
10 2.0 32813
10 9.0 8427
10 10.0 38883
10 6.0 40815
10 6.0 37912
10 9.0 27139
10 8.0 7754
10 7.0 22127
10 6.0 48377
10 2.0 41855
10 9.0 21322
10 7.0 9729
10 5.0 45157
10 7.0 36075
10 9.0 32053
10 3.0 32558
10 4.0 61279
10 2.0 36741
10 9.0 30626
10 6.0 42971
10 5.0 37352
9 7.0 41303
9 6.0 31775
9 6.0 2407
9 8.0 9579
9 3.0 46026
9 2.0 36376
9 8.0 21132
9 18.0 23159
9 8.0 35782
9 7.0 20916
9 4.0 42177
9 3.0 52842
9 6.0 28384
9 8.0 14913
9 2.0 44256
9 4.0 47041
9 4.0 39785
9 11.0 23002
9 9.0 27537
9 8.0 26759
9 3.0 31171
9 15.0 23291
9 8.0 29169
9 8.0 29662
9 9.0 27724
9 6.0 26917
9 8.0 37333
9 11.0 21862
9 3.0 39648
9 7.0 22437
9 2.0 45961
9 8.0 36916
9 2.0 38480
9 8.0 35210
9 8.0 17358
9 7.0 51972
9 8.0 33915
9 2.0 40736
9 10.0 31308
9 8.0 32416
9 7.0 33240
9 3.0 45223
9 9.0 4470
9 5.0 35500
9 7.0 29189
9 9.0 25959
9 7.0 6439
9 9.0 24718
9 8.0 4084
9 7.0 5722
9 8.0 19498
9 9.0 10787
9 9.0 28031
9 4.0 47618
8 8.0 42419
8 11.0 7195
8 9.0 39643
8 3.0 46854
8 3.0 50347
8 3.0 36408
8 6.0 54000
8 8.0 22522
8 8.0 20708
8 2.0 45361
8 3.0 49729
8 7.0 45333
8 7.0 32351
8 10.0 12115
8 2.0 47696
8 7.0 45951
8 10.0 11479
8 8.0 36556
8 8.0 21932
8 5.0 33751
8 3.0 32829
8 4.0 51767
8 8.0 30783
8 5.0 45831
8 10.0 31909
8 10.0 25216
8 9.0 14467
8 5.0 47897
8 8.0 11850
8 9.0 9709
8 10.0 21725
8 5.0 60799
8 8.0 5651
8 3.0 54945
8 4.0 45418
8 10.0 26636
8 4.0 46187
8 6.0 43738
8 7.0 33661
8 5.0 49470
8 9.0 30098
8 10.0 25815
8 3.0 40300
8 6.0 38633
8 7.0 43238
8 10.0 23750
8 9.0 23357
8 3.0 43934
8 10.0 2179
8 11.0 36314
8 7.0 32002
8 10.0 30462
8 10.0 37808
7 12.0 29732
7 10.0 15780
7 5.0 50155
7 8.0 41686
7 6.0 56779
7 7.0 38678
7 9.0 40527
7 9.0 46532
7 5.0 43904
7 9.0 37569
7 9.0 12048
7 9.0 29645
7 9.0 36950
7 5.0 42471
7 13.0 9826
7 11.0 31074
7 5.0 59108
7 10.0 34446
7 7.0 36701
7 7.0 39701
7 8.0 10769
7 9.0 5734
7 10.0 27537
7 6.0 44588
7 3.0 57109
7 9.0 7763
7 12.0 22989
7 11.0 12349
7 2.0 53501
7 4.0 40155
7 9.0 33680
7 7.0 35544
7 10.0 24297
7 6.0 45864
7 5.0 55754
7 5.0 33424
7 9.0 21958
7 9.0 17970
7 6.0 41659
7 5.0 39088
7 5.0 41365
7 8.0 22857
7 7.0 44648
7 10.0 36766
7 9.0 39073
7 4.0 37682
7 5.0 42970
7 6.0 53280
7 10.0 22997
7 2.0 59226
7 9.0 11348
7 4.0 63
7 10.0 35114
7 7.0 50511
7 9.0 14980
7 11.0 29854
7 11.0 24261
7 9.0 41572
7 8.0 11179
7 4.0 44485
7 11.0 17646
7 3.0 38962
7 12.0 26799
6 4.0 56618
6 4.0 49122
6 2.0 44851
6 3.0 41570
6 11.0 41260
6 9.0 15953
6 4.0 48758
6 4.0 43505
6 7.0 44085
6 11.0 35599
6 8.0 3250
6 8.0 4574
6 4.0 49671
6 6.0 47469
6 4.0 55180
6 10.0 33418
6 12.0 25466
6 2.0 48295
6 10.0 61949
6 9.0 7275
6 7.0 49059
6 7.0 64375
6 9.0 17372
6 11.0 18874
6 11.0 16985
6 9.0 34230
6 4.0 67908
6 9.0 32714
6 10.0 13327
6 9.0 53042
6 3.0 47200
6 3.0 59122
6 13.0 42320
6 7.0 40364
6 6.0 40119
6 9.0 43575
6 6.0 39050
6 9.0 29185
6 9.0 42329
6 5.0 40794
6 13.0 46434
6 4.0 53797
6 7.0 42449
6 11.0 15790
6 9.0 22982
6 8.0 41006
6 9.0 20874
6 11.0 30354
6 4.0 50786
6 2.0 52603
6 2.0 50528
6 10.0 18367
6 9.0 35935
6 4.0 683
6 4.0 50319
6 10.0 27098
6 3.0 54105
6 5.0 42063
6 12.0 39150
5 2.0 55275
5 9.0 28381
5 8.0 46849
5 12.0 14525
5 5.0 46431
5 11.0 23835
5 6.0 69611
5 12.0 34108
5 9.0 10304
5 9.0 51742
5 3.0 77111
5 9.0 38473
5 5.0 77195
5 5.0 51382
5 10.0 58659
5 9.0 41111
5 10.0 47501
5 4.0 52238
5 7.0 47003
5 4.0 62767
5 8.0 48674
5 12.0 42711
5 6.0 51051
5 8.0 40655
5 12.0 36216
5 8.0 31339
5 7.0 39268
5 2.0 82997
5 14.0 13339
5 9.0 26460
5 5.0 52656
5 10.0 29676
5 4.0 48180
5 5.0 54354
5 2.0 74024
5 7.0 29628
5 3.0 55857
5 7.0 35169
5 3.0 51645
5 2.0 49315
5 4.0 55750
5 8.0 40225
5 7.0 74797
5 10.0 51544
5 12.0 18457
5 11.0 2439
5 10.0 46274
5 11.0 60854
5 5.0 401
5 7.0 49540
5 4.0 61815
5 3.0 39305
5 7.0 47660
5 10.0 32740
5 4.0 75970
5 13.0 26644
5 2.0 75888
5 4.0 59959
5 5.0 39922
5 4.0 44854
5 9.0 36366
5 4.0 57276
5 11.0 14509
5 6.0 45343
5 9.0 6344
5 7.0 48399
5 9.0 47802
5 11.0 20299
5 6.0 52341
5 9.0 22316
5 8.0 45245
5 2.0 51810
5 5.0 64014
5 9.0 35489
5 9.0 45788
5 5.0 50934
5 13.0 2795
5 4.0 52768
5 10.0 52919
4 10.0 56386
4 4.0 53233
4 4.0 64877
4 2.0 65003
4 14.0 35449
4 9.0 54135
4 6.0 42518
4 12.0 32508
4 10.0 10025
4 8.0 54478
4 12.0 34936
4 10.0 14954
4 11.0 16660
4 2.0 54009
4 12.0 57885
4 7.0 58665
4 10.0 4824
4 8.0 51872
4 7.0 57506
4 10.0 13702
4 4.0 59018
4 2.0 61177
4 8.0 42850
4 2.0 49821
4 5.0 51900
4 8.0 49285
4 10.0 12735
4 11.0 22429
4 8.0 60650
4 9.0 33082
4 11.0 38421
4 3.0 49004
4 3.0 66126
4 6.0 49355
4 9.0 3674
4 7.0 56937
4 10.0 35804
4 3.0 73047
4 4.0 45098
4 10.0 7122
4 10.0 20874
4 7.0 43703
4 11.0 27721
4 10.0 28587
4 9.0 44917
4 12.0 41757
4 10.0 6402
4 5.0 78539
4 11.0 25241
4 2.0 62215
4 4.0 64261
4 4.0 66191
4 10.0 23290
4 9.0 59397
4 11.0 35003
4 12.0 16956
4 6.0 50361
4 6.0 68146
4 14.0 29830
4 3.0 70475
4 7.0 46541
4 15.0 25405
4 14.0 23128
4 3.0 71694
4 10.0 41460
4 2.0 60767
4 3.0 83063
4 10.0 28103
4 13.0 38202
4 3.0 62359
4 2.0 68278
4 5.0 69546
4 5.0 47302
4 12.0 31058
4 12.0 29006
4 8.0 49829
4 2.0 48889
4 7.0 51127
4 2.0 59963
4 3.0 59882
4 3.0 58347
4 9.0 28799
4 2.0 63155
4 10.0 10398
4 2.0 67303
4 10.0 43883
4 3.0 86883
4 14.0 43207
3 12.0 21580
3 11.0 27104
3 7.0 55572
3 10.0 40111
3 11.0 36846
3 11.0 20648
3 8.0 78479
3 15.0 39832
3 11.0 62269
3 12.0 38768
3 10.0 9190
3 12.0 26083
3 3.0 62894
3 8.0 46206
3 9.0 54800
3 11.0 50572
3 4.0 51471
3 3.0 52244
3 12.0 24525
3 13.0 23830
3 11.0 13875
3 8.0 43593
3 16.0 22742
3 6.0 1002
3 10.0 42033
3 3.0 65454
3 10.0 50745
3 11.0 25906
3 14.0 34251
3 8.0 53795
3 12.0 13051
3 9.0 50150
3 13.0 25041
3 16.0 46777
3 6.0 42130
3 2.0 61612
3 10.0 57421
3 2.0 68977
3 2.0 51310
3 12.0 33297
3 10.0 3681
3 4.0 72767
3 7.0 53116
3 11.0 8371
3 27.0 23159
3 2.0 58271
3 13.0 28452
3 11.0 46035
3 10.0 65324
3 10.0 22407
3 6.0 64205
3 10.0 20122
3 3.0 67064
3 8.0 57726
3 7.0 56271
3 11.0 67232
3 2.0 55965
3 12.0 68867
3 12.0 19215
3 8.0 65756
3 5.0 55048
3 11.0 7712
3 2.0 65728
3 6.0 136679
3 13.0 29661
3 7.0 72889
3 8.0 55412
3 11.0 58263
3 12.0 20730
3 12.0 2616
3 12.0 39715
3 6.0 73009
3 11.0 3586
3 4.0 66837
3 14.0 27564
3 6.0 71710
3 7.0 69074
3 7.0 41842
3 15.0 3269
3 5.0 82432
3 3.0 60622
3 10.0 5525
3 15.0 30711
3 13.0 32811
3 10.0 69677
3 3.0 67795
3 4.0 58034
3 14.0 28769
3 11.0 11565
3 12.0 43883
3 10.0 48621
3 11.0 54810
3 8.0 57240
3 2.0 71030
3 8.0 56558
3 3.0 56663
3 10.0 39789
3 3.0 64287
3 9.0 50705
3 5.0 68495
3 5.0 66394
3 8.0 58736
3 10.0 74570
3 7.0 54965
3 11.0 26507
3 2.0 54362
3 8.0 1325
3 7.0 62483
3 6.0 55625
3 2.0 79088
3 7.0 87360
3 9.0 4895
3 5.0 81702
3 10.0 44682
3 2.0 57616
3 4.0 70218
3 6.0 84387
3 13.0 25755
3 2.0 46561
3 8.0 7534
3 11.0 48978
3 11.0 9353
3 11.0 32180
3 4.0 84424
3 3.0 78234
3 13.0 39429
3 9.0 62615
3 16.0 45948
3 9.0 42774
3 11.0 52959
3 11.0 71444
3 8.0 44059
3 2.0 92799
3 10.0 54460
3 7.0 80171
3 8.0 70110
2 20.0 34475
2 14.0 31833
2 3.0 63516
2 13.0 4522
2 9.0 67276
2 10.0 29090
2 9.0 60499
2 13.0 27576
2 7.0 86693
2 6.0 57475
2 11.0 74562
2 13.0 36621
2 2.0 96700
2 9.0 84513
2 12.0 3787
2 12.0 31780
2 13.0 43516
2 6.0 60218
2 12.0 40810
2 17.0 39049
2 8.0 62552
2 7.0 67434
2 4.0 65701
2 3.0 84254
2 13.0 18923
2 19.0 32195
2 4.0 73278
2 5.0 80458
2 7.0 68260
2 10.0 67068
2 16.0 12049
2 4.0 85887
2 11.0 64384
2 7.0 93010
2 12.0 9433
2 16.0 3084
2 2.0 89377
2 7.0 63209
2 8.0 85215
2 4.0 89520
2 11.0 39216
2 11.0 10191
2 13.0 30837
2 14.0 74453
2 2.0 50995
2 7.0 54131
2 13.0 16515
2 9.0 1
2 11.0 43582
2 4.0 101696
2 14.0 9453
2 4.0 136561
2 16.0 24940
2 15.0 42833
2 13.0 20874
2 7.0 136998
2 15.0 22001
2 14.0 26234
2 7.0 65903
2 9.0 88252
2 2.0 99448
2 22.0 41457
2 12.0 11187
2 3.0 50932
2 8.0 79144
2 11.0 6692
2 2.0 80736
2 12.0 13747
2 5.0 84477
2 12.0 75599
2 15.0 40634
2 3.0 201259
2 5.0 58219
2 7.0 66425
2 2.0 57141
2 14.0 5487
2 14.0 22142
2 8.0 74705
2 4.0 88723
2 11.0 21091
2 6.0 70224
2 15.0 4044
2 16.0 31032
2 7.0 93743
2 14.0 38343
2 4.0 73763
2 7.0 73443
2 6.0 81716
2 4.0 71048
2 18.0 3719
2 6.0 60931
2 13.0 49358
2 2.0 71753
2 11.0 32558
2 12.0 51450
2 4.0 78391
2 12.0 27296
2 6.0 51652
2 12.0 37930
2 5.0 120510
2 3.0 91872
2 6.0 79518
2 12.0 7546
2 3.0 93763
2 11.0 45328
2 11.0 10826
2 6.0 67325
2 11.0 47378
2 7.0 65396
