count robl hse
131 0.10264646371340073 11874
130 0.03803507294115951 14026
129 0.05784019531502455 15710
129 0.043852550802372825 15823
129 0.2702238466008356 5234
127 0.16658886470926096 8856
127 0.11114331862363358 9949
126 0.05039965702491583 14585
126 0.2315841643572736 4877
125 0.18878424383263093 6987
124 0.13345647557452947 8502
123 0.15530180711963604 13223
122 0.42826060161094104 2290
122 0.05905853167028393 13744
121 0.19992618693670963 14358
120 0.31224716292479454 6529
120 0.08088407194128018 12955
120 0.21308690750318618 9692
120 0.272188995215311 2679
120 0.12468821277289019 11239
120 0.39992753623188404 6508
119 0.07692307692307693 3342
119 0.2993262664542941 7450
119 0.35866430738768423 4200
118 0.1441380626477774 12427
117 0.06569432441143104 33113
117 0.2224849761081645 8775
117 0.034514506148064554 19592
117 0.0 35721
117 0.1879221799093594 10635
115 0.13376905580105522 11150
115 0.20005115089514067 10845
115 0.08362696912413357 8925
115 0.09580148361437789 15739
114 0.21347956973894003 6511
114 0.2501414827391058 11921
113 0.09964263743632135 26102
113 0.12547416545558324 28083
113 0.1352328088153491 13930
113 0.14296249473240624 11276
112 0.21310524920139287 8077
112 0.12564853279769966 18260
112 0.5 5142
112 0.057114644103255334 6463
112 0.031281408260819134 21594
111 0.11793599440658264 9640
111 0.08675758989764913 14408
110 0.27396694214876033 7802
110 0.14515339191288062 13924
109 0.21401816767687065 4895
109 0.07927010638019813 11543
108 0.05215309580361977 17317
108 0.28580420959806924 6546
107 0.18834918542862467 8667
107 0.1177350192413414 6242
107 0.6 1732
106 0.23245848491131513 9218
106 0.14245453109487463 15657
105 0.15415133372150916 15106
105 0.6666666666666666 2216
105 0.17730127160582101 16180
105 0.2499917542774686 13826
105 0.11889487606970699 13708
105 0.060273436860124166 4065
105 1.0 2514
105 0.13365063415350664 16570
104 0.1531553749161364 17105
104 0.048949969093950316 8171
104 0.05015705015705015 9035
103 0.06250248426677564 2193
103 0.37752682885539296 15275
103 0.30997333208214994 13047
102 0.4285714285714286 3350
102 0.10901076396699327 16381
102 0.1282259497992632 14799
101 0.3333333333333333 8726
100 0.11312574759633583 14943
100 0.12345263951734539 12657
99 0.1389543331549601 17964
99 0.17585235902547836 8763
99 0.13327876924714868 4774
99 0.21245064388706383 14295
99 0.053158723254417034 2255
99 0.3334546369029127 13565
98 0.10240333412798582 14531
98 0.20005232862375721 12328
98 0.5 6653
98 0.18500426354883928 13644
97 0.12315222511616482 16248
97 0.045681711014548744 19232
97 0.11663439552980887 22347
97 0.33333333333333326 11687
96 0.08947504344532875 19457
96 0.36538078149920256 6912
96 0.18221807609828444 9768
95 0.04101734378851084 17629
95 0.44572132394727676 2669
95 0.044310264106602784 9928
94 0.16654643851718615 12502
94 0.1856134163315014 14830
94 0.11760277269664003 7976
93 0.21210017193158898 12735
93 0.09101355944715976 17334
93 0.274101645069387 9592
93 0.3333333333333333 10107
92 0.07897453138711441 17909
92 0.13377282205991053 19691
92 0.23401685728768318 10396
92 0.2358973174451426 16443
92 0.06733044186373972 16506
91 0.45761144269717735 7316
91 0.2649777506130802 13989
91 0.0 37095
91 0.298280501349555 11027
90 0.22245888840091738 10359
90 0.6 3193
90 0.13356122921340313 5918
90 0.056150404695296335 28438
89 0.24991487912836227 15935
88 0.31030619058495074 7836
88 0.3634149940968123 1618
87 0.2979966443793354 8916
87 0.16062772886012158 23566
87 0.09972678304111966 18416
86 0.42840094422101765 6582
86 0.30007160210276845 2259
85 0.16568302647999042 13847
85 0.2653944399135344 7324
85 0.14679861487524581 23712
85 0.2650801944589586 9250
84 0.16578649965031658 17152
84 0.1889971409940688 12514
84 0.31169992024007454 11051
84 0.17544457813110254 13957
83 0.44402610441767065 4607
83 0.0 48228
83 0.365087252633226 5439
82 0.27362709314954486 12342
82 0.21192782638989094 11176
82 0.2357179758775657 24725
82 0.0 38463
82 0.033662365380223415 12376
81 0.05435204020228673 20416
81 0.1759130549882233 10335
80 0.22601314008572074 14391
80 0.04802334083727104 6783
80 0.21761620366370843 25499
79 0.11012994461675732 19798
79 0.036472002307846633 16542
79 0.2 16282
79 0.040321893310620464 20813
79 0.3128108354853693 17108
79 0.12107954386326432 20390
79 0.0 39782
78 0.3585581511412714 8898
78 0.4436012652924417 7130
78 0.0320203052638001 26392
78 0.12996420111982174 22008
78 0.2857001063452676 9464
78 0.16709942227183605 19314
77 0.311154656266024 9369
77 0.13092660477044424 25857
76 0.25153875904503353 21805
76 0.26485140373228305 11240
76 0.04001430227116726 22909
76 0.03144196926913668 17999
75 0.15621630183497756 21091
74 0.06563151496410673 20390
74 0.3584427230267855 17624
74 0.13327934279755665 3271
73 0.10353030216653421 20925
73 0.21113300306705163 16188
72 0.0 41359
72 0.13052247152642837 23917
72 0.16577968640816249 15654
72 0.11127442523211356 18114
72 0.07391104426317258 22882
72 0.0 42851
72 0.06529158277955961 24862
72 0.05740722614593874 18612
71 0.2226425374038613 16164
71 0.1773190337012817 18130
71 0.3085084392997662 4680
71 0.35727541720913714 6944
71 0.30100878096505523 19273
71 0.0753071742372542 19475
71 0.37458427664135596 9215
71 0.06719313843759629 18149
70 0.03641088574810881 8466
70 0.2268464653325049 19868
70 0.18979737198944 17935
70 0.05373418811564031 23770
69 0.2316876757797474 11554
69 0.5 8713
69 0.21330549110840294 20002
69 0.14359920986808403 27887
69 0.29118483389239375 17427
68 0.2233238157188584 12966
68 0.054822261839523455 30333
68 0.09868783526179012 22165
68 0.38527038463099844 7775
68 0.028151039924388794 28248
68 0.2360435277874473 14664
67 0.3832240842019535 5141
67 0.21206716705618792 17992
67 0.1639635446395245 26641
67 0.15082826642212846 25879
67 0.028285668081211815 24891
67 0.1064562920686116 23613
66 0.0 44321
66 0.06364005310186599 22217
66 0.30494691093171056 23335
66 0.2980697231645998 13137
66 0.3334911616161616 15956
65 0.14326303664947113 21771
65 0.20060888708380392 20691
65 0.08052626736319188 25383
65 0.189602603851004 16231
64 0.2675335656242407 15477
64 0.28208182599548437 14967
64 0.18660914833585673 21760
64 0.039904525893445494 24915
63 0.28340639959687575 10825
63 0.25011337868480726 18333
63 0.35397090644479556 14607
63 0.2522720535042129 24784
63 0.3631884907072877 12745
62 0.1756750319934682 22979
62 0.2379595265928676 18914
62 0.1676520047218299 21584
62 0.028695993938056167 15609
62 0.14559293304367937 33498
62 0.0857953279626409 23473
62 0.75 2768
62 0.5729646697388633 6151
61 0.285038056206089 12524
61 0.07830662981413207 21056
60 0.15740765320391806 31805
60 0.22653483911548428 17854
60 0.09421444787603425 28362
60 0.23665781701588257 21855
60 0.15883430363725357 19077
60 0.5722222222222222 3987
59 0.09496087141862443 24422
59 0.19947181883748605 25728
59 0.4001540832049307 9148
59 0.11507602215478586 25027
59 0.08806015371915497 21813
59 0.22216317886507123 21817
58 0.20021482415605144 18568
58 0.043112249270511604 27457
58 0.15118685686637007 18946
58 0.05033452994910328 21962
57 0.27741888791117464 19138
57 0.23169159701667444 3244
57 0.20386897183558447 27813
57 0.18627149516640962 24146
57 0.06409197983131999 26813
57 0.18946710808002512 19840
57 0.7996101364522418 1776
57 0.030530543631960064 23421
57 0.028936729665265826 31874
57 0.1778487367579045 19862
56 0.08180142279262761 27285
56 0.2620902764294616 17091
56 0.221518611973775 11655
56 0.21028144800239845 22867
56 0.033261652753393024 29985
56 0.3133848105161626 14788
55 0.384242266683143 18388
55 0.35327624607056995 11582
55 0.29761874822708384 15305
55 0.6666666666666666 3648
54 0.21417601242162643 3356
54 0.17649939194190184 25350
54 0.3620769797670383 10647
54 0.4119361736464133 6061
54 0.42989417989417983 8825
54 0.26964484727234717 21228
53 0.28813877906360746 21271
53 0.06083439096466695 36492
53 0.16415361186402994 34626
53 0.04321870500295438 3175
53 0.1178718432880475 17527
53 0.05209022941452605 25655
52 0.31610972702703616 19919
52 0.171060760347295 28809
52 0.0 50572
52 0.235135989634146 27351
51 0.10845924989916098 32339
50 0.266095758033725 23420
50 0.3998260869565218 11855
50 0.09005313571993302 33518
50 0.0 46229
49 0.32674536407947435 24622
49 0.45927759529492906 4622
49 0.14898920397384274 36456
49 0.1307954810584844 32495
48 0.46774424872924 9788
48 0.3804920933153692 13049
48 0.11310180850748802 27241
48 0.2745159455935318 16955
48 0.42857142857142855 1265
48 0.0925072441274346 31071
47 0.07489260400151188 31331
47 0.1980633271566864 22982
47 0.12008594384948974 30052
47 0.1863969636257949 27226
47 0.14381594879778584 19863
47 0.10615649718460385 29477
47 0.033510006167247 10251
46 0.5708894064872325 2065
46 0.3348668213969938 18558
46 0.14620352910696618 30426
45 0.42204367126967746 12079
45 0.13241765439403885 35388
45 0.3834426105230219 10595
45 0.044341741330349294 32119
44 0.47051129228155075 16078
44 0.4266291565032984 17721
44 0.0794007566459707 29250
44 0.599793388429752 5555
44 0.031389922760480374 41973
44 0.03445572512814487 36088
44 0.0 58096
43 0.28755597075635636 24792
43 0.18124083115592776 46145
43 0.5415533850554369 7316
43 0.0677532374870187 28396
43 0.05283613233139881 34470
43 0.2624870028026814 19133
43 0.15602181609510746 28854
42 0.0 70334
42 0.4162958644382793 7875
42 0.11361275834303224 42840
42 0.18998358930715886 29617
42 0.5536830893973752 4001
42 0.1335519246149033 30182
41 0.2208042370517403 23679
41 0.5 10797
41 0.026553133631055697 34623
41 0.10370823524992814 38167
41 0.21907881132694823 27682
41 0.3126253937536245 31235
40 0.11896245279638393 34047
40 0.10039360611512034 40414
40 0.19948677133742082 30568
40 0.4456243686868687 9734
40 0.0 53079
39 0.3498195386451217 31650
39 0.1274172992442058 38200
39 0.23457531866426434 29940
39 0.12765126699937038 40824
39 0.09909939089564389 35345
39 0.07654419910416899 34875
39 0.07520015411452778 41576
39 0.30664977171389957 27222
39 0.18398882523959026 34685
39 0.5 15819
39 0.3322699902396297 21476
39 0.4018098664304973 16173
38 0.09869301332528109 46494
38 0.03589680515189275 6022
38 0.2903266801921858 28167
38 0.06925050064574655 39065
38 0.4488289780395044 12047
37 0.21310197106515066 29692
37 0.3541472472946774 20076
37 0.21736544942047528 33869
37 0.0 55376
37 0.31047508679087626 2856
37 0.15408231963297053 52659
37 0.4161994812149611 10013
36 0.08929332245126766 43343
36 0.19218416070366173 37139
36 0.07355464820612906 48066
36 0.05488095558064304 41504
36 0.11574657459461382 36227
36 0.3509386030760172 22827
36 0.15442015488396488 38975
36 0.2237202748304999 31763
35 0.2557238488439914 34802
35 0.2583106920745382 27386
35 0.35345570981222185 25252
35 0.17855531525228963 30749
35 0.028935319292305018 56596
35 0.38461538461538464 1491
35 0.2519643068350742 29286
35 0.7698166446065606 8066
35 0.25217919201811195 37521
35 0.27290084742784737 29747
34 0.8576680672268907 4983
