count robl hsd
326 0.2003740178667528 9
323 0.20035209326829406 10
319 0.13683844210154988 11
315 0.00016452448906380214 22
315 0.20025286852444515 11
314 7.809404809069576e-05 21
314 0.14275780076641822 8
312 0.3335581122001376 13
309 0.2000216021611059 8
309 0.1999691786099553 7
309 0.14367080839572746 7
306 0.2001069601568694 11
305 4.617871161394597e-05 21
303 0.08909367206151846 11
299 0.25011858204475856 7
295 0.12603458835229905 9
293 0.2498838539794171 10
290 0.19984670369091742 6
289 0.16656688234933292 9
289 0.25027723421667813 11
288 0.09613510326757285 9
287 0.2502200623509995 7
287 0.20010384702198042 9
284 0.500027016317856 9
282 0.20001555306706484 7
281 1.0 3
275 0.16663030047112742 9
273 0.16626575834094104 10
272 0.3333333333333333 5
270 0.20035211692955887 10
270 0.10571466997900877 12
270 0.08787971502464256 8
268 0.3333811710677382 8
268 0.0705032064305328 10
268 0.10527437066984285 12
268 0.25026970973904367 11
267 0.3334691789151758 11
266 0.16701510047469006 10
266 0.1665475906961975 7
266 0.06468852076977338 11
265 1.0 4
265 0.3333333333333333 7
260 0.5 6
259 0.33338283338283337 9
259 0.09784569334467383 8
258 0.08779751221865083 13
256 0.12576209597516053 10
255 0.5 7
255 0.10556918915408295 11
255 7.732989309613804e-05 23
254 0.1835496435571702 10
253 0.1681713570303686 6
252 0.00030223153522179833 25
251 0.24867473441349744 13
250 0.20063806063390086 12
248 0.2502004239726451 7
248 0.2500592979127135 8
248 0.2499793217535153 5
248 0.00014349570490611527 24
247 0.07788519700674562 17
246 0.16630738286896646 11
243 0.05436484936421884 13
241 0.2235782459835864 9
241 0.40086329796138676 8
240 0.07493552228666175 13
240 0.3332604895104895 9
239 0.5002461235540241 7
239 0.08847981149847634 12
236 0.07953308767314593 11
236 0.00014679325557531646 23
235 0.1427185927165484 10
234 0.16721100674856382 11
233 0.06883466332688987 14
233 0.20001051481267057 8
232 0.3333090759814898 9
232 0.12500367441216603 12
232 0.07279841753203241 11
230 0.12599610748622883 9
229 0.0915309219000659 14
229 0.0703624419440639 13
226 0.22510204433107653 12
225 0.1675704412546518 6
224 0.142583298563902 10
223 0.058467478267287695 15
221 0.14601257251673114 16
220 0.07166390005533335 12
219 1.0 5
218 0.3326756430152062 6
217 2.0123558650111685e-05 23
216 0.14372201872201873 7
216 0.1111913001317886 9
216 0.09788721171844646 13
215 0.09672285324491955 10
215 0.14502361460583144 11
214 0.054798394746034915 16
213 0.09606894152103249 11
213 0.49986191659762497 8
213 0.11106589081559648 7
212 0.1404524514565866 17
211 0.10777016815630527 14
211 0.15418245242923256 14
211 0.3994227629389627 13
210 0.05319476706318679 12
210 0.12414750756196086 13
209 0.08812685459606616 9
209 0.063381544148314 19
208 0.11203899124832681 9
208 0.22242463779899582 10
208 0.14539258302867866 12
207 0.08714561909268903 10
207 0.2500805152979066 6
206 0.1394996990306309 12
205 0.18247110348078008 13
205 0.12997236295169476 18
205 0.0685054937336865 15
205 0.11163693261027702 11
204 0.12726427737991375 13
202 1.0 6
201 0.2809927520505067 8
201 0.16611337869342593 12
201 0.12334294951290618 11
199 0.10016674516056598 8
199 0.3333333333333333 6
199 0.2833959629230099 7
198 0.04707248611224191 16
198 0.16480595427963848 8
197 0.03438852713181245 15
197 0.08057534333126065 15
195 0.16172787306334496 13
195 0.21972316975334247 11
195 0.06940723924438962 14
194 0.1284675961565755 11
194 0.07324420369380798 10
193 0.11145717168832713 8
193 0.07036820603108493 8
193 0.11161624421862795 11
193 0.33326952363936463 10
192 0.06895891217745463 8
191 0.14117730717731597 14
191 0.1823185728355806 12
190 0.16602468997005612 12
190 0.16381489953837042 15
189 0.1295139160464394 15
188 0.08046247771916012 9
188 0.2826544205690013 8
188 0.12604974433685986 14
188 0.2247645907923861 13
188 0.054869367285267374 14
187 0.3333333333333333 7
187 0.18208229025395348 9
187 0.11269868892706263 10
186 0.05008270488905536 14
186 0.1257135458203852 8
184 0.2496402867231985 12
183 0.16652286453839515 7
183 0.5 7
183 0.0885387987893034 14
182 0.09619229948376612 15
182 0.11256795858241361 13
182 0.18385209537113578 14
182 0.10012748869616254 9
181 0.10807339583543257 15
181 0.0558608835339964 11
181 0.12753732842644294 11
181 0.07044429227249525 9
180 0.19965639500109822 13
180 0.2185259695177502 13
180 0.21852458622934406 12
179 0.18206986383949905 9
178 0.19783926139915547 14
178 0.10060308231349392 10
178 0.22391373884376556 9
177 0.13024191028725915 17
176 0.17373104998351507 14
176 0.10710061137692715 7
176 0.3337744333625894 11
176 0.03313364638421769 16
176 0.1258897133682794 8
176 0.11942652723966679 16
175 0.4011843314400859 9
174 0.06429367909566495 9
174 0.0817269755533716 18
174 0.3027703723593665 11
174 0.0877281251116638 12
174 0.12810472810023726 10
174 0.2032560733236086 15
174 0.0006391421346675917 25
173 0.00013152437497898227 26
172 0.16720863931564953 13
172 0.09958901208555729 7
171 0.053873391191961245 21
171 0.1472402956532742 15
170 0.25196822831956067 14
170 0.18286592827941409 12
170 0.49982698961937716 3
169 0.28597556289863985 5
169 0.2005872356602565 13
168 0.08650283715970859 10
167 0.399978323895196 6
167 0.05661246391488693 10
167 0.12445282513362428 22
167 0.03801753423915596 12
167 0.1820840472306184 11
167 0.05147940081532218 10
166 0.4 6
166 0.3331967393425824 13
165 0.16211230385724398 15
165 0.11219950385950012 13
165 0.05822228387439705 12
165 0.3333452874142529 10
164 0.22235027745710503 8
164 0.12970849072061297 16
164 0.16823925737750345 14
164 0.18205057862346594 11
164 0.40086942926285457 7
163 0.2221207610880151 7
162 0.03474638506683883 13
162 0.28794720906195126 10
162 0.3086619549758375 10
162 0.14027380502033962 13
162 0.07544491841564012 16
162 0.3336524403455991 12
161 0.14253271217625685 13
161 0.08481130645591893 7
161 0.2812275689216683 9
161 0.09543832222858203 19
161 0.16723131940523245 5
160 0.5002840909090909 5
160 0.4996572781655034 4
160 0.06407918295473848 6
160 0.24955930498437467 12
158 0.2859647023366308 9
158 0.5 9
158 0.032342557961231 17
157 0.3065635286487796 11
156 0.12524851356373096 6
156 0.15023798387707726 17
156 0.18349941776277434 16
153 0.20357715091591344 17
153 0.13733438395172143 16
153 0.2907098758104078 16
152 0.053313507825256096 17
151 0.2222176111052989 15
151 0.0008154721040207636 28
151 0.09468872133361624 16
150 0.05841753171134408 18
150 0.11327112849633107 17
