loc hse count
30.0 23960 106
31.0 31495 113
9.0 11013 113
29.0 27085 113
29.0 27415 115
28.0 28220 115
33.0 25497 119
32.0 25945 120
17.0 20273 121
23.0 26681 121
25.0 25665 124
29.0 19496 125
38.0 23188 127
27.0 22737 131
22.0 24650 132
28.0 26133 135
31.0 21771 135
24.0 22108 135
31.0 22473 137
9.0 2029 139
33.0 22903 140
25.0 15866 142
14.0 24465 144
39.0 21593 155
17.0 13925 158
19.0 15429 160
15.0 9841 162
16.0 9156 165
35.0 24120 167
20.0 17808 169
25.0 20859 170
22.0 5818 171
20.0 14553 174
30.0 21118 180
15.0 14654 191
26.0 18330 198
20.0 18978 204
16.0 11462 206
27.0 21950 212
17.0 18172 214
35.0 15531 214
29.0 23604 215
16.0 19666 224
42.0 17518 224
7.0 1046 225
26.0 20150 226
8.0 3831 226
28.0 19268 228
19.0 19870 232
23.0 10762 238
27.0 17315 244
18.0 16489 246
16.0 7369 252
16.0 17694 254
27.0 15051 254
25.0 18577 257
25.0 18005 258
28.0 20490 260
7.0 426 265
19.0 9551 277
26.0 14858 288
13.0 13064 296
20.0 13331 302
15.0 16837 318
30.0 15227 332
28.0 17107 332
20.0 14039 332
10.0 14451 336
19.0 12209 340
6.0 2405 343
16.0 15696 346
17.0 16658 349
31.0 11773 352
34.0 16235 356
27.0 15989 358
20.0 14202 366
9.0 2632 383
19.0 9962 384
19.0 11919 401
15.0 8318 419
14.0 13757 419
17.0 12687 430
10.0 8701 446
10.0 714 454
15.0 13577 464
14.0 12442 466
19.0 12079 482
17.0 7832 489
15.0 8591 500
20.0 13204 502
15.0 5273 510
14.0 7127 519
16.0 11593 520
17.0 6779 520
14.0 12861 532
19.0 11304 532
22.0 10231 533
22.0 10598 555
11.0 9282 564
24.0 8892 568
27.0 10876 580
9.0 5537 601
14.0 11117 605
26.0 10430 639
18.0 6025 694
23.0 6672 721
13.0 9714 745
23.0 10083 762
13.0 9038 788
14.0 9428 834
17.0 3336 859
19.0 6434 866
17.0 8491 901
23.0 8194 931
9.0 4348 1032
17.0 7493 1056
17.0 5036 1058
6.0 553 1066
15.0 7691 1076
13.0 7983 1079
11.0 4667 1171
21.0 7242 1174
18.0 6949 1332
6.0 1278 1334
6.0 945 1373
11.0 6554 1376
11.0 3950 1422
16.0 6217 1427
8.0 3730 1435
9.0 5919 1479
18.0 5696 1561
10.0 5420 1819
18.0 5161 1822
8.0 817 1836
7.0 3203 1929
12.0 4849 1973
15.0 2863 1974
6.0 4243 2022
10.0 4543 2107
6.0 3458 2172
8.0 1453 2181
12.0 1590 2259
10.0 4063 2272
8.0 3621 2623
8.0 1161 2736
7.0 2136 2758
8.0 3071 3107
8.0 2744 3114
11.0 2517 3242
9.0 2296 3380
7.0 1727 3405
6.0 1928 3499
