loc hse count
93.0 165244 5
52.0 125136 5
85.0 162547 5
93.0 169360 5
58.0 142159 5
79.0 109490 5
44.0 86043 5
49.0 90742 5
93.0 117343 5
77.0 115501 5
44.0 73846 5
117.0 319227 5
61.0 102190 5
56.0 135588 5
62.0 141200 5
104.0 114516 5
69.0 163213 5
137.0 233738 5
54.0 51906 5
107.0 164435 5
60.0 88417 5
74.0 73024 5
90.0 127777 5
53.0 76447 5
46.0 66902 5
98.0 136635 5
96.0 138908 5
49.0 100170 5
34.0 179151 5
167.0 702750 5
49.0 57301 5
65.0 186275 5
61.0 80145 5
121.0 210708 5
197.0 910806 5
108.0 135767 5
56.0 80636 5
68.0 178182 5
32.0 109953 5
33.0 169092 5
71.0 88823 5
34.0 83854 5
52.0 88954 5
171.0 325235 5
69.0 86698 5
26.0 86598 5
80.0 150315 5
58.0 98760 5
122.0 252299 6
61.0 85919 6
96.0 249113 6
38.0 78772 6
75.0 109278 6
116.0 251803 6
47.0 85185 6
30.0 28913 6
58.0 128544 6
104.0 131026 6
139.0 189585 6
95.0 173379 6
74.0 91302 6
28.0 31120 6
56.0 137589 6
50.0 84794 6
71.0 83570 6
123.0 125873 6
65.0 74248 6
71.0 101402 6
52.0 97056 6
79.0 103477 6
72.0 80908 6
70.0 127190 6
83.0 95461 6
71.0 120449 6
116.0 132328 6
37.0 137240 6
63.0 115028 6
51.0 77530 6
140.0 89317 6
41.0 74990 6
84.0 138611 6
48.0 70816 6
95.0 386517 6
88.0 107129 6
42.0 136543 6
52.0 96357 6
31.0 27309 6
51.0 118440 6
103.0 162216 6
82.0 106269 6
68.0 134502 6
68.0 110154 6
50.0 72868 6
81.0 120272 6
50.0 68498 6
45.0 125353 6
61.0 104244 6
48.0 96636 6
60.0 63812 6
107.0 176343 6
91.0 134953 6
108.0 143729 6
318.0 1963168 7
42.0 58840 7
99.0 94714 7
69.0 103057 7
80.0 191923 7
94.0 170742 7
105.0 132208 7
63.0 74872 7
65.0 57559 7
131.0 180260 7
55.0 99451 7
22.0 23815 7
61.0 102018 7
136.0 270955 7
123.0 156208 7
75.0 128663 7
54.0 82056 7
66.0 87118 7
103.0 198497 7
101.0 157257 7
95.0 113081 7
125.0 265108 7
90.0 350352 7
93.0 108612 7
47.0 80738 7
50.0 67595 7
65.0 160610 7
58.0 96241 7
47.0 37040 7
28.0 67365 7
50.0 165357 7
56.0 67117 7
64.0 87791 7
58.0 102414 7
79.0 89148 7
60.0 72395 7
56.0 54053 7
67.0 81909 7
99.0 118859 8
88.0 162709 8
38.0 95337 8
102.0 143335 8
79.0 87535 8
19.0 71953 8
258.0 967389 8
86.0 105628 8
74.0 149183 8
116.0 135386 8
40.0 58102 8
60.0 65641 8
35.0 33795 8
47.0 45690 8
80.0 141763 8
66.0 75681 8
70.0 100598 8
70.0 102542 8
79.0 50645 8
39.0 71740 8
54.0 110686 8
143.0 158375 8
54.0 62621 8
74.0 73409 8
75.0 171009 8
65.0 148480 8
38.0 74525 8
50.0 92012 8
72.0 111577 8
55.0 120941 8
64.0 79157 9
60.0 105324 9
89.0 116875 9
66.0 92982 9
56.0 76635 9
65.0 78910 9
55.0 54690 9
54.0 83382 9
46.0 84967 9
126.0 105475 9
53.0 49416 9
96.0 110916 9
33.0 98136 9
79.0 101134 9
60.0 79704 9
37.0 112493 9
45.0 88642 9
38.0 75939 9
84.0 124347 9
85.0 112856 9
76.0 130906 10
120.0 260924 10
90.0 119050 10
45.0 91694 10
52.0 53710 10
79.0 135275 10
70.0 100343 10
80.0 82578 10
72.0 92618 10
39.0 20730 10
62.0 126948 10
126.0 105078 10
43.0 84086 10
32.0 26237 10
91.0 117728 10
83.0 66241 10
47.0 43318 10
131.0 100026 10
39.0 81302 10
41.0 62971 10
48.0 94059 10
62.0 60993 10
63.0 94941 10
89.0 58714 11
51.0 169466 11
37.0 54435 11
73.0 119913 11
41.0 46455 11
53.0 83751 11
34.0 88290 11
41.0 90182 11
48.0 53209 11
49.0 93517 11
48.0 87994 11
76.0 90452 11
102.0 90847 11
52.0 78281 11
61.0 77210 11
69.0 64901 11
40.0 58248 11
55.0 75402 11
44.0 93725 11
38.0 58449 11
66.0 52232 11
57.0 82280 12
46.0 76328 12
85.0 118025 12
121.0 94414 12
54.0 61285 12
45.0 79529 12
82.0 101622 12
25.0 58604 12
14.0 19770 12
56.0 65974 12
92.0 76870 12
71.0 148352 12
62.0 51345 12
72.0 96050 12
62.0 66771 13
57.0 74011 13
95.0 92364 13
16.0 8391 13
126.0 123553 13
53.0 70707 13
145.0 89637 13
53.0 49004 13
66.0 87333 13
48.0 98929 13
15.0 8189 13
102.0 86902 13
39.0 29945 13
72.0 84252 13
39.0 64546 13
70.0 63105 13
43.0 56948 13
49.0 62488 13
53.0 69633 13
50.0 64710 13
62.0 106662 14
58.0 72614 14
108.0 110264 14
63.0 80480 14
52.0 81681 14
58.0 74374 14
76.0 71388 14
35.0 53918 14
65.0 50541 14
52.0 59075 14
58.0 70941 14
59.0 70532 14
39.0 67486 14
30.0 39571 14
46.0 69175 14
59.0 56508 14
75.0 42018 14
51.0 67956 14
43.0 60332 15
30.0 128406 15
61.0 86280 15
39.0 84628 15
37.0 84425 15
74.0 75222 15
80.0 104499 15
70.0 82804 15
53.0 52015 15
59.0 44852 15
46.0 59889 15
47.0 51796 15
50.0 60078 15
55.0 55603 15
83.0 148906 15
55.0 69382 15
41.0 47837 15
46.0 63938 15
64.0 82996 15
34.0 45953 15
41.0 50252 15
137.0 126403 16
70.0 95862 16
38.0 76104 16
47.0 66574 16
37.0 54578 16
92.0 93184 16
84.0 97500 16
42.0 27646 16
39.0 42958 16
51.0 44681 16
56.0 35068 16
33.0 25701 16
33.0 56705 16
41.0 61596 16
93.0 91108 16
35.0 60491 16
53.0 63404 16
48.0 42299 16
37.0 46952 16
80.0 106392 16
59.0 67709 17
43.0 69924 17
31.0 61164 17
17.0 16290 17
58.0 59269 17
38.0 73734 17
54.0 66415 17
34.0 44092 17
33.0 35295 17
48.0 65296 17
22.0 44429 17
55.0 56110 17
47.0 77876 17
70.0 107717 18
10.0 3838 18
56.0 55933 18
38.0 71251 18
24.0 28326 18
71.0 52446 18
58.0 55252 18
80.0 68602 19
36.0 62254 19
51.0 57055 19
43.0 70087 19
35.0 61490 19
105.0 60615 19
89.0 85454 19
76.0 62828 20
49.0 68367 20
56.0 73140 21
76.0 90635 21
53.0 85737 21
47.0 38347 21
34.0 39844 21
63.0 78547 21
44.0 52682 22
52.0 72752 22
57.0 57668 22
60.0 55434 22
55.0 53816 22
39.0 40504 22
19.0 46103 22
38.0 57977 23
70.0 71553 23
54.0 59424 23
54.0 60791 23
48.0 47690 23
77.0 70332 23
35.0 37187 23
52.0 57188 23
55.0 45190 23
48.0 51511 23
21.0 49515 24
60.0 59757 24
50.0 53363 24
33.0 30195 24
29.0 36774 24
48.0 1 24
28.0 66139 25
53.0 53092 25
58.0 61814 25
28.0 35587 25
42.0 48167 25
52.0 56315 25
43.0 45022 25
36.0 64368 25
39.0 57449 26
37.0 64164 26
42.0 43094 26
51.0 50796 26
47.0 59535 26
60.0 49279 26
20.0 36015 26
46.0 54860 27
47.0 65458 27
35.0 51026 27
74.0 55804 27
38.0 65102 27
58.0 68913 28
18.0 55036 28
52.0 33567 28
64.0 63225 29
28.0 32097 29
28.0 29180 29
29.0 72117 30
84.0 46575 30
51.0 62056 30
61.0 51680 31
37.0 51216 31
48.0 39948 31
29.0 31363 31
38.0 44289 31
52.0 63564 31
61.0 30898 31
38.0 50124 32
41.0 53573 32
41.0 68218 32
54.0 39134 32
36.0 21716 32
48.0 42515 32
41.0 46293 33
57.0 47218 33
45.0 49130 33
18.0 19371 34
33.0 52124 34
37.0 41056 34
29.0 65864 34
33.0 39448 34
38.0 52898 35
20.0 18695 35
61.0 48676 35
31.0 37830 35
53.0 48305 36
45.0 45573 36
35.0 42128 36
40.0 38838 36
56.0 54220 37
50.0 31817 37
45.0 49712 37
27.0 41611 37
47.0 47058 38
42.0 38202 38
34.0 47580 39
25.0 15866 39
41.0 40217 39
51.0 58945 40
43.0 36147 40
24.0 47406 40
32.0 43968 40
61.0 49919 41
37.0 32452 41
38.0 47956 41
45.0 41329 42
27.0 30668 42
44.0 40865 42
42.0 43432 42
38.0 52571 42
30.0 36324 42
33.0 32206 42
43.0 50424 42
58.0 48866 42
57.0 39694 43
26.0 36942 43
23.0 23442 43
39.0 44557 43
27.0 16760 43
41.0 37291 43
20.0 14553 44
48.0 48508 44
28.0 41156 45
18.0 32982 46
44.0 35435 46
35.0 34092 46
29.0 43800 46
18.0 11710 47
43.0 40365 48
55.0 45842 48
34.0 43203 49
55.0 33083 49
44.0 46815 49
44.0 35196 50
28.0 19999 51
35.0 28075 51
36.0 34788 52
28.0 43614 53
21.0 23030 53
18.0 41474 54
31.0 36668 54
42.0 38672 55
32.0 24797 55
32.0 45340 55
54.0 41780 56
42.0 34466 57
36.0 40643 58
22.0 28799 58
32.0 34590 58
44.0 42733 60
33.0 38517 60
39.0 18469 60
33.0 29662 61
40.0 37996 61
57.0 36469 62
39.0 24932 62
26.0 42402 63
45.0 37692 63
21.0 25832 64
23.0 26681 66
32.0 27535 66
30.0 37478 67
17.0 20273 70
38.0 27766 70
25.0 33399 70
16.0 39325 73
37.0 17542 73
26.0 32636 74
36.0 33912 74
47.0 32315 75
49.0 31022 75
30.0 31641 75
39.0 30467 75
28.0 40092 76
28.0 25042 76
38.0 23325 78
30.0 31220 78
39.0 29493 79
28.0 33682 79
31.0 27200 79
19.0 22177 81
32.0 39030 82
34.0 35892 82
33.0 25497 83
40.0 34950 83
27.0 22737 84
16.0 29028 85
14.0 21246 86
44.0 29829 87
19.0 13473 87
52.0 26816 88
47.0 23705 88
3.0 365 89
29.0 30058 89
29.0 28459 89
51.0 30777 90
37.0 22335 90
40.0 34273 91
43.0 29304 91
49.0 35685 92
32.0 20627 93
29.0 31920 94
27.0 14338 96
18.0 15366 96
26.0 24283 98
24.0 21015 98
49.0 17183 101
37.0 27906 101
36.0 20419 101
21.0 21413 102
32.0 32819 103
28.0 26133 103
23.0 19162 103
24.0 33264 106
32.0 25945 107
