loc hsv count
7.0 385 811
9.0 233 814
17.0 597 899
8.0 314 922
8.0 288 941
9.0 267 954
11.0 455 960
12.0 405 968
11.0 436 979
11.0 356 1050
