count nobl hsv
12 7.0 2204
12 9.0 670
12 4.0 2489
12 4.0 2263
12 10.0 1121
12 6.0 2268
12 6.0 476
12 7.0 387
12 9.0 1747
12 8.0 1534
12 4.0 2068
12 0.0 2408
12 10.0 1209
12 7.0 530
12 7.0 2343
12 8.0 1825
12 8.0 790
12 6.0 1958
12 10.0 1491
12 0.0 3553
12 2.0 2413
12 1.0 2251
12 0.0 2772
12 1.0 2208
12 7.0 2038
12 9.0 1690
12 2.0 2138
12 6.0 430
12 1.0 2107
11 7.0 669
11 9.0 1184
11 3.0 2580
11 0.0 2946
11 5.0 2240
11 2.0 2269
11 9.0 1213
11 8.0 1935
11 7.0 2250
11 1.0 2058
11 11.0 1964
11 7.0 1739
11 4.0 2197
11 8.0 1759
11 10.0 1462
11 8.0 1858
11 7.0 494
11 0.0 2336
11 4.0 2023
11 8.0 2071
11 11.0 1040
11 11.0 1355
11 10.0 906
11 10.0 1395
11 8.0 1559
11 6.0 349
11 10.0 1329
11 3.0 2353
11 8.0 730
11 7.0 2518
11 3.0 2327
11 10.0 2099
11 8.0 2144
11 4.0 2358
11 5.0 2345
11 3.0 2179
11 0.0 2662
11 11.0 1753
11 13.0 911
10 9.0 1057
10 0.0 4258
10 1.0 2323
10 6.0 2083
10 11.0 2030
10 8.0 2212
10 6.0 2186
10 8.0 1666
10 6.0 2493
10 2.0 2935
10 8.0 424
10 1.0 2080
10 7.0 1913
10 9.0 1027
10 15.0 1699
10 3.0 2525
10 5.0 2318
10 9.0 804
10 4.0 2233
10 5.0 163
10 9.0 1715
10 11.0 1471
10 9.0 1875
10 5.0 2264
10 12.0 2152
10 18.0 1658
10 10.0 650
10 10.0 1250
10 1.0 2415
10 9.0 1311
10 8.0 2114
10 7.0 1932
10 8.0 2185
10 6.0 2354
10 9.0 2282
10 3.0 2391
9 0.0 2709
9 0.0 3155
9 5.0 2191
9 11.0 2157
9 11.0 1498
9 11.0 1219
9 8.0 1963
9 10.0 1166
9 10.0 1031
9 6.0 2526
9 5.0 2129
9 5.0 2293
9 9.0 923
9 5.0 110
9 8.0 1024
9 6.0 2324
9 8.0 613
9 1.0 2360
9 5.0 209
9 7.0 2437
9 6.0 2434
9 7.0 2113
9 6.0 2393
9 0.0 2852
9 6.0 235
9 10.0 1553
9 5.0 2531
9 10.0 833
9 9.0 1491
9 5.0 2607
8 10.0 1791
8 9.0 2034
8 1.0 2278
8 1.0 2483
8 0.0 3890
8 2.0 2790
8 5.0 2413
8 4.0 2089
8 5.0 2384
8 2.0 2539
8 11.0 1678
8 10.0 2049
8 3.0 2154
8 10.0 1951
8 4.0 2591
8 7.0 2643
8 10.0 2008
8 6.0 271
8 9.0 2221
8 9.0 2104
8 10.0 1745
8 6.0 2460
8 6.0 2296
8 8.0 3019
8 10.0 935
8 3.0 2423
8 7.0 2708
8 10.0 1293
8 9.0 1146
8 0.0 3266
8 7.0 2393
8 0.0 2569
8 0.0 2826
8 2.0 2499
8 0.0 3314
8 8.0 885
8 10.0 1865
8 3.0 2622
8 10.0 781
8 9.0 997
8 9.0 873
8 11.0 1399
8 0.0 2539
8 11.0 1111
8 9.0 1900
8 3.0 2710
8 10.0 1605
7 9.0 1170
7 12.0 1872
7 9.0 1932
7 12.0 1611
7 10.0 1716
7 2.0 2677
7 11.0 1425
7 13.0 1652
7 11.0 1534
7 4.0 2633
7 10.0 1979
7 9.0 2412
7 3.0 2481
7 3.0 2939
7 12.0 1679
7 4.0 2686
7 0.0 3230
7 9.0 708
7 4.0 120
7 12.0 1139
7 12.0 1730
7 11.0 1813
7 7.0 2173
7 10.0 1520
7 0.0 3032
7 1.0 2737
7 0.0 4704
7 10.0 1367
7 8.0 2323
7 10.0 452
7 4.0 2443
7 9.0 2358
7 8.0 265
7 0.0 2486
7 0.0 3854
7 4.0 2116
7 5.0 2217
7 10.0 2133
7 3.0 2675
7 0.0 2990
7 13.0 1808
7 10.0 1273
7 7.0 1893
7 0.0 2875
7 0.0 3202
7 12.0 1818
7 0.0 2436
7 7.0 2915
6 0.0 2633
6 0.0 2902
6 11.0 2233
6 10.0 999
6 3.0 42
6 12.0 2029
6 11.0 2193
6 9.0 736
6 9.0 2541
6 8.0 2361
6 10.0 701
6 1.0 2988
6 6.0 493
6 11.0 1257
6 2.0 3007
6 10.0 2213
6 0.0 3067
6 12.0 2220
6 8.0 2578
6 0.0 3739
6 3.0 2458
6 1.0 2576
6 7.0 2548
6 12.0 2114
6 10.0 1080
6 12.0 1239
6 10.0 872
6 11.0 1619
6 8.0 1038
6 8.0 2240
6 5.0 2476
6 11.0 1160
6 9.0 2505
6 6.0 2160
6 4.0 2532
6 3.0 2861
5 10.0 2470
5 6.0 178
5 7.0 2817
5 14.0 2089
5 0.0 3409
5 8.0 2836
5 7.0 2140
5 8.0 2297
5 14.0 1741
5 11.0 489
5 12.0 2072
5 5.0 3019
5 7.0 2678
5 2.0 2
5 11.0 900
5 9.0 851
5 15.0 1827
5 10.0 2274
5 4.0 2819
5 1.0 2
5 12.0 826
5 9.0 2587
5 12.0 1575
5 12.0 2305
5 11.0 2416
5 4.0 53
5 10.0 1918
5 10.0 2325
5 8.0 2092
5 3.0 2806
5 8.0 2543
5 11.0 1577
5 11.0 618
5 0.0 4035
5 13.0 1432
5 10.0 1840
5 10.0 971
5 5.0 2640
5 13.0 678
5 13.0 1742
5 0.0 3113
5 11.0 2570
5 0.0 4157
5 13.0 567
5 7.0 2588
5 11.0 1284
5 8.0 2266
5 1.0 2523
5 3.0 3511
5 3.0 3293
5 15.0 2552
5 6.0 2604
5 9.0 2896
5 2.0 2466
5 11.0 1314
5 12.0 1912
4 14.0 2164
4 12.0 1988
4 8.0 2796
4 13.0 1227
4 0.0 2685
4 13.0 2634
4 13.0 1367
4 4.0 3484
4 8.0 2650
4 10.0 2170
4 5.0 2574
4 4.0 2987
4 14.0 1338
4 12.0 1778
4 1.0 2449
4 11.0 2718
4 16.0 2547
4 8.0 2688
4 1.0 2663
4 10.0 1581
4 7.0 3447
4 0.0 3437
4 10.0 2433
4 13.0 2313
4 10.0 544
4 12.0 2494
4 2.0 2715
4 6.0 2698
4 4.0 2
4 3.0 3190
4 1.0 2809
4 16.0 1616
4 6.0 2641
4 4.0 2911
4 2.0 2570
4 5.0 2825
4 7.0 3329
4 11.0 1915
4 9.0 2319
4 6.0 2755
4 13.0 1901
4 5.0 2772
4 14.0 2374
4 9.0 2074
4 4.0 3358
4 0.0 3941
4 8.0 2749
4 9.0 2796
4 12.0 1324
4 11.0 850
4 5.0 2971
4 11.0 2333
4 4.0 2776
4 11.0 1850
3 13.0 2148
3 1.0 3401
3 12.0 2710
3 14.0 2231
3 14.0 1412
3 3.0 2966
3 17.0 748
3 7.0 3377
3 0.0 3361
3 13.0 1542
3 7.0 3257
3 10.0 2532
3 0.0 4507
3 11.0 4051
3 4.0 3041
3 5.0 3170
3 15.0 2701
3 6.0 3799
