count nobl hse
11 8.0 106622
10 14.0 138274
10 10.0 106462
10 1.0 128516
10 8.0 100481
10 16.0 24509
10 9.0 170347
10 5.0 116768
10 6.0 87832
10 10.0 109375
10 0.0 130321
10 10.0 94204
10 10.0 156552
10 14.0 64547
10 0.0 191436
10 10.0 164275
10 13.0 140071
10 3.0 126151
10 13.0 17594
10 2.0 158886
10 5.0 110491
10 18.0 22876
10 9.0 107875
10 14.0 39500
10 2.0 87355
9 8.0 130645
9 11.0 137465
9 13.0 124739
9 6.0 164699
9 12.0 8912
9 14.0 133321
9 10.0 114449
9 12.0 92149
9 16.0 52770
9 0.0 209154
9 15.0 131823
9 1.0 100891
9 3.0 107634
9 14.0 27579
9 16.0 86061
9 14.0 87540
9 8.0 91374
9 17.0 73191
9 13.0 67225
9 19.0 91429
9 20.0 75957
9 0.0 322234
9 14.0 70095
9 10.0 118389
9 8.0 118200
9 11.0 104084
9 13.0 10261
9 15.0 194530
9 1.0 171058
9 17.0 39174
9 16.0 15123
9 13.0 110989
9 15.0 47067
9 9.0 112305
9 3.0 100466
8 13.0 3062
8 14.0 110057
8 15.0 75222
8 7.0 168534
8 16.0 74881
8 17.0 34459
8 0.0 259388
8 20.0 67749
8 12.0 98342
8 11.0 150886
8 1.0 143932
8 8.0 124165
8 14.0 103462
8 3.0 103641
8 12.0 137580
8 11.0 122105
8 2.0 182884
8 15.0 26095
8 9.0 160059
8 9.0 126947
8 12.0 115262
8 21.0 125445
8 13.0 162110
8 1.0 111586
8 0.0 277898
8 2.0 129180
8 0.0 201669
8 13.0 135281
8 14.0 118253
8 13.0 118615
8 11.0 144972
8 14.0 23285
8 15.0 108002
8 17.0 89655
8 30.0 68975
8 17.0 50396
8 16.0 170196
8 9.0 143264
8 5.0 169285
7 12.0 144727
7 18.0 75046
7 14.0 147924
7 13.0 36166
7 8.0 141979
7 0.0 228743
7 17.0 65543
7 10.0 141719
7 3.0 148247
7 0.0 350791
7 3.0 172036
7 16.0 136061
7 22.0 40080
7 7.0 135314
7 19.0 84283
7 17.0 125911
7 5.0 175936
7 15.0 4480
7 10.0 149048
7 10.0 128288
7 12.0 81844
7 16.0 119188
7 16.0 100189
7 8.0 178824
7 12.0 73726
7 18.0 111297
7 15.0 52963
7 6.0 122415
7 1.0 97145
7 4.0 142849
7 13.0 98463
7 8.0 155918
7 8.0 161820
7 17.0 94357
7 11.0 126293
6 16.0 57949
6 12.0 126266
6 4.0 122478
6 7.0 119988
6 12.0 131026
6 12.0 185281
6 9.0 137997
6 13.0 7274
6 18.0 85560
6 6.0 136623
6 11.0 185405
6 19.0 14207
6 16.0 200348
6 10.0 210479
6 21.0 202824
6 16.0 63601
6 18.0 121538
6 19.0 31702
6 15.0 140472
6 14.0 125979
6 16.0 146934
6 3.0 143464
6 15.0 57938
6 7.0 202795
6 21.0 144073
6 16.0 68022
6 24.0 73632
6 21.0 160711
6 4.0 117945
6 19.0 171049
6 19.0 64983
6 18.0 58966
6 16.0 111449
6 2.0 229559
6 1.0 163787
6 10.0 181769
6 9.0 97496
6 15.0 30216
6 13.0 184644
6 18.0 127339
6 13.0 21527
6 18.0 79708
6 3.0 204072
6 12.0 245467
6 5.0 148249
6 18.0 89905
6 19.0 72433
6 6.0 150353
6 6.0 212959
6 0.0 283857
6 22.0 91765
6 14.0 166759
5 15.0 156701
5 11.0 131136
5 2.0 205092
5 11.0 174727
5 15.0 148194
5 21.0 70761
5 9.0 188520
5 8.0 185100
5 2.0 307079
5 20.0 30564
5 13.0 93772
5 9.0 214862
5 3.0 119766
5 14.0 97504
5 13.0 167956
5 13.0 81707
5 16.0 4788
5 16.0 189358
5 19.0 151383
5 12.0 154776
5 6.0 201926
5 1.0 179215
5 12.0 162904
5 20.0 4973
5 0.0 268383
5 22.0 118107
5 18.0 96641
5 6.0 156473
5 9.0 197475
5 21.0 133469
5 19.0 133592
5 8.0 136669
5 10.0 123473
5 15.0 119186
5 20.0 60319
5 22.0 198239
5 0.0 308373
5 17.0 169657
5 19.0 184447
5 12.0 200832
5 13.0 196847
5 14.0 17370
5 0.0 217561
5 7.0 130553
5 4.0 192932
5 16.0 125308
5 20.0 53586
5 1.0 106446
5 12.0 110508
5 16.0 233439
5 18.0 149941
5 19.0 46766
5 17.0 120079
5 7.0 215034
5 7.0 146912
5 8.0 222900
5 20.0 112197
5 5.0 206585
5 17.0 5082
5 19.0 55787
5 6.0 219903
5 18.0 45742
5 0.0 377902
5 19.0 159057
5 17.0 58344
5 1.0 155742
5 5.0 156630
5 0.0 240665
5 0.0 246605
5 0.0 234713
4 10.0 340680
4 15.0 112379
4 22.0 263790
4 13.0 209216
4 7.0 318977
4 17.0 25817
4 22.0 253390
4 20.0 88856
4 9.0 233960
4 17.0 137396
4 12.0 150847
4 14.0 293634
4 1.0 186097
4 14.0 190894
4 7.0 187573
4 2.0 149935
4 7.0 152651
4 1.0 134921
4 16.0 37273
4 3.0 131968
4 23.0 203710
4 19.0 105022
4 9.0 264360
4 13.0 128300
4 4.0 156972
4 11.0 108841
4 22.0 136710
4 20.0 43217
4 8.0 255569
4 19.0 98641
4 16.0 155936
4 6.0 142765
4 8.0 311062
4 23.0 240884
4 20.0 178982
4 5.0 194332
4 33.0 283913
4 20.0 117731
4 14.0 179730
4 17.0 101363
4 11.0 159193
4 19.0 110604
4 12.0 119761
4 9.0 297477
4 2.0 198888
4 19.0 122518
4 0.0 532500
4 23.0 212892
4 22.0 242910
4 17.0 84864
4 8.0 248472
4 23.0 186250
4 20.0 141033
4 10.0 173004
4 17.0 107913
4 18.0 162882
4 10.0 280051
4 3.0 137230
4 17.0 276077
4 14.0 242758
4 0.0 733511
4 16.0 92403
4 11.0 238230
4 3.0 191865
4 19.0 144087
4 5.0 187000
4 11.0 268879
4 18.0 131512
4 5.0 217129
4 22.0 155130
4 16.0 165471
4 9.0 132485
4 11.0 297437
4 6.0 229265
4 20.0 158682
4 0.0 451320
4 8.0 171251
4 25.0 228296
4 16.0 30840
4 1.0 260426
4 12.0 206117
4 15.0 124236
4 16.0 181288
4 6.0 117302
4 21.0 87832
4 17.0 79718
4 4.0 150574
4 11.0 195975
4 19.0 117826
4 13.0 262326
4 0.0 337916
4 23.0 73847
4 6.0 237715
4 18.0 255096
3 8.0 214395
3 14.0 261347
3 18.0 220499
3 21.0 49349
3 11.0 201828
3 1.0 194102
3 15.0 204727
3 14.0 216252
3 19.0 39281
3 8.0 148443
3 10.0 307786
3 25.0 137306
3 1.0 217855
3 26.0 219012
3 3.0 244035
3 5.0 303389
3 9.0 248439
3 1.0 201218
3 14.0 172471
3 29.0 178616
3 18.0 183334
3 20.0 134508
3 2.0 321764
3 23.0 137530
3 7.0 159975
3 4.0 230307
3 28.0 277526
3 2.0 241355
3 14.0 198622
3 4.0 217896
3 26.0 374191
3 20.0 14199
3 21.0 65802
3 23.0 68019
3 22.0 166190
3 14.0 232825
3 27.0 23159
3 12.0 230709
3 8.0 192723
3 7.0 292316
3 18.0 139551
3 0.0 298121
3 7.0 263546
