count robl ncl
6 0.00273224043715847 21
6 0.6277913752913753 2
6 0.0018115942028985507 26
6 0.5790513833992095 20
6 0.24005200481896738 21
6 0.1730069061018045 36
6 0.0 22
6 0.9132256632256631 0
6 0.13711850600836314 46
6 0.13190782583703067 23
6 0.035522055888229175 27
6 0.3125 16
6 0.8766534391534391 6
6 0.03693338914920106 17
6 0.3887750836120401 11
6 0.06633913626922723 19
6 0.5088935088935088 17
6 0.07437006464442215 27
6 0.1363083109531266 25
6 0.75 2
6 0.012179590304590303 23
6 0.22777535309401623 13
6 0.09255220767663559 32
6 0.23674901731940826 17
6 0.31590823599671153 18
6 0.33514334811670016 16
6 0.5271565092301396 7
6 0.19332122979723318 30
6 0.3584265734265734 10
6 0.41509750722438454 11
6 0.41391834349169243 19
6 0.5629761904761904 8
5 0.10513706197984896 25
5 0.03222130543293621 18
5 0.1500802836948225 57
5 0.08667437138025373 30
5 0.8833333333333332 0
5 0.33678029530832 67
5 0.0022222222222222222 20
5 0.8019047619047619 3
5 0.5678571428571428 6
5 0.09297673264545588 26
5 0.37485868298368297 22
5 0.1050192161159101 24
5 0.012304601254084608 36
5 0.0030303030303030303 24
5 0.2939519579034431 39
5 0.14697439011921307 32
5 0.5453968253968254 14
5 0.7 2
5 0.3064311716592023 43
5 0.10178594370151343 29
5 0.174230064454952 24
5 0.5 22
5 0.4728408041403586 10
5 0.03791891724095114 21
5 0.18469564575754624 39
5 0.13090539578405175 41
5 0.5397386823702612 6
5 0.19008397665715857 22
5 0.13050206152710567 37
5 0.2867718408117964 17
5 0.5994444444444444 8
5 0.08089033767811771 22
5 0.23903557312252963 25
5 0.7152024446142093 9
5 0.5 10
5 0.051637426900584794 18
5 1.5 3
5 0.291395464287121 18
5 0.5277062220769315 2
5 0.4967741935483871 12
5 0.05697278700053463 35
5 0.2733333333333333 19
5 0.05908260537416547 20
5 0.7244444444444444 55
5 0.4765184580358423 18
5 0.027739124318071684 20
5 0.42817360986947967 13
5 0.4527134030628006 21
5 0.7206926406926406 5
5 0.4506432748538011 15
4 0.1400716429830125 35
4 0.40204081632653066 20
4 0.040138238272124524 39
4 0.2550112356713629 30
4 1.1294642857142856 0
4 0.46554608585858587 12
4 0.5342843431078725 9
4 0.37340785907859075 32
4 0.5555555555555556 7
4 0.2741163648558015 32
4 0.1717240318385329 34
4 0.46013937282229966 14
4 0.7536764705882353 8
4 0.8333333333333334 1
4 0.3737619222303742 15
4 0.1608041746341647 44
4 0.32921559034572734 24
4 0.17592171594428319 41
4 0.8295454545454546 4
4 0.3267430401576743 26
4 0.1738474846177432 31
4 0.5574725274725275 10
4 0.17595783374053886 26
4 0.2059474677804337 28
4 0.08239591794230969 45
4 0.16624529483400452 25
4 0.6306818181818181 6
4 0.8 5
4 0.14818390495893258 51
4 0.12367282826265483 58
4 1.0 8
4 2.0 3
4 0.007154213036565977 27
4 0.2111996863854842 17
4 0.1476350653753674 67
4 0.49922600619195046 20
4 2.0 1
4 0.09219139740794888 33
4 1.0 17
4 0.13640681731562726 42
3 0.4206530470504506 15
3 0.13835575746544107 50
3 0.2111275298273345 47
3 4.0 0
3 0.5693581780538302 9
3 0.13284635290240537 62
3 0.38422151325377135 19
3 0.09035509454246822 41
3 0.25453130760226766 35
3 0.29107056992356156 28
3 0.12053669548870634 78
3 0.01587746671718078 17
3 3.0 0
3 0.245024513004462 34
3 0.5414141414141413 12
3 0.14322105788922646 96
3 0.03278644791249833 29
3 0.007560769879610459 42
3 0.15554585944352414 64
3 0.8709677419354839 73
3 0.13236331569664903 60
3 0.29323707130392024 47
3 0.6666666666666666 7
3 0.633968253968254 13
3 0.0584233781405816 26
3 0.6746031746031745 29
